2016-09-06 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,PC2016-09-06 00:00:00,Close2016-09-06 00:00:00,group,RiskOn,Excess,SEA2016-09-06 00:00:00,SRUN2016-09-06 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-09-05 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-09-02 00:00:00,0.5SIG2016-09-05 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-09-02 00:00:00,0.75SIG2016-09-05 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-09-02 00:00:00,1SIG2016-09-05 00:00:00,RiskOff,AntiExcess,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Excess,PNL_AntiExcess,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13
GC,QGCZ6,1354.0,15.925,0.0205773724278,1.0,-1.0,-1.0,1.0,1.0,-43.0,2016-07-06,1592.5,2.0,1.0,1.0,135400.0,0.0205773724278,1354.0,metal,-1.0,1.0,1.0,-43.0,1.0,1.0,-42.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,,1.0,2.0,-1.0,,2.0,2.0,1.0,,1,-1,-1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,-1,-1,-1.0,-1,0.0,-1,1,5572.35245346,5572.35245346,5572.35245346,-5572.35245346,-5572.35245346,5572.35245346,5572.35245346,-5572.35245346,-5572.35245346,-5572.35245346,-5572.35245346,5572.35245346,-5572.35245346,5572.35245346,5572.35245346,-5572.35245346,-5572.35245346,5572.35245346,-5572.35245346,-5572.35245346,-5572.35245346,-5572.35245346,5572.35245346,-5572.35245346,-5572.35245346,-5572.35245346,-5572.35245346,-5572.35245346,0.0,-5572.35245346,5572.35245346
HCM,HHIU6,9904.0,151.013655551,0.00660636243521,1.0,1.0,-1.0,1.0,1.0,12.0,2016-08-19,971.773845245,3.0,1.0,1.0,63732.3037323,0.00660636243521,9904.0,index,1.0,1.0,1.0,12.0,1.0,1.0,11.0,-1.0,1.0,3.0,-1.0,1.0,3.0,,-1.0,2.0,3.0,,1.0,2.0,3.0,,1.0,-1,-1,-1,-1,-1,-1,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,1,1263.11609186,1263.11609186,1263.11609186,-1263.11609186,1263.11609186,-1263.11609186,1263.11609186,-1263.11609186,-1263.11609186,1263.11609186,-1263.11609186,1263.11609186,-1263.11609186,-1263.11609186,1263.11609186,-1263.11609186,1263.11609186,-1263.11609186,-1263.11609186,-1263.11609186,-1263.11609186,-1263.11609186,-1263.11609186,-1263.11609186,-1263.11609186,-1263.11609186,-1263.11609186,-1263.11609186,-1263.11609186,-1263.11609186,1263.11609186
HG,QHGZ6,208.9,2.8722570095,0.00529355149182,1.0,1.0,1.0,1.0,-1.0,-13.0,2016-08-17,718.064252375,3.0,1.0,1.0,52225.0,0.00529355149182,208.9,metal,1.0,1.0,-1.0,-13.0,1.0,1.0,-12.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,-1,-1,-1,-1,-1,-1.0,1,-1,1,-1,-1,1,-1,-1,1,0.0,-1,0.0,-1,1,829.367179981,829.367179981,829.367179981,-829.367179981,829.367179981,-829.367179981,829.367179981,-829.367179981,829.367179981,829.367179981,829.367179981,829.367179981,-829.367179981,-829.367179981,829.367179981,-829.367179981,-829.367179981,829.367179981,-829.367179981,829.367179981,-829.367179981,-829.367179981,829.367179981,-829.367179981,-829.367179981,829.367179981,0.0,-829.367179981,0.0,-829.367179981,829.367179981
HIC,HSIU6,23714.0,287.527757788,0.00491567081956,1.0,1.0,1.0,1.0,1.0,-1.0,2016-08-30,1850.24297161,2.0,1.0,1.0,152599.7426,0.00491567081956,23714.0,index,1.0,1.0,1.0,-1.0,1.0,1.0,-24.0,1.0,1.0,2.0,1.0,1.0,2.0,,1.0,2.0,2.0,,1.0,2.0,2.0,,1.0,-1,-1,-1,-1,-1,-1,-1.0,1,-1,1,-1,-1,1,-1,-1,1,0.0,-1,0.0,-1,1,1500.26020354,1500.26020354,1500.26020354,-1500.26020354,1500.26020354,-1500.26020354,1500.26020354,-1500.26020354,1500.26020354,1500.26020354,1500.26020354,1500.26020354,-1500.26020354,-1500.26020354,1500.26020354,-1500.26020354,-1500.26020354,1500.26020354,-1500.26020354,1500.26020354,-1500.26020354,-1500.26020354,1500.26020354,-1500.26020354,-1500.26020354,1500.26020354,0.0,-1500.26020354,0.0,-1500.26020354,1500.26020354
HO,QHOV6,1.4085,0.0439982145,-0.000780363223609,-1.0,-1.0,1.0,-1.0,-1.0,-12.0,2016-08-18,1847.925009,2.0,1.0,1.0,59157.0,-0.000780363223609,1.4085,energy,1.0,1.0,-1.0,-12.0,1.0,-1.0,-11.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,-1.0,,1.0,2.0,-1.0,,-1,-1,1,1,1,-1,1.0,-1,1,-1,1,1,1,1,-1,1,1.0,0,0.0,1,-1,-92.3278944381,92.3278944381,-92.3278944381,92.3278944381,-92.3278944381,92.3278944381,-92.3278944381,92.3278944381,-92.3278944381,92.3278944381,-92.3278944381,92.3278944381,-92.3278944381,-92.3278944381,92.3278944381,-92.3278944381,-92.3278944381,92.3278944381,-92.3278944381,92.3278944381,-92.3278944381,-92.3278944381,-92.3278944381,-92.3278944381,92.3278944381,-92.3278944381,-92.3278944381,-0.0,-0.0,-92.3278944381,92.3278944381
JY,@JYU6,0.97995,0.00957,0.0181298701299,1.0,-1.0,1.0,-1.0,1.0,-12.0,2016-08-18,1196.25,2.0,1.0,1.0,122493.75,0.0181298701299,0.97995,currency,-1.0,1.0,1.0,-12.0,-1.0,1.0,-11.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,2.0,2.0,-1.0,,2.0,2.0,-1.0,,1,-1,1,1,-1,1,-1.0,1,-1,1,1,1,1,1,1,1,1.0,0,1.0,1,-1,4441.59155844,4441.59155844,-4441.59155844,4441.59155844,-4441.59155844,4441.59155844,4441.59155844,-4441.59155844,4441.59155844,-4441.59155844,4441.59155844,-4441.59155844,4441.59155844,4441.59155844,4441.59155844,-4441.59155844,-4441.59155844,4441.59155844,-4441.59155844,4441.59155844,4441.59155844,4441.59155844,4441.59155844,4441.59155844,4441.59155844,4441.59155844,4441.59155844,0.0,4441.59155844,4441.59155844,-4441.59155844
KC,@KCZ6,153.75,3.22,0.0155217965654,1.0,-1.0,-1.0,-1.0,-1.0,13.0,2016-08-17,1207.5,2.0,1.0,1.0,57656.25,0.0155217965654,153.75,soft,1.0,1.0,-1.0,13.0,1.0,1.0,12.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,,1.0,2.0,-1.0,,2.0,2.0,-1.0,,-1,-1,1,1,-1,-1,1.0,-1,1,-1,-1,-1,1,-1,-1,-1,-1.0,-1,-1.0,1,1,1789.85716645,1789.85716645,1789.85716645,-1789.85716645,1789.85716645,-1789.85716645,1789.85716645,-1789.85716645,-1789.85716645,-1789.85716645,-1789.85716645,-1789.85716645,1789.85716645,1789.85716645,1789.85716645,-1789.85716645,1789.85716645,-1789.85716645,1789.85716645,-1789.85716645,-1789.85716645,-1789.85716645,1789.85716645,-1789.85716645,-1789.85716645,-1789.85716645,-1789.85716645,-1789.85716645,-1789.85716645,1789.85716645,1789.85716645
KW,@KWZ6,410.25,9.1439106405,-0.00725952813067,-1.0,1.0,1.0,1.0,1.0,-26.0,2016-07-29,457.195532025,5.0,1.0,1.0,20512.5,-0.00725952813067,410.25,grain,1.0,1.0,1.0,-26.0,1.0,1.0,-25.0,1.0,1.0,5.0,1.0,2.0,5.0,1.0,,2.0,5.0,1.0,,2.0,5.0,1.0,,-1,-1,-1,-1,-1,-1,-1.0,1,-1,1,-1,-1,1,-1,-1,1,0.0,-1,0.0,-1,1,-744.555353902,744.555353902,-744.555353902,744.555353902,-744.555353902,744.555353902,-744.555353902,744.555353902,-744.555353902,-744.555353902,-744.555353902,-744.555353902,744.555353902,744.555353902,-744.555353902,744.555353902,744.555353902,-744.555353902,744.555353902,-744.555353902,744.555353902,744.555353902,-744.555353902,744.555353902,744.555353902,-744.555353902,-0.0,744.555353902,-0.0,744.555353902,-744.555353902
LB,@LBX6,313.6,6.272685389,0.0255068672335,1.0,1.0,1.0,1.0,-1.0,-28.0,2016-07-27,689.99539279,3.0,1.0,1.0,34496.0,0.0255068672335,313.6,soft,1.0,-1.0,-1.0,-28.0,-1.0,-1.0,-27.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,-1,1,-1,-1,1,1,1.0,-1,-1,1,1,1,-1,1,1,1,1.0,1,0.0,1,-1,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
LC,@LEV6,100.025,1.97875,-0.0155019685039,-1.0,-1.0,1.0,-1.0,1.0,-3.0,2016-08-05,791.5,3.0,1.0,1.0,40010.0,-0.0155019685039,100.025,meat,1.0,-1.0,1.0,-3.0,-1.0,1.0,-2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,-1,1,1,1,-1,1,-1.0,1,-1,1,1,1,1,1,1,1,0.0,0,0.0,1,-1,-1860.70127953,1860.70127953,1860.70127953,-1860.70127953,-1860.70127953,1860.70127953,1860.70127953,-1860.70127953,-1860.70127953,1860.70127953,-1860.70127953,1860.70127953,-1860.70127953,-1860.70127953,-1860.70127953,1860.70127953,1860.70127953,-1860.70127953,1860.70127953,-1860.70127953,-1860.70127953,-1860.70127953,-1860.70127953,-1860.70127953,-1860.70127953,-1860.70127953,-0.0,-0.0,-0.0,-1860.70127953,1860.70127953
LCO,EBZ6,47.65,1.561,-0.00749843782545,-1.0,-1.0,1.0,-1.0,-1.0,-12.0,2016-08-19,1561.0,2.0,1.0,1.0,47650.0,-0.00749843782545,47.65,energy,1.0,1.0,-1.0,-12.0,1.0,-1.0,-11.0,1.0,1.0,2.0,1.0,2.0,2.0,,1.0,2.0,2.0,,-1.0,2.0,2.0,,-1.0,-1,-1,1,1,1,-1,1.0,-1,1,-1,1,1,1,1,-1,1,1.0,0,0.0,1,-1,-714.601124766,714.601124766,-714.601124766,714.601124766,-714.601124766,714.601124766,-714.601124766,714.601124766,-714.601124766,714.601124766,-714.601124766,714.601124766,-714.601124766,-714.601124766,714.601124766,-714.601124766,-714.601124766,714.601124766,-714.601124766,714.601124766,-714.601124766,-714.601124766,-714.601124766,-714.601124766,714.601124766,-714.601124766,-714.601124766,-0.0,-0.0,-714.601124766,714.601124766
LGO,GASZ6,419.25,13.2823911805,-0.0135294117647,-1.0,1.0,-1.0,1.0,-1.0,26.0,2016-08-01,1328.23911805,2.0,1.0,1.0,41925.0,-0.0135294117647,419.25,energy,1.0,1.0,-1.0,26.0,1.0,-1.0,25.0,-1.0,1.0,2.0,-1.0,1.0,2.0,,-1.0,2.0,2.0,,1.0,2.0,2.0,,1.0,-1,-1,-1,-1,1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-1,0.0,0,-1.0,-1,1,-1134.44117647,1134.44117647,-1134.44117647,1134.44117647,-1134.44117647,1134.44117647,-1134.44117647,1134.44117647,1134.44117647,-1134.44117647,1134.44117647,-1134.44117647,1134.44117647,1134.44117647,1134.44117647,-1134.44117647,1134.44117647,-1134.44117647,-1134.44117647,1134.44117647,1134.44117647,1134.44117647,-1134.44117647,1134.44117647,1134.44117647,1134.44117647,-0.0,-0.0,1134.44117647,1134.44117647,-1134.44117647
LH,@HEV6,58.925,1.97875,-0.0300411522634,-1.0,-1.0,1.0,-1.0,1.0,-2.0,2016-08-29,791.5,3.0,1.0,1.0,23570.0,-0.0300411522634,58.925,meat,1.0,-1.0,1.0,-2.0,-1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,-1,1,1,1,-1,1,1.0,-1,-1,1,1,1,-1,1,1,1,0.0,0,0.0,1,-1,-2124.20987654,2124.20987654,2124.20987654,-2124.20987654,-2124.20987654,2124.20987654,2124.20987654,-2124.20987654,-2124.20987654,2124.20987654,-2124.20987654,2124.20987654,-2124.20987654,-2124.20987654,-2124.20987654,2124.20987654,-2124.20987654,2124.20987654,2124.20987654,-2124.20987654,-2124.20987654,-2124.20987654,2124.20987654,-2124.20987654,-2124.20987654,-2124.20987654,-0.0,-0.0,-0.0,-2124.20987654,2124.20987654
LRC,LRCX6,1889.0,24.07849401,0.00639318060735,1.0,1.0,-1.0,1.0,-1.0,13.0,2016-08-17,240.7849401,9.0,2.0,2.0,18890.0,0.00639318060735,1889.0,soft,1.0,1.0,-1.0,13.0,1.0,-1.0,12.0,-1.0,1.0,9.0,-1.0,1.0,9.0,,-1.0,2.0,9.0,,1.0,2.0,9.0,,1.0,-1,-1,-1,-1,1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-1,0.0,0,-1.0,-1,1,1086.90463506,1086.90463506,1086.90463506,-1086.90463506,1086.90463506,-1086.90463506,1086.90463506,-1086.90463506,-1086.90463506,1086.90463506,-1086.90463506,1086.90463506,-1086.90463506,-1086.90463506,-1086.90463506,1086.90463506,-1086.90463506,1086.90463506,1086.90463506,-1086.90463506,-1086.90463506,-1086.90463506,1086.90463506,-1086.90463506,-1086.90463506,-1086.90463506,0.0,0.0,-1086.90463506,-1086.90463506,1086.90463506
LSU,QWV6,539.2,11.39,-0.00185116623473,-1.0,-1.0,-1.0,-1.0,-1.0,-27.0,2016-07-28,569.5,4.0,1.0,1.0,26960.0,-0.00185116623473,539.2,soft,1.0,1.0,-1.0,-27.0,1.0,-1.0,-26.0,-1.0,1.0,4.0,-1.0,1.0,4.0,,-1.0,1.0,4.0,,-1.0,1.0,4.0,,-1.0,-1,-1,1,1,1,-1,1.0,-1,1,-1,1,1,1,-1,-1,-1,0.0,0,-1.0,1,-1,-199.629766753,199.629766753,-199.629766753,199.629766753,-199.629766753,199.629766753,-199.629766753,199.629766753,199.629766753,199.629766753,199.629766753,199.629766753,-199.629766753,-199.629766753,199.629766753,-199.629766753,-199.629766753,199.629766753,-199.629766753,199.629766753,-199.629766753,-199.629766753,-199.629766753,199.629766753,199.629766753,199.629766753,-0.0,-0.0,199.629766753,-199.629766753,199.629766753
MEM,@MMEU6,928.1,12.82,0.0212367957746,1.0,1.0,-1.0,1.0,-1.0,-2.0,2016-08-25,641.0,4.0,1.0,1.0,46405.0,0.0212367957746,928.1,index,1.0,1.0,-1.0,-2.0,1.0,-1.0,-1.0,-1.0,1.0,4.0,-1.0,1.0,4.0,,-1.0,1.0,4.0,,1.0,1.0,4.0,,1.0,-1,-1,-1,-1,1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,-1,0.0,0,-1.0,-1,1,3941.97403169,3941.97403169,3941.97403169,-3941.97403169,3941.97403169,-3941.97403169,3941.97403169,-3941.97403169,-3941.97403169,3941.97403169,-3941.97403169,3941.97403169,-3941.97403169,-3941.97403169,-3941.97403169,3941.97403169,3941.97403169,-3941.97403169,3941.97403169,-3941.97403169,-3941.97403169,-3941.97403169,-3941.97403169,-3941.97403169,-3941.97403169,-3941.97403169,0.0,0.0,-3941.97403169,-3941.97403169,3941.97403169
MFX,IBU6,8889.5,113.290726844,-0.0067042851556,-1.0,1.0,-1.0,1.0,1.0,24.0,2016-08-03,1275.31371208,2.0,1.0,1.0,100069.1015,-0.0067042851556,8889.5,index,1.0,1.0,1.0,24.0,1.0,1.0,23.0,-1.0,1.0,2.0,-1.0,1.0,2.0,,-1.0,2.0,2.0,,1.0,2.0,2.0,,1.0,-1,-1,-1,-1,-1,-1,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,1,-1341.78358344,1341.78358344,-1341.78358344,1341.78358344,-1341.78358344,1341.78358344,-1341.78358344,1341.78358344,1341.78358344,-1341.78358344,1341.78358344,-1341.78358344,1341.78358344,1341.78358344,-1341.78358344,1341.78358344,-1341.78358344,1341.78358344,1341.78358344,1341.78358344,1341.78358344,1341.78358344,1341.78358344,1341.78358344,1341.78358344,1341.78358344,1341.78358344,1341.78358344,1341.78358344,1341.78358344,-1341.78358344
MP,@PXU6,0.05464,0.0006825,0.016369047619,1.0,-1.0,-1.0,-1.0,-1.0,-3.0,2016-08-16,341.25,6.0,1.0,1.0,27320.0,0.016369047619,0.05464,currency,1.0,1.0,-1.0,-3.0,1.0,-1.0,13.0,-1.0,1.0,6.0,-1.0,1.0,6.0,-1.0,,1.0,6.0,-1.0,,1.0,6.0,-1.0,,-1,-1,1,1,1,-1,-1.0,1,1,-1,1,1,1,-1,-1,-1,0.0,0,-1.0,1,-1,2683.21428571,2683.21428571,2683.21428571,-2683.21428571,2683.21428571,-2683.21428571,2683.21428571,-2683.21428571,-2683.21428571,-2683.21428571,-2683.21428571,-2683.21428571,2683.21428571,2683.21428571,-2683.21428571,2683.21428571,-2683.21428571,2683.21428571,2683.21428571,-2683.21428571,2683.21428571,2683.21428571,2683.21428571,-2683.21428571,-2683.21428571,-2683.21428571,0.0,0.0,-2683.21428571,2683.21428571,-2683.21428571
MW,@MWZ6,486.0,8.0304767105,-0.0111902339776,-1.0,-1.0,1.0,-1.0,1.0,-11.0,2016-08-19,401.523835525,5.0,1.0,1.0,24300.0,-0.0111902339776,486.0,grain,1.0,1.0,1.0,-11.0,1.0,1.0,-10.0,1.0,1.0,5.0,1.0,2.0,5.0,1.0,,1.0,5.0,-1.0,,1.0,5.0,-1.0,,-1,-1,1,1,-1,-1,-1.0,1,1,1,-1,1,1,-1,-1,1,0.0,-1,0.0,1,1,-1359.61342828,1359.61342828,-1359.61342828,1359.61342828,-1359.61342828,1359.61342828,-1359.61342828,1359.61342828,-1359.61342828,1359.61342828,-1359.61342828,1359.61342828,-1359.61342828,-1359.61342828,-1359.61342828,1359.61342828,1359.61342828,-1359.61342828,-1359.61342828,-1359.61342828,1359.61342828,-1359.61342828,-1359.61342828,1359.61342828,1359.61342828,-1359.61342828,-0.0,1359.61342828,-0.0,-1359.61342828,-1359.61342828
NE,@NEU6,0.7412,0.00802,0.0170142700329,1.0,1.0,-1.0,1.0,1.0,6.0,2016-08-26,802.0,3.0,1.0,1.0,74120.0,0.0170142700329,0.7412,currency,1.0,1.0,1.0,6.0,1.0,1.0,-31.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,-1,-1,-1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,-1,-1,-1.0,-1,-1.0,-1,1,3783.29308452,3783.29308452,3783.29308452,-3783.29308452,3783.29308452,-3783.29308452,3783.29308452,-3783.29308452,-3783.29308452,3783.29308452,-3783.29308452,3783.29308452,-3783.29308452,-3783.29308452,3783.29308452,-3783.29308452,-3783.29308452,3783.29308452,-3783.29308452,-3783.29308452,-3783.29308452,-3783.29308452,3783.29308452,-3783.29308452,-3783.29308452,-3783.29308452,-3783.29308452,-3783.29308452,-3783.29308452,-3783.29308452,3783.29308452
NG,QNGV6,2.717,0.0853853445,-0.0268624641834,-1.0,-1.0,1.0,-1.0,1.0,-17.0,2016-08-11,853.853445,3.0,1.0,1.0,27170.0,-0.0268624641834,2.717,energy,1.0,1.0,1.0,-17.0,1.0,1.0,-16.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,-1,-1,1,1,-1,-1,-1.0,1,1,1,-1,1,1,-1,-1,1,0.0,-1,0.0,1,1,-2189.55945559,2189.55945559,-2189.55945559,2189.55945559,-2189.55945559,2189.55945559,-2189.55945559,2189.55945559,-2189.55945559,2189.55945559,-2189.55945559,2189.55945559,-2189.55945559,-2189.55945559,-2189.55945559,2189.55945559,2189.55945559,-2189.55945559,-2189.55945559,-2189.55945559,2189.55945559,-2189.55945559,-2189.55945559,2189.55945559,2189.55945559,-2189.55945559,-0.0,2189.55945559,-0.0,-2189.55945559,-2189.55945559
NIY,@NKDZ6,16815.0,200.053850693,-0.0107997664914,-1.0,1.0,-1.0,1.0,1.0,7.0,2016-08-25,980.463883028,3.0,1.0,1.0,82410.3117036,-0.0107997664914,16815.0,index,1.0,-1.0,1.0,7.0,1.0,1.0,-1.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,1,-1,-1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,-1,-1,-1.0,-1,-1.0,-1,1,-2670.03636865,2670.03636865,-2670.03636865,2670.03636865,-2670.03636865,2670.03636865,2670.03636865,-2670.03636865,2670.03636865,-2670.03636865,2670.03636865,-2670.03636865,2670.03636865,2670.03636865,-2670.03636865,2670.03636865,2670.03636865,-2670.03636865,2670.03636865,2670.03636865,2670.03636865,2670.03636865,-2670.03636865,2670.03636865,2670.03636865,2670.03636865,2670.03636865,2670.03636865,2670.03636865,2670.03636865,-2670.03636865
NQ,@NQU6,4827.5,33.5375,0.00672540534904,1.0,-1.0,1.0,-1.0,1.0,18.0,2016-08-10,670.75,3.0,1.0,1.0,96550.0,0.00672540534904,4827.5,index,1.0,1.0,1.0,18.0,1.0,1.0,17.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,-1,-1,1,1,-1,-1,1.0,-1,1,-1,-1,-1,1,-1,-1,1,0.0,-1,0.0,1,1,1948.01365935,1948.01365935,1948.01365935,-1948.01365935,1948.01365935,-1948.01365935,1948.01365935,-1948.01365935,1948.01365935,-1948.01365935,1948.01365935,-1948.01365935,1948.01365935,1948.01365935,1948.01365935,-1948.01365935,1948.01365935,-1948.01365935,1948.01365935,-1948.01365935,-1948.01365935,-1948.01365935,1948.01365935,-1948.01365935,-1948.01365935,1948.01365935,0.0,-1948.01365935,0.0,1948.01365935,1948.01365935
O,@OZ6,173.5,4.5375,-0.0252808988764,-1.0,1.0,1.0,1.0,1.0,-21.0,2016-08-05,226.875,9.0,2.0,2.0,8675.0,-0.0252808988764,173.5,grain,1.0,-1.0,1.0,-21.0,-1.0,1.0,-20.0,1.0,1.0,9.0,1.0,1.0,9.0,1.0,,1.0,9.0,1.0,,1.0,9.0,1.0,,-1,1,-1,-1,-1,1,-1.0,1,-1,1,-1,-1,-1,1,1,1,0.0,0,0.0,1,1,-1973.80617978,1973.80617978,1973.80617978,-1973.80617978,-1973.80617978,1973.80617978,1973.80617978,-1973.80617978,-1973.80617978,-1973.80617978,-1973.80617978,-1973.80617978,1973.80617978,1973.80617978,-1973.80617978,1973.80617978,1973.80617978,-1973.80617978,1973.80617978,-1973.80617978,1973.80617978,1973.80617978,1973.80617978,-1973.80617978,-1973.80617978,-1973.80617978,-0.0,-0.0,-0.0,-1973.80617978,-1973.80617978
OJ,@OJX6,191.9,5.3911388095,0.0286786384347,1.0,1.0,1.0,1.0,-1.0,19.0,2016-08-09,808.670821425,3.0,1.0,1.0,28785.0,0.0286786384347,191.9,soft,1.0,1.0,-1.0,19.0,-1.0,-1.0,18.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,1.0,3.0,1.0,,1.0,3.0,1.0,,-1,-1,-1,-1,1,1,-1.0,1,-1,1,1,1,-1,1,1,1,1.0,1,0.0,1,-1,2476.54382203,2476.54382203,-2476.54382203,2476.54382203,2476.54382203,-2476.54382203,2476.54382203,-2476.54382203,2476.54382203,2476.54382203,2476.54382203,2476.54382203,-2476.54382203,-2476.54382203,-2476.54382203,2476.54382203,-2476.54382203,2476.54382203,-2476.54382203,2476.54382203,2476.54382203,2476.54382203,-2476.54382203,2476.54382203,2476.54382203,2476.54382203,2476.54382203,2476.54382203,0.0,2476.54382203,-2476.54382203
PA,QPAZ6,700.65,21.162819708,0.0402345779823,1.0,1.0,1.0,-1.0,-1.0,18.0,2016-08-10,2116.2819708,1.0,1.0,1.0,70065.0,0.0402345779823,700.65,metal,1.0,1.0,-1.0,18.0,1.0,-1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,-1.0,,-1,-1,1,-1,1,-1,-1.0,1,1,1,-1,1,1,1,-1,1,1.0,0,0.0,-1,-1,2819.03570633,2819.03570633,2819.03570633,-2819.03570633,2819.03570633,-2819.03570633,2819.03570633,-2819.03570633,2819.03570633,2819.03570633,2819.03570633,-2819.03570633,2819.03570633,-2819.03570633,-2819.03570633,2819.03570633,-2819.03570633,2819.03570633,2819.03570633,2819.03570633,-2819.03570633,2819.03570633,2819.03570633,2819.03570633,-2819.03570633,2819.03570633,2819.03570633,0.0,0.0,-2819.03570633,-2819.03570633
PL,QPLV6,1102.7,24.775,0.0381284127283,1.0,-1.0,1.0,-1.0,-1.0,18.0,2016-08-10,1238.75,2.0,1.0,1.0,55135.0,0.0381284127283,1102.7,metal,-1.0,1.0,-1.0,18.0,1.0,-1.0,17.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,,2.0,2.0,-1.0,,2.0,2.0,-1.0,,1,-1,1,1,1,-1,-1.0,1,1,1,1,1,1,1,1,-1,1.0,0,1.0,-1,-1,4204.42007155,4204.42007155,4204.42007155,-4204.42007155,-4204.42007155,4204.42007155,4204.42007155,-4204.42007155,-4204.42007155,-4204.42007155,4204.42007155,-4204.42007155,4204.42007155,4204.42007155,-4204.42007155,4204.42007155,-4204.42007155,4204.42007155,4204.42007155,4204.42007155,4204.42007155,4204.42007155,4204.42007155,4204.42007155,4204.42007155,-4204.42007155,4204.42007155,0.0,4204.42007155,-4204.42007155,-4204.42007155
RB,QRBV6,1.3164,0.0474835095,0.0113706207744,1.0,-1.0,-1.0,-1.0,-1.0,-11.0,2016-08-19,1994.307399,2.0,1.0,1.0,55288.8,0.0113706207744,1.3164,energy,1.0,1.0,-1.0,-11.0,1.0,-1.0,-10.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,,1.0,2.0,-1.0,,1.0,2.0,-1.0,,-1,-1,1,1,1,-1,1.0,-1,1,-1,1,1,1,-1,-1,-1,0.0,0,-1.0,1,-1,1257.33595575,1257.33595575,1257.33595575,-1257.33595575,1257.33595575,-1257.33595575,1257.33595575,-1257.33595575,-1257.33595575,-1257.33595575,-1257.33595575,-1257.33595575,1257.33595575,1257.33595575,-1257.33595575,1257.33595575,1257.33595575,-1257.33595575,1257.33595575,-1257.33595575,1257.33595575,1257.33595575,1257.33595575,-1257.33595575,-1257.33595575,-1257.33595575,0.0,0.0,-1257.33595575,1257.33595575,-1257.33595575
