2016-07-19 00:00:00,Contract,LastClose,ATR20,PC2016-07-19 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,prevACT,usdATR,QTY,contractValue,Close2016-07-19 00:00:00,RiskOn,group,SEA2016-07-19 00:00:00,SRUN2016-07-19 00:00:00,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-07-18 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-18 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-18 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-07-18 00:00:00,AntiSEA,AntiPrevACT,AdjSEA,Voting,RiskOff,chgValue,PNL_ACT,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_Voting,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff
HIC,HSIN6,21670.0,409.123942209,-0.00413602941176,-1.0,1.0,-1.0,1.0,1.0,15.0,2016-06-27,1.0,2632.71520083,1.0,139446.589447,21670.0,1.0,index,1.0,15.0,1.0,14.0,-1.0,,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,-1,-1,1.0,1,-1,-576.755195321,576.755195321,576.755195321,-576.755195321,576.755195321,-576.755195321,-576.755195321,576.755195321,-576.755195321,-576.755195321,-576.755195321,576.755195321,-576.755195321,576.755195321
HO,QHOU6,1.4098,0.054538394,0.00420257853123,1.0,-1.0,-1.0,-1.0,-1.0,13.0,2016-06-29,-1.0,2290.612548,1.0,59211.6,1.4098,1.0,energy,-1.0,13.0,-1.0,12.0,-1.0,,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,1,1,-1.0,-1,-1,248.84139896,248.84139896,-248.84139896,-248.84139896,-248.84139896,-248.84139896,-248.84139896,248.84139896,-248.84139896,-248.84139896,-248.84139896,248.84139896,248.84139896,-248.84139896
JY,@JYU6,0.94505,0.0150725,0.00047639212365,1.0,1.0,1.0,-1.0,1.0,-7.0,2016-07-08,-1.0,1884.0625,2.0,118131.25,0.94505,-1.0,currency,1.0,-7.0,1.0,-6.0,1.0,,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,-1,1,-1.0,-1,1,56.2767970569,112.553594114,112.553594114,112.553594114,112.553594114,-112.553594114,112.553594114,-112.553594114,-112.553594114,-112.553594114,-112.553594114,112.553594114,-112.553594114,112.553594114
KC,@KCU6,146.55,4.4425,-0.0194044831047,-1.0,1.0,-1.0,1.0,1.0,-1.0,2016-06-27,1.0,1665.9375,2.0,54956.25,146.55,1.0,soft,1.0,-1.0,1.0,14.0,-1.0,,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,1.0,1,-1,-1066.39762462,2132.79524925,2132.79524925,-2132.79524925,2132.79524925,-2132.79524925,-2132.79524925,2132.79524925,-2132.79524925,-2132.79524925,-2132.79524925,2132.79524925,-2132.79524925,2132.79524925
KW,@KWU6,410.5,11.7375,-0.022619047619,-1.0,1.0,1.0,1.0,1.0,-5.0,2016-07-12,1.0,586.875,4.0,20525.0,410.5,1.0,grain,1.0,-5.0,1.0,27.0,1.0,,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,1.0,1,-1,-464.255952381,1857.02380952,-1857.02380952,-1857.02380952,-1857.02380952,-1857.02380952,-1857.02380952,1857.02380952,-1857.02380952,-1857.02380952,-1857.02380952,1857.02380952,-1857.02380952,1857.02380952
LB,@LBU6,325.7,7.615,-0.00791958574475,-1.0,-1.0,-1.0,-1.0,-1.0,-11.0,2016-07-01,-1.0,837.65,3.0,35827.0,325.7,1.0,soft,-1.0,-11.0,-1.0,-10.0,-1.0,,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,1.0,-1,-1,-283.734998477,851.204995431,851.204995431,851.204995431,851.204995431,851.204995431,851.204995431,-851.204995431,-851.204995431,851.204995431,851.204995431,-851.204995431,-851.204995431,851.204995431
LC,@LEV6,109.475,2.1288784655,-0.010395480226,-1.0,-1.0,-1.0,1.0,1.0,5.0,2016-07-12,1.0,851.5513862,3.0,43790.0,109.475,1.0,meat,1.0,5.0,1.0,4.0,-1.0,,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,-1,-1,1.0,1,-1,-455.218079096,1365.65423729,1365.65423729,1365.65423729,1365.65423729,-1365.65423729,-1365.65423729,1365.65423729,-1365.65423729,-1365.65423729,-1365.65423729,1365.65423729,-1365.65423729,1365.65423729
LCO,EBZ6,48.18,1.72,-0.00454545454545,-1.0,-1.0,-1.0,-1.0,1.0,4.0,2016-07-13,-1.0,1720.0,2.0,48180.0,48.18,1.0,energy,1.0,4.0,1.0,3.0,-1.0,,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,1,1.0,-1,-1,-219.0,438.0,438.0,438.0,438.0,438.0,-438.0,438.0,-438.0,438.0,438.0,-438.0,-438.0,438.0
LGO,GASQ6,409.25,15.9375,0.0186683260734,1.0,-1.0,1.0,-1.0,1.0,-14.0,2016-06-29,-1.0,1593.75,2.0,40925.0,409.25,1.0,energy,1.0,-14.0,1.0,-13.0,1.0,,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,1,-1.0,-1,-1,764.001244555,1528.00248911,1528.00248911,-1528.00248911,1528.00248911,-1528.00248911,1528.00248911,-1528.00248911,-1528.00248911,-1528.00248911,-1528.00248911,1528.00248911,1528.00248911,-1528.00248911
LH,@HEV6,64.3,1.34655431,-0.0164435946463,-1.0,1.0,1.0,-1.0,1.0,-3.0,2016-06-20,-1.0,538.621724,4.0,25720.0,64.3,1.0,meat,1.0,-3.0,1.0,-2.0,1.0,,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,-1,1,-1.0,-1,-1,-422.929254302,1691.71701721,-1691.71701721,-1691.71701721,-1691.71701721,1691.71701721,-1691.71701721,1691.71701721,1691.71701721,1691.71701721,1691.71701721,-1691.71701721,-1691.71701721,1691.71701721
