,System,IB_Bal,IB_PBL,IB_MM,IB_PMM,IB_Start,IB_End,C2_Bal,C2_PBL,C2_MM,C2_PMM,C2_Start,C2_End
s101_#NAS100_M6,s101_#NAS100_M6,-8.8465,0.0,-8.8465,0.0,20160617 01:08:48 EST,20160617 08:07:14 EST,-283.8465,-275.0,-283.8465,-275.0,20160617 01:08:48 EST,20160617 08:07:14 EST
v1_GBPUSD,v1_GBPUSD,-331.4,-327.4,-328.4,-326.4,20160502 09:42:28 EST,20160504 21:52:39 EST,-335.4,-327.4,-335.4,-327.4,20160502 09:42:28 EST,20160504 21:52:39 EST
v1_AUDUSD,v1_AUDUSD,-357.8,-355.8,-352.8,-352.8,20160502 18:33:26 EST,20160504 21:52:42 EST,-359.8,-355.8,-359.8,-355.8,20160502 18:33:26 EST,20160504 21:52:42 EST
s101_#EUR50_M6,s101_#EUR50_M6,-2754.612,-2700.0,-2754.612,-2700.0,20160611 08:52:20 EST,20160614 06:35:11 EST,-405.718,-400.0,-405.718,-400.0,20160617 08:35:22 EST,20160617 17:51:03 EST
s101_#AUS200_Blend,s101_#AUS200_Blend,-638.72478,-551.0,-638.72478,-551.0,20160826 16:01:58 EST,20160829 11:20:33 EST,-410.7419,-312.0,-410.7419,-312.0,20160826 16:01:58 EST,20160829 11:20:33 EST
s101_#AUS200,s101_#AUS200,-2725.92958,-2616.0,-2725.92958,-2616.0,20160826 13:43:21 EST,20160829 10:06:31 EST,-815.83438,-640.0,-815.83438,-640.0,20160826 10:20:23 EST,20160829 10:06:31 EST
s101_#Greece25_Blend,s101_#Greece25_Blend,-1045.02774,-1036.0,-1045.02774,-1036.0,20160825 08:00:13 EST,20160826 11:00:30 EST,-1171.02774,-1162.0,-1171.02774,-1162.0,20160825 08:00:13 EST,20160826 11:00:30 EST
s101_#Japan225_Blend,s101_#Japan225_Blend,-1233.192,-1200.0,-1233.192,-1200.0,20160826 06:00:32 EST,20160828 16:15:16 EST,-1233.192,-1200.0,-1233.192,-1200.0,20160826 06:00:32 EST,20160828 16:15:16 EST
s101_#FRA40_M6_Blend,s101_#FRA40_M6_Blend,-1675.157,-1650.0,-1675.157,-1650.0,20160616 18:05:29 EST,20160617 15:35:01 EST,-1458.714,-1400.0,-1458.714,-1400.0,20160616 18:05:29 EST,20160617 15:35:01 EST
s101_#France120,s101_#France120,-1920.95288,-1801.0,-1920.95288,-1801.0,20160826 18:44:26 EST,20160829 14:12:24 EST,-1649.9888,-1516.0,-1649.9888,-1516.0,20160826 18:44:26 EST,20160829 14:12:24 EST
s101_#Holland25,s101_#Holland25,-867.0,-817.0,-867.0,-817.0,20160826 16:40:05 EST,20160829 14:40:06 EST,-1713.0,-1605.0,-1713.0,-1605.0,20160826 15:20:23 EST,20160829 14:40:06 EST
s101_#USNDAQ100_Blend,s101_#USNDAQ100_Blend,-3586.41672,-3462.0,-3586.41672,-3462.0,20160826 15:36:11 EST,20160829 08:40:42 EST,-1805.2272,-1633.0,-1805.2272,-1633.0,20160826 09:03:09 EST,20160829 08:40:42 EST
s101_#NAS100_M6_Blend,s101_#NAS100_M6_Blend,-2078.035,-2025.0,-2078.035,-2025.0,20160616 21:58:43 EST,20160617 15:56:21 EST,-1878.035,-1825.0,-1878.035,-1825.0,20160616 21:58:43 EST,20160617 15:56:21 EST
s101_#Denmark20,s101_#Denmark20,-1316.0,-1306.0,-1316.0,-1306.0,20160827 16:57:27 EST,20160829 11:45:03 EST,-1879.0,-1865.0,-1879.0,-1865.0,20160826 12:50:32 EST,20160829 11:45:03 EST
s101_#USSPX500_Blend,s101_#USSPX500_Blend,-2170.45756,-2127.0,-2170.45756,-2127.0,20160826 14:03:22 EST,20160829 13:00:48 EST,-2164.45756,-2121.0,-2164.45756,-2121.0,20160826 14:03:22 EST,20160829 13:00:48 EST
s101_#FRA40_M6,s101_#FRA40_M6,-875.176,-850.0,-875.176,-850.0,20160616 18:48:05 EST,20160617 12:21:15 EST,-2308.73,-2250.0,-2308.73,-2250.0,20160616 18:24:38 EST,20160617 12:21:15 EST
s101_#France120_Blend,s101_#France120_Blend,-2034.05368,-2020.0,-2034.05368,-2020.0,20160829 04:20:35 EST,20160829 11:20:45 EST,-2523.07464,-2502.0,-2523.07464,-2502.0,20160829 04:20:35 EST,20160829 11:20:45 EST
s101_#Denmark20_Blend,s101_#Denmark20_Blend,-2262.0,-2244.0,-2262.0,-2244.0,20160826 21:10:24 EST,20160829 11:00:59 EST,-2769.0,-2749.0,-2769.0,-2749.0,20160826 11:22:11 EST,20160829 11:00:59 EST
s101_#USNDAQ100,s101_#USNDAQ100,-3471.28882,-3366.0,-3471.28882,-3366.0,20160826 22:40:31 EST,20160829 10:06:27 EST,-3208.55886,-3065.0,-3208.55886,-3065.0,20160826 12:40:11 EST,20160829 10:06:27 EST
s101_#Poland20_Blend,s101_#Poland20_Blend,-3236.97674,-3166.0,-3236.97674,-3166.0,20160826 05:20:22 EST,20160829 03:40:30 EST,-3367.52334,-3293.0,-3367.52334,-3293.0,20160826 05:20:22 EST,20160829 03:40:30 EST
s101_#Sweden30_Blend,s101_#Sweden30_Blend,-3152.87764,-3136.0,-3152.87764,-3136.0,20160826 02:08:15 EST,20160829 01:20:14 EST,-3369.87764,-3353.0,-3369.87764,-3353.0,20160826 02:08:15 EST,20160829 01:20:14 EST
s101_#USSPX500,s101_#USSPX500,-1749.03696,-1736.0,-1749.03696,-1736.0,20160826 01:00:22 EST,20160828 13:20:27 EST,-3541.4207,-3498.0,-3541.4207,-3498.0,20160826 17:00:55 EST,20160829 14:00:43 EST
s101_#Poland20,s101_#Poland20,-2408.21212,-2355.0,-2408.21212,-2355.0,20160826 14:21:34 EST,20160829 13:31:47 EST,-3546.1234,-3461.0,-3546.1234,-3461.0,20160826 14:21:34 EST,20160829 13:31:47 EST
s101_#UK100_Blend,s101_#UK100_Blend,-4552.98052,-4376.0,-4552.98052,-4376.0,20160826 08:20:19 EST,20160829 04:40:34 EST,-4377.98052,-4201.0,-4377.98052,-4201.0,20160826 08:20:19 EST,20160829 04:40:34 EST
s101_#UK_Mid250,s101_#UK_Mid250,-26273.17006,-25951.0,-26273.17006,-25951.0,20160822 04:16:11 EST,20160825 02:56:16 EST,-4472.2529,-4150.0,-4472.2529,-4150.0,20160822 12:56:13 EST,20160825 10:40:07 EST
s101_#ChinaHShar_Blend,s101_#ChinaHShar_Blend,-3033.92384,-3000.0,-3033.92384,-3000.0,20160617 03:33:52 EST,20160618 10:16:47 EST,-4550.91576,-4500.0,-4550.91576,-4500.0,20160617 03:33:52 EST,20160618 10:16:47 EST
s101_#Nordic40_Blend,s101_#Nordic40_Blend,-4497.88976,-4466.0,-4497.88976,-4466.0,20160826 21:03:25 EST,20160829 14:12:17 EST,-4558.88976,-4527.0,-4558.88976,-4527.0,20160826 21:03:25 EST,20160829 14:12:17 EST
s101_#Euro50,s101_#Euro50,-2029.865,-1940.0,-2029.865,-1940.0,20160826 13:40:11 EST,20160829 11:20:26 EST,-4817.74,-4620.0,-4817.74,-4620.0,20160826 18:00:39 EST,20160829 14:40:09 EST
s101_#Finland25_Blend,s101_#Finland25_Blend,-4366.8276,-4326.0,-4366.8276,-4326.0,20160825 22:47:24 EST,20160828 20:23:38 EST,-5040.5903,-4993.0,-5040.5903,-4993.0,20160825 22:47:24 EST,20160828 20:23:38 EST
s101_#UK_Mid250_Blend,s101_#UK_Mid250_Blend,-2375.7172,-2340.0,-2375.7172,-2340.0,20160825 15:50:09 EST,20160826 07:40:12 EST,-5411.4212,-5340.0,-5411.4212,-5340.0,20160825 02:30:14 EST,20160826 07:40:12 EST
s101_#GER30_M6,s101_#GER30_M6,-1007.921,-950.0,-1007.921,-950.0,20160616 18:55:08 EST,20160617 11:06:42 EST,-5515.842,-5400.0,-5515.842,-5400.0,20160616 18:06:01 EST,20160617 11:06:42 EST
s101_#UK100,s101_#UK100,-3507.36086,-3249.0,-3507.36086,-3249.0,20160826 19:00:31 EST,20160829 13:41:34 EST,-5525.7358,-5077.0,-5525.7358,-5077.0,20160826 13:43:39 EST,20160829 13:41:34 EST
s101_#GerTech30,s101_#GerTech30,-2807.5784,-2780.0,-2807.5784,-2780.0,20160826 16:40:06 EST,20160829 07:30:14 EST,-5635.7916,-5560.0,-5635.7916,-5560.0,20160826 11:00:11 EST,20160829 07:30:14 EST
s101_#France40,s101_#France40,-3739.49444,-3598.0,-3739.49444,-3598.0,20160826 14:00:21 EST,20160829 13:58:25 EST,-5710.71296,-5525.0,-5710.71296,-5525.0,20160826 14:00:21 EST,20160829 13:58:25 EST
s101_#GerTech30_Blend,s101_#GerTech30_Blend,-4061.3412,-4020.0,-4061.3412,-4020.0,20160826 00:00:28 EST,20160828 19:04:34 EST,-5852.0268,-5790.0,-5852.0268,-5790.0,20160826 00:00:28 EST,20160828 19:04:34 EST
s101_#Japan225,s101_#Japan225,-3599.4,-3400.0,-3599.4,-3400.0,20160826 11:00:38 EST,20160829 03:40:31 EST,-6065.808,-5800.0,-6065.808,-5800.0,20160826 11:00:38 EST,20160829 03:40:31 EST
s101_#Holland25_Blend,s101_#Holland25_Blend,-6113.0,-6051.0,-6113.0,-6051.0,20160708 23:37:43 EST,20160711 22:43:14 EST,-6100.0,-6038.0,-6100.0,-6038.0,20160708 23:37:43 EST,20160711 22:43:14 EST
s101_#Hungary12_Blend,s101_#Hungary12_Blend,-4299.75972,-4244.0,-4299.75972,-4244.0,20160829 09:26:47 EST,20160829 13:00:52 EST,-6397.75972,-6342.0,-6397.75972,-6342.0,20160829 09:26:47 EST,20160829 13:00:52 EST
s101_#ChinaHShar,s101_#ChinaHShar,-6609.33196,-6505.0,-6609.33196,-6505.0,20160702 12:51:53 EST,20160705 10:49:13 EST,-6609.33196,-6505.0,-6609.33196,-6505.0,20160702 12:51:53 EST,20160705 10:49:13 EST
s101_#Euro50_Blend,s101_#Euro50_Blend,-4601.9146,-4470.0,-4601.9146,-4470.0,20160826 14:21:54 EST,20160829 13:59:24 EST,-6733.8662,-6590.0,-6733.8662,-6590.0,20160826 14:03:27 EST,20160829 13:59:24 EST
s101_#ChinaA50,s101_#ChinaA50,-4239.43,-4220.0,-4239.43,-4220.0,20160828 10:20:45 EST,20160829 09:04:36 EST,-6758.9444,-6720.0,-6758.9444,-6720.0,20160828 10:20:45 EST,20160829 09:04:36 EST
s101_#France40_Blend,s101_#France40_Blend,-1209.12172,-1156.0,-1209.12172,-1156.0,20160603 05:15:15 EST,20160606 00:23:15 EST,-7097.97532,-7036.0,-7097.97532,-7036.0,20160603 05:15:15 EST,20160606 00:23:15 EST
s101_#Finland25,s101_#Finland25,-736.6305,-723.0,-736.6305,-723.0,20160827 14:00:11 EST,20160829 10:04:21 EST,-7632.41726,-7571.0,-7632.41726,-7571.0,20160826 11:00:17 EST,20160829 10:04:21 EST
s101_#Greece25,s101_#Greece25,-7094.01268,-7040.0,-7094.01268,-7040.0,20160826 07:51:08 EST,20160829 07:47:04 EST,-7763.01808,-7703.0,-7763.01808,-7703.0,20160826 07:51:08 EST,20160829 07:47:04 EST
s101_#US30,s101_#US30,3542.282,3800.0,3542.282,3800.0,20160826 13:43:22 EST,20160829 13:00:29 EST,-8036.22,-7300.0,-8036.22,-7300.0,20160826 13:43:22 EST,20160829 13:00:29 EST
s101_#Swiss20,s101_#Swiss20,-10178.75794,-9719.0,-10178.75794,-9719.0,20160706 02:35:58 EST,20160707 17:53:03 EST,-8610.60464,-7992.0,-8610.60464,-7992.0,20160706 02:35:58 EST,20160707 17:53:03 EST
s101_#Germany30,s101_#Germany30,-7514.0408,-7051.0,-7514.0408,-7051.0,20160826 14:03:22 EST,20160829 12:07:09 EST,-9498.30824,-8825.0,-9498.30824,-8825.0,20160826 12:40:47 EST,20160829 12:07:09 EST
s101_#Belgium20_Blend,s101_#Belgium20_Blend,-9643.6026,-9480.0,-9643.6026,-9480.0,20160826 10:20:33 EST,20160829 09:14:05 EST,-11879.123,-11680.0,-11879.123,-11680.0,20160826 10:20:33 EST,20160829 09:14:05 EST
s101_#Sweden30,s101_#Sweden30,-9274.84824,-9210.0,-9274.84824,-9210.0,20160826 13:43:30 EST,20160829 12:07:00 EST,-12855.57694,-12771.0,-12855.57694,-12771.0,20160826 13:43:30 EST,20160829 12:07:00 EST
s101_#Spain35_Blend,s101_#Spain35_Blend,-14339.916,-14100.0,-14339.916,-14100.0,20160826 12:40:09 EST,20160829 08:40:24 EST,-13791.54,-13500.0,-13791.54,-13500.0,20160826 12:40:09 EST,20160829 08:40:24 EST
s101_#Germany50_Blend,s101_#Germany50_Blend,-8545.818,-7900.0,-8545.818,-7900.0,20160827 03:00:35 EST,20160829 13:47:21 EST,-14604.046,-13700.0,-14604.046,-13700.0,20160827 01:34:12 EST,20160829 13:47:21 EST
s101_#US30_Blend,s101_#US30_Blend,-15015.324,-14500.0,-15015.324,-14500.0,20160826 12:40:43 EST,20160829 11:00:58 EST,-16999.308,-16300.0,-16999.308,-16300.0,20160826 12:40:43 EST,20160829 11:00:58 EST
s101_#Spain35,s101_#Spain35,-14323.122,-14100.0,-14323.122,-14100.0,20160826 12:40:59 EST,20160829 12:07:37 EST,-17894.662,-17500.0,-17894.662,-17500.0,20160826 12:40:59 EST,20160829 12:07:37 EST
s101_#Belgium20,s101_#Belgium20,-11876.2082,-11670.0,-11876.2082,-11670.0,20160826 13:43:24 EST,20160829 11:00:50 EST,-19045.6664,-18740.0,-19045.6664,-18740.0,20160826 13:43:24 EST,20160829 11:36:38 EST
s101_#ChinaA50_Blend,s101_#ChinaA50_Blend,-13377.451,-13280.0,-13377.451,-13280.0,20160826 10:50:18 EST,20160829 00:07:13 EST,-23005.4086,-22830.0,-23005.4086,-22830.0,20160826 09:01:52 EST,20160829 00:07:13 EST
s101_#Portugal20_Blend,s101_#Portugal20_Blend,-21071.904,-20950.0,-21071.904,-20950.0,20160826 03:37:18 EST,20160828 22:24:17 EST,-27690.0508,-27540.0,-27690.0508,-27540.0,20160826 12:30:56 EST,20160829 10:17:21 EST
s101_#Germany50,s101_#Germany50,-16331.908,-15600.0,-16331.908,-15600.0,20160826 15:00:21 EST,20160829 13:40:47 EST,-34318.208,-33200.0,-34318.208,-33200.0,20160826 15:00:21 EST,20160829 13:40:47 EST
s101_#Portugal20,s101_#Portugal20,-25421.2818,-25290.0,-25421.2818,-25290.0,20160826 11:21:40 EST,20160829 05:11:34 EST,-38207.003,-38010.0,-38207.003,-38010.0,20160826 08:20:20 EST,20160829 08:00:09 EST
s101_#JPN225_M6,s101_#JPN225_M6,-35271.42,-34500.0,-35271.42,-34500.0,20160611 14:10:48 EST,20160614 14:07:47 EST,-38338.5,-37500.0,-38338.5,-37500.0,20160611 14:10:48 EST,20160614 14:07:47 EST
s101_#HongKong50_Blend,s101_#HongKong50_Blend,-45772.45566,-45314.0,-45772.45566,-45314.0,20160826 19:22:47 EST,20160829 13:00:26 EST,-47043.45566,-46585.0,-47043.45566,-46585.0,20160826 19:22:47 EST,20160829 13:00:26 EST
s101_#SWI20_M6,s101_#SWI20_M6,-48230.836,-48200.0,-48230.836,-48200.0,20160614 04:42:15 EST,20160617 04:28:33 EST,-48230.836,-48200.0,-48230.836,-48200.0,20160614 04:42:15 EST,20160617 04:28:33 EST
s101_#HongKong50,s101_#HongKong50,-41399.95412,-40987.0,-41399.95412,-40987.0,20160826 09:02:11 EST,20160829 08:31:02 EST,-54484.29684,-53843.0,-54484.29684,-53843.0,20160826 09:02:11 EST,20160829 08:31:02 EST
s101_#GER30_M6_Blend,s101_#GER30_M6_Blend,-64738.603,-64700.0,-64738.603,-64700.0,20160614 10:33:33 EST,20160617 06:56:17 EST,-64188.603,-64150.0,-64188.603,-64150.0,20160614 10:33:33 EST,20160617 06:56:17 EST
s101_#Hungary12,s101_#Hungary12,-132609.90366,-132000.0,-132609.90366,-132000.0,20160826 08:20:52 EST,20160828 22:48:28 EST,-660954.08698,-657905.0,-660954.08698,-657905.0,20160826 12:40:45 EST,20160829 12:07:07 EST
