2016-08-09 00:00:00,Contract,LastClose,ATR20,PC2016-08-09 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,contractValue,Close2016-08-09 00:00:00,RiskOn,group,PC2016-08-08 00:00:00,Close2016-08-08 00:00:00,SEA2016-08-09 00:00:00,SRUN2016-08-09 00:00:00,SEA2016-08-08 00:00:00,SRUN2016-08-08 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-08 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-08 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-08 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-08 00:00:00,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,RiskOff,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6
LC,@LEV6,115.0,1.963982421,0.00305276929786,1.0,1.0,-1.0,1.0,-1.0,13.0,2016-07-21,785.5929684,3.0,1.0,46000.0,115.0,1.0,meat,,,-1.0,13.0,,,-1.0,-1.0,12.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1,1,1,-1.0,1,1,-1,1,1,-1,1,-1,421.282163105,421.282163105,-421.282163105,421.282163105,421.282163105,-421.282163105,-421.282163105,421.282163105,-421.282163105,421.282163105,-421.282163105,-421.282163105,-421.282163105,421.282163105,-421.282163105,421.282163105,421.282163105,-421.282163105,421.282163105,421.282163105,-421.282163105,421.282163105
LCO,EBZ6,45.87,1.2805,-0.00800173010381,-1.0,-1.0,1.0,-1.0,-1.0,-5.0,2016-08-02,1280.5,2.0,1.0,45870.0,45.87,1.0,energy,,,-1.0,-5.0,,,1.0,-1.0,-4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,1,-1,1.0,-1,1,1,-1,1,1,1,-1,-734.078719723,734.078719723,-734.078719723,734.078719723,-734.078719723,734.078719723,-734.078719723,734.078719723,-734.078719723,734.078719723,-734.078719723,-734.078719723,734.078719723,-734.078719723,-734.078719723,734.078719723,-734.078719723,-734.078719723,734.078719723,-734.078719723,-734.078719723,-734.078719723
LGO,GASU6,392.5,12.6735245165,0.00641025641026,1.0,1.0,-1.0,1.0,-1.0,6.0,2016-08-01,1267.35245165,2.0,1.0,39250.0,392.5,1.0,energy,,,-1.0,6.0,,,1.0,-1.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,1,-1,-1.0,1,1,-1,1,1,1,-1,-1,503.205128205,503.205128205,503.205128205,-503.205128205,503.205128205,-503.205128205,503.205128205,503.205128205,-503.205128205,503.205128205,-503.205128205,-503.205128205,-503.205128205,503.205128205,-503.205128205,503.205128205,503.205128205,-503.205128205,503.205128205,503.205128205,503.205128205,-503.205128205
LH,@HEV6,58.2,1.62375,-0.0110450297366,-1.0,-1.0,1.0,-1.0,1.0,7.0,2016-08-01,649.5,4.0,1.0,23280.0,58.2,1.0,meat,,,1.0,7.0,,,1.0,-1.0,6.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,1,1,-1,-1.0,1,1,-1,-1,-1,1,1,-1,-1028.51316907,1028.51316907,-1028.51316907,1028.51316907,-1028.51316907,1028.51316907,-1028.51316907,1028.51316907,-1028.51316907,1028.51316907,-1028.51316907,-1028.51316907,1028.51316907,-1028.51316907,1028.51316907,-1028.51316907,-1028.51316907,1028.51316907,1028.51316907,1028.51316907,-1028.51316907,-1028.51316907
LRC,LRCU6,1819.0,26.0,-0.00328767123288,-1.0,1.0,1.0,1.0,1.0,18.0,2016-07-25,260.0,8.0,2.0,18190.0,1819.0,1.0,soft,,,1.0,18.0,,,1.0,1.0,17.0,-1.0,1.0,8.0,-1.0,1.0,8.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,-1,-1,-1,-1,1.0,-1,1,1,-1,1,-1,-1,-1,-478.421917808,478.421917808,-478.421917808,478.421917808,-478.421917808,478.421917808,478.421917808,-478.421917808,-478.421917808,-478.421917808,478.421917808,478.421917808,-478.421917808,478.421917808,-478.421917808,478.421917808,-478.421917808,-478.421917808,478.421917808,-478.421917808,478.421917808,478.421917808
LSU,QWV6,549.4,11.04,-0.00668956789007,-1.0,-1.0,-1.0,-1.0,-1.0,-8.0,2016-07-28,552.0,4.0,1.0,27470.0,549.4,1.0,soft,,,-1.0,-8.0,,,1.0,-1.0,-7.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,1,1,-1,1.0,-1,1,-1,-1,-1,1,-1,-1,-735.049719761,735.049719761,-735.049719761,735.049719761,-735.049719761,735.049719761,-735.049719761,735.049719761,735.049719761,735.049719761,-735.049719761,-735.049719761,735.049719761,-735.049719761,-735.049719761,735.049719761,-735.049719761,735.049719761,735.049719761,735.049719761,-735.049719761,735.049719761
MEM,@MMEU6,903.3,10.86,0.0071356895975,1.0,-1.0,-1.0,1.0,-1.0,-16.0,2016-07-18,543.0,4.0,1.0,45165.0,903.3,1.0,index,,,-1.0,-16.0,,,1.0,-1.0,-15.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,-1,1,1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,1289.13368268,1289.13368268,1289.13368268,-1289.13368268,1289.13368268,-1289.13368268,-1289.13368268,-1289.13368268,-1289.13368268,1289.13368268,-1289.13368268,1289.13368268,-1289.13368268,1289.13368268,1289.13368268,-1289.13368268,1289.13368268,-1289.13368268,-1289.13368268,-1289.13368268,-1289.13368268,-1289.13368268
MFX,IBQ6,8667.2,139.965,0.0116606165303,1.0,1.0,1.0,1.0,1.0,7.0,2016-08-03,1555.710975,2.0,1.0,96335.928,8667.2,1.0,index,,,1.0,7.0,,,1.0,1.0,-3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,2246.672629,2246.672629,2246.672629,-2246.672629,2246.672629,-2246.672629,2246.672629,2246.672629,2246.672629,2246.672629,-2246.672629,-2246.672629,2246.672629,-2246.672629,-2246.672629,2246.672629,2246.672629,-2246.672629,-2246.672629,-2246.672629,2246.672629,-2246.672629
MP,@PXU6,0.05406,0.000567,0.0076421248835,1.0,1.0,-1.0,1.0,-1.0,-5.0,2016-08-02,283.5,8.0,2.0,27030.0,0.05406,1.0,currency,,,-1.0,-5.0,,,1.0,-1.0,-4.0,-1.0,1.0,8.0,-1.0,1.0,8.0,-1.0,2.0,8.0,1.0,2.0,8.0,1.0,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,1652.53308481,1652.53308481,1652.53308481,-1652.53308481,1652.53308481,-1652.53308481,-1652.53308481,1652.53308481,-1652.53308481,1652.53308481,-1652.53308481,-1652.53308481,-1652.53308481,1652.53308481,1652.53308481,-1652.53308481,1652.53308481,-1652.53308481,1652.53308481,1652.53308481,-1652.53308481,-1652.53308481
MW,@MWU6,498.25,8.5125,-0.0025025025025,-1.0,1.0,1.0,1.0,1.0,-6.0,2016-08-01,425.625,5.0,2.0,24912.5,498.25,1.0,grain,,,1.0,-6.0,,,1.0,1.0,-5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,2.0,5.0,1.0,2.0,5.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-311.717967968,311.717967968,-311.717967968,311.717967968,-311.717967968,311.717967968,-311.717967968,-311.717967968,-311.717967968,-311.717967968,311.717967968,311.717967968,-311.717967968,311.717967968,311.717967968,-311.717967968,-311.717967968,311.717967968,311.717967968,311.717967968,-311.717967968,311.717967968
NE,@NEU6,0.7137,0.00784,0.00126262626263,1.0,1.0,1.0,1.0,-1.0,-13.0,2016-07-21,784.0,3.0,1.0,71370.0,0.7137,1.0,currency,,,-1.0,-13.0,,,-1.0,-1.0,-12.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1,1,1,1.0,-1,1,1,1,1,-1,1,-1,270.340909091,270.340909091,-270.340909091,270.340909091,270.340909091,-270.340909091,-270.340909091,270.340909091,270.340909091,270.340909091,-270.340909091,-270.340909091,-270.340909091,270.340909091,270.340909091,-270.340909091,270.340909091,270.340909091,270.340909091,270.340909091,-270.340909091,270.340909091
NG,QNGU6,2.615,0.0944,-0.0483988355167,-1.0,-1.0,1.0,-1.0,-1.0,7.0,2016-07-29,944.0,3.0,1.0,26150.0,2.615,1.0,energy,,,-1.0,7.0,,,-1.0,-1.0,-4.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,-1,-3796.88864629,3796.88864629,3796.88864629,-3796.88864629,-3796.88864629,3796.88864629,3796.88864629,3796.88864629,-3796.88864629,3796.88864629,-3796.88864629,-3796.88864629,3796.88864629,-3796.88864629,-3796.88864629,3796.88864629,3796.88864629,-3796.88864629,-3796.88864629,-3796.88864629,3796.88864629,-3796.88864629
NIY,@NKDU6,16680.0,315.75,0.00270513976555,1.0,-1.0,1.0,-1.0,-1.0,-4.0,2016-08-03,1549.46510943,2.0,1.0,81852.9787025,16680.0,1.0,index,,,-1.0,-4.0,,,1.0,-1.0,-3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,1,-1,1.0,-1,1,1,-1,1,1,1,-1,442.847495235,442.847495235,442.847495235,-442.847495235,442.847495235,-442.847495235,442.847495235,-442.847495235,442.847495235,-442.847495235,442.847495235,442.847495235,-442.847495235,442.847495235,442.847495235,-442.847495235,442.847495235,442.847495235,-442.847495235,442.847495235,442.847495235,442.847495235
NQ,@NQU6,4791.75,40.525,0.00261547313909,1.0,1.0,-1.0,1.0,1.0,-15.0,2016-07-19,810.5,3.0,1.0,95835.0,4791.75,1.0,index,,,1.0,-15.0,,,-1.0,1.0,-14.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-1,-1,751.961604854,751.961604854,-751.961604854,751.961604854,751.961604854,-751.961604854,-751.961604854,751.961604854,-751.961604854,751.961604854,-751.961604854,-751.961604854,751.961604854,-751.961604854,-751.961604854,751.961604854,-751.961604854,-751.961604854,751.961604854,-751.961604854,-751.961604854,-751.961604854
O,@OZ6,184.0,4.8625,-0.00808625336927,-1.0,-1.0,-1.0,-1.0,1.0,5.0,2016-08-02,243.125,9.0,3.0,9200.0,184.0,1.0,grain,,,1.0,5.0,,,1.0,1.0,4.0,1.0,1.0,9.0,1.0,1.0,9.0,-1.0,2.0,9.0,-1.0,2.0,9.0,-1.0,1,1,-1,-1,1.0,-1,-1,-1,-1,-1,1,-1,-1,-669.541778976,669.541778976,-669.541778976,669.541778976,-669.541778976,669.541778976,-669.541778976,669.541778976,669.541778976,669.541778976,-669.541778976,-669.541778976,-669.541778976,669.541778976,-669.541778976,669.541778976,669.541778976,669.541778976,669.541778976,669.541778976,-669.541778976,669.541778976
OJ,@OJU6,183.6,6.7725,0.0361173814898,1.0,-1.0,1.0,-1.0,1.0,-1.0,2016-08-02,1015.875,2.0,1.0,27540.0,183.6,1.0,soft,,,1.0,-1.0,,,-1.0,1.0,1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,-1,1,1.0,-1,-1,1,-1,-1,-1,1,-1,1989.34537246,1989.34537246,-1989.34537246,1989.34537246,1989.34537246,-1989.34537246,-1989.34537246,-1989.34537246,1989.34537246,-1989.34537246,1989.34537246,1989.34537246,1989.34537246,-1989.34537246,1989.34537246,-1989.34537246,-1989.34537246,1989.34537246,-1989.34537246,-1989.34537246,-1989.34537246,1989.34537246
PA,QPAU6,694.35,15.3175,0.00151449588923,1.0,1.0,1.0,-1.0,-1.0,5.0,2016-08-02,1531.75,2.0,1.0,69435.0,694.35,1.0,metal,,,-1.0,5.0,,,-1.0,-1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,1,-1,1,1,-1.0,1,-1,1,1,1,1,1,-1,210.318044137,210.318044137,-210.318044137,210.318044137,210.318044137,-210.318044137,210.318044137,210.318044137,210.318044137,-210.318044137,210.318044137,-210.318044137,-210.318044137,210.318044137,-210.318044137,210.318044137,-210.318044137,210.318044137,210.318044137,210.318044137,210.318044137,210.318044137
PL,QPLV6,1159.9,22.735,0.00389475506318,1.0,1.0,-1.0,1.0,-1.0,-18.0,2016-07-14,1136.75,2.0,1.0,57995.0,1159.9,-1.0,metal,,,-1.0,-18.0,,,1.0,-1.0,-17.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,1,451.752639778,451.752639778,451.752639778,-451.752639778,-451.752639778,451.752639778,-451.752639778,451.752639778,-451.752639778,451.752639778,-451.752639778,-451.752639778,-451.752639778,451.752639778,451.752639778,-451.752639778,451.752639778,-451.752639778,451.752639778,451.752639778,-451.752639778,-451.752639778
RB,QRBU6,1.3462,0.04024,-0.0116005873715,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,2016-07-28,1690.08,2.0,1.0,56540.4,1.3462,1.0,energy,,,-1.0,8.0,,,-1.0,-1.0,7.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,1,1,1,1,-1.0,1,-1,-1,1,-1,1,1,-1,-1311.80370044,1311.80370044,1311.80370044,-1311.80370044,-1311.80370044,1311.80370044,-1311.80370044,1311.80370044,1311.80370044,1311.80370044,-1311.80370044,-1311.80370044,1311.80370044,-1311.80370044,1311.80370044,-1311.80370044,1311.80370044,1311.80370044,-1311.80370044,1311.80370044,-1311.80370044,-1311.80370044
RR,@RRU6,9.7,0.22275,0.00414078674948,1.0,1.0,-1.0,1.0,1.0,-2.0,2016-08-01,445.5,5.0,2.0,19400.0,9.7,1.0,grain,,,1.0,-2.0,,,1.0,1.0,-1.0,1.0,1.0,5.0,1.0,1.0,5.0,-1.0,2.0,5.0,1.0,2.0,5.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,401.6563147,401.6563147,401.6563147,-401.6563147,401.6563147,-401.6563147,401.6563147,401.6563147,-401.6563147,401.6563147,-401.6563147,-401.6563147,401.6563147,-401.6563147,-401.6563147,401.6563147,401.6563147,-401.6563147,-401.6563147,-401.6563147,401.6563147,-401.6563147
RS,@RSX6,459.7,8.725,0.0125550660793,1.0,-1.0,-1.0,-1.0,1.0,4.0,2016-08-03,133.053755242,16.0,4.0,7010.293557,459.7,1.0,grain,,,1.0,4.0,,,1.0,1.0,3.0,1.0,1.0,16.0,1.0,1.0,16.0,-1.0,2.0,16.0,-1.0,2.0,16.0,-1.0,1,1,-1,-1,1.0,-1,-1,-1,-1,-1,1,-1,-1,1408.23518149,1408.23518149,1408.23518149,-1408.23518149,1408.23518149,-1408.23518149,1408.23518149,-1408.23518149,-1408.23518149,-1408.23518149,1408.23518149,1408.23518149,1408.23518149,-1408.23518149,1408.23518149,-1408.23518149,-1408.23518149,-1408.23518149,-1408.23518149,-1408.23518149,1408.23518149,-1408.23518149
S,@SX6,988.0,29.7375,0.00304568527919,1.0,1.0,-1.0,1.0,1.0,-5.0,2016-08-02,1486.875,2.0,1.0,49400.0,988.0,1.0,grain,,,1.0,-5.0,,,1.0,1.0,-4.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,300.913705584,300.913705584,300.913705584,-300.913705584,300.913705584,-300.913705584,300.913705584,300.913705584,-300.913705584,300.913705584,-300.913705584,-300.913705584,300.913705584,-300.913705584,-300.913705584,300.913705584,300.913705584,-300.913705584,-300.913705584,-300.913705584,300.913705584,-300.913705584
SB,@SBV6,20.39,0.56,-0.00778588807786,-1.0,1.0,-1.0,1.0,-1.0,-8.0,2016-07-28,627.2,4.0,1.0,22836.8,20.39,1.0,soft,,,-1.0,-8.0,,,1.0,-1.0,-7.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,-711.219075426,711.219075426,-711.219075426,711.219075426,-711.219075426,711.219075426,711.219075426,-711.219075426,711.219075426,-711.219075426,711.219075426,711.219075426,711.219075426,-711.219075426,-711.219075426,711.219075426,-711.219075426,711.219075426,-711.219075426,-711.219075426,711.219075426,711.219075426
SF,@SFU6,1.0201,0.00731,0.000686678438297,1.0,-1.0,1.0,-1.0,1.0,10.0,2016-08-02,913.75,3.0,1.0,127512.5,1.0201,1.0,currency,,,1.0,10.0,,,-1.0,1.0,-4.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,-1,262.68025309,262.68025309,-262.68025309,262.68025309,262.68025309,-262.68025309,262.68025309,-262.68025309,262.68025309,-262.68025309,262.68025309,262.68025309,262.68025309,-262.68025309,-262.68025309,262.68025309,-262.68025309,262.68025309,-262.68025309,-262.68025309,262.68025309,262.68025309
SI,QSIU6,1985.0,45.6,0.00227215349659,1.0,-1.0,-1.0,-1.0,-1.0,14.0,2016-08-02,2280.0,1.0,1.0,99250.0,1985.0,-1.0,metal,,,-1.0,14.0,,,-1.0,-1.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,1,1,1,1,-1.0,1,-1,-1,1,-1,1,1,1,225.511234537,225.511234537,-225.511234537,225.511234537,-225.511234537,225.511234537,225.511234537,-225.511234537,-225.511234537,-225.511234537,225.511234537,225.511234537,-225.511234537,225.511234537,-225.511234537,225.511234537,-225.511234537,-225.511234537,225.511234537,-225.511234537,225.511234537,225.511234537
SIN,INQ6,8707.0,85.336303115,-0.00274882602222,-1.0,1.0,-1.0,1.0,1.0,-13.0,2016-07-21,170.67260623,12.0,3.0,17414.0,8707.0,1.0,index,,,1.0,-13.0,,,1.0,1.0,-12.0,1.0,1.0,12.0,1.0,1.0,12.0,-1.0,2.0,12.0,1.0,2.0,12.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-574.416676211,574.416676211,-574.416676211,574.416676211,-574.416676211,574.416676211,-574.416676211,-574.416676211,574.416676211,-574.416676211,574.416676211,574.416676211,-574.416676211,574.416676211,574.416676211,-574.416676211,-574.416676211,574.416676211,574.416676211,574.416676211,-574.416676211,574.416676211
SJB,BBU6,151.57,0.514,0.00264602765099,1.0,-1.0,1.0,-1.0,1.0,1.0,2016-07-27,504.465600157,4.0,1.0,148758.465011,151.57,-1.0,rates,,,1.0,1.0,,,1.0,1.0,-8.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,1,1574.47604695,1574.47604695,1574.47604695,-1574.47604695,-1574.47604695,1574.47604695,1574.47604695,-1574.47604695,1574.47604695,-1574.47604695,1574.47604695,1574.47604695,1574.47604695,-1574.47604695,-1574.47604695,1574.47604695,-1574.47604695,-1574.47604695,-1574.47604695,-1574.47604695,1574.47604695,-1574.47604695
SM,@SMZ6,333.3,11.265,0.00270758122744,1.0,1.0,1.0,1.0,1.0,-3.0,2016-07-29,1126.5,2.0,1.0,33330.0,333.3,1.0,grain,,,1.0,-3.0,,,1.0,1.0,-2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,180.487364621,180.487364621,180.487364621,-180.487364621,180.487364621,-180.487364621,180.487364621,180.487364621,180.487364621,180.487364621,-180.487364621,-180.487364621,180.487364621,-180.487364621,-180.487364621,180.487364621,180.487364621,-180.487364621,-180.487364621,-180.487364621,180.487364621,-180.487364621
SMI,SWU6,8226.0,83.75,0.00833537631772,1.0,-1.0,-1.0,-1.0,1.0,-9.0,2016-08-03,853.372732831,3.0,1.0,83819.034033,8226.0,1.0,index,,,1.0,-9.0,,,-1.0,-1.0,-8.0,-1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,-1,2095.98957376,2095.98957376,-2095.98957376,2095.98957376,2095.98957376,-2095.98957376,-2095.98957376,-2095.98957376,-2095.98957376,-2095.98957376,2095.98957376,2095.98957376,-2095.98957376,2095.98957376,2095.98957376,-2095.98957376,-2095.98957376,2095.98957376,2095.98957376,2095.98957376,-2095.98957376,2095.98957376
SSG,SSQ6,315.85,3.8774525685,,1.0,-1.0,-1.0,1.0,-1.0,-3.0,2016-07-21,578.724263955,4.0,1.0,47141.7910448,,1.0,index,0.0170664949284,315.85,,,-1.0,-3.0,1.0,-1.0,-3.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,-1,1,1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,
STW,TWQ6,340.9,3.878770126,0.00294204177699,1.0,-1.0,-1.0,1.0,1.0,-18.0,2016-07-14,387.8770126,6.0,2.0,34090.0,340.9,1.0,index,,,1.0,-18.0,,,1.0,1.0,-17.0,1.0,1.0,6.0,1.0,1.0,6.0,-1.0,1.0,6.0,-1.0,2.0,6.0,1.0,-1,1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,601.765225066,601.765225066,601.765225066,-601.765225066,601.765225066,-601.765225066,601.765225066,-601.765225066,-601.765225066,601.765225066,-601.765225066,601.765225066,601.765225066,-601.765225066,-601.765225066,601.765225066,601.765225066,-601.765225066,-601.765225066,-601.765225066,601.765225066,-601.765225066
SXE,EXU6,3028.0,42.05,0.014745308311,1.0,1.0,-1.0,1.0,-1.0,-5.0,2016-08-02,467.38575,5.0,2.0,33656.22,3028.0,1.0,index,,,-1.0,-5.0,,,1.0,-1.0,-4.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,2.0,5.0,1.0,2.0,5.0,1.0,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,2481.35670241,2481.35670241,2481.35670241,-2481.35670241,2481.35670241,-2481.35670241,-2481.35670241,2481.35670241,-2481.35670241,2481.35670241,-2481.35670241,-2481.35670241,-2481.35670241,2481.35670241,2481.35670241,-2481.35670241,2481.35670241,-2481.35670241,2481.35670241,2481.35670241,-2481.35670241,-2481.35670241
TF,@TFSU6,1229.9,12.59,0.0022001303781,1.0,1.0,-1.0,1.0,1.0,-24.0,2016-07-06,1259.0,2.0,1.0,122990.0,1229.9,1.0,index,,,1.0,-24.0,,,-1.0,1.0,-23.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,-1,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-1,-1,541.188070404,541.188070404,-541.188070404,541.188070404,541.188070404,-541.188070404,-541.188070404,541.188070404,-541.188070404,541.188070404,-541.188070404,-541.188070404,541.188070404,-541.188070404,-541.188070404,541.188070404,-541.188070404,-541.188070404,541.188070404,-541.188070404,-541.188070404,-541.188070404
TU,@TUU6,109.390625,0.09140625,0.000285755107873,1.0,1.0,1.0,1.0,1.0,-3.0,2016-07-25,182.8125,11.0,3.0,218781.25,109.390625,-1.0,rates,,,1.0,-3.0,,,1.0,1.0,-2.0,1.0,1.0,11.0,1.0,1.0,11.0,1.0,1.0,11.0,1.0,1.0,11.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,1,687.696456637,687.696456637,687.696456637,-687.696456637,-687.696456637,687.696456637,687.696456637,687.696456637,687.696456637,687.696456637,-687.696456637,-687.696456637,687.696456637,-687.696456637,-687.696456637,687.696456637,687.696456637,-687.696456637,-687.696456637,-687.696456637,687.696456637,-687.696456637
TY,@TYU6,132.34375,0.57109375,0.00224825464442,1.0,-1.0,-1.0,-1.0,1.0,-7.0,2016-07-29,571.09375,4.0,1.0,132343.75,132.34375,-1.0,rates,,,1.0,-7.0,,,-1.0,1.0,-6.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,1,-1,1,-1.0,1,-1,-1,-1,-1,1,-1,1,1190.16980239,1190.16980239,-1190.16980239,1190.16980239,-1190.16980239,1190.16980239,1190.16980239,-1190.16980239,-1190.16980239,-1190.16980239,1190.16980239,1190.16980239,1190.16980239,-1190.16980239,-1190.16980239,1190.16980239,-1190.16980239,-1190.16980239,-1190.16980239,-1190.16980239,1190.16980239,-1190.16980239
US,@USU6,172.71875,1.715625,0.0061896959767,1.0,-1.0,1.0,-1.0,1.0,-7.0,2016-07-29,1715.625,2.0,1.0,172718.75,172.71875,-1.0,rates,,,1.0,-7.0,,,1.0,1.0,-6.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,1,2138.15310395,2138.15310395,2138.15310395,-2138.15310395,-2138.15310395,2138.15310395,2138.15310395,-2138.15310395,2138.15310395,-2138.15310395,2138.15310395,2138.15310395,2138.15310395,-2138.15310395,-2138.15310395,2138.15310395,-2138.15310395,-2138.15310395,-2138.15310395,-2138.15310395,2138.15310395,-2138.15310395
VX,@VXQ6,12.375,0.69225,-0.00801603206413,-1.0,-1.0,1.0,-1.0,1.0,-12.0,2016-07-22,692.25,3.0,1.0,12375.0,12.375,-1.0,index,,,1.0,-12.0,,,-1.0,1.0,-11.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,1,-297.595190381,297.595190381,297.595190381,-297.595190381,297.595190381,-297.595190381,-297.595190381,297.595190381,-297.595190381,297.595190381,-297.595190381,-297.595190381,-297.595190381,297.595190381,297.595190381,-297.595190381,297.595190381,-297.595190381,297.595190381,297.595190381,-297.595190381,-297.595190381
