2016-10-24 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2016-10-24 00:00:00,Close2016-10-24 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2016-10-24 00:00:00,LastSRUN,SRUN2016-10-24 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2016-10-21 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-10-21 00:00:00,0.5SIG2016-10-20 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-10-21 00:00:00,0.75SIG2016-10-20 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-10-21 00:00:00,1SIG2016-10-20 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
FSS,LLZ6,99.6,0.017,-5.01982832188e-05,-1.0,-1.0,1.0,-1.0,1.0,-30.0,2016-09-09,26.012125,38.0,10.0,10.0,152400.45,0.816926721673,-5.01982832188e-05,99.6,rates,-1.0,-1.0,2016-09-09,1.0,1.0,-31.0,-31.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,1.0,0.0,-1.0,,1.0,0.0,-1.0,,0,1,1,1,1,-1,-1,-1,-1.0,1,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0.0,1,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
FV,@FVZ6,120.953125,0.231640625,-0.000838980316231,-1.0,1.0,1.0,-1.0,-1.0,13.0,2016-10-04,231.640625,4.0,2.0,2.0,120953.125,1.0,-0.000838980316231,120.953125,rates,-1.0,1.0,2016-10-04,-1.0,-1.0,14.0,14.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,,1.0,4.0,1.0,,2.0,4.0,-1.0,,0,1,-1,1,-1,-1,1,-1,-1.0,1,1,1,-1,-1,-1,-1.0,0.0,-1.0,-1.0,1.0,-1.0,1,0,0.0,1,-405.909164247,405.909164247,-405.909164247,405.909164247,405.909164247,-405.909164247,-405.909164247,405.909164247,-405.909164247,-405.909164247,-405.909164247,405.909164247,-405.909164247,405.909164247,405.909164247,405.909164247,-405.909164247,405.909164247,-405.909164247,-405.909164247,-405.909164247,405.909164247,-0.0,-0.0,-405.909164247,405.909164247,405.909164247,405.909164247,-0.0,405.909164247,405.909164247,-405.909164247,405.909164247,-405.909164247
GC,QGCZ6,1263.7,13.555,-0.00315532065946,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,2016-09-28,1355.5,1.0,1.0,1.0,126370.0,1.0,-0.00315532065946,1263.7,metal,-1.0,1.0,2016-09-28,-1.0,-1.0,18.0,18.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,,2.0,1.0,-1.0,,1.0,1.0,-1.0,,0,1,-1,1,1,1,1,-1,-1.0,1,1,-1,1,1,-1,-1.0,-1.0,0.0,-1.0,0.0,-1.0,1,0,0.0,1,-398.737871736,398.737871736,-398.737871736,398.737871736,398.737871736,-398.737871736,-398.737871736,398.737871736,-398.737871736,398.737871736,398.737871736,398.737871736,-398.737871736,-398.737871736,-398.737871736,398.737871736,-398.737871736,398.737871736,-398.737871736,-398.737871736,398.737871736,-398.737871736,-0.0,-0.0,-398.737871736,-398.737871736,398.737871736,398.737871736,398.737871736,-0.0,398.737871736,-0.0,398.737871736,-398.737871736
HCM,HHIV6,9850.0,181.7,0.0145226078896,1.0,1.0,-1.0,1.0,1.0,-9.0,2016-10-06,1171.13981489,1.0,1.0,1.0,63487.7665197,7.7574,0.0145226078896,9850.0,index,1.0,1.0,2016-10-13,1.0,1.0,6.0,6.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,,-1.0,2.0,1.0,,1.0,2.0,1.0,,1.0,0,-1,-1,-1,-1,1,-1,-1,-1.0,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1,-1,0.0,-1,922.007938951,922.007938951,922.007938951,-922.007938951,922.007938951,-922.007938951,922.007938951,-922.007938951,-922.007938951,922.007938951,-922.007938951,922.007938951,-922.007938951,-922.007938951,922.007938951,922.007938951,-922.007938951,-922.007938951,922.007938951,922.007938951,-922.007938951,-922.007938951,-922.007938951,0.0,-922.007938951,-922.007938951,-922.007938951,-922.007938951,-922.007938951,-922.007938951,-922.007938951,922.007938951,922.007938951,-922.007938951
HG,QHGZ6,209.3,2.89,0.002154656452,1.0,-1.0,1.0,-1.0,1.0,15.0,2016-09-30,722.5,1.0,1.0,1.0,52325.0,1.0,0.002154656452,209.3,metal,1.0,1.0,2016-09-30,1.0,1.0,16.0,16.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,0,-1,-1,1,1,-1,-1,1,1.0,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,112.742398851,112.742398851,-112.742398851,112.742398851,112.742398851,-112.742398851,112.742398851,-112.742398851,112.742398851,-112.742398851,112.742398851,-112.742398851,112.742398851,112.742398851,-112.742398851,112.742398851,-112.742398851,112.742398851,-112.742398851,112.742398851,112.742398851,112.742398851,112.742398851,112.742398851,112.742398851,112.742398851,112.742398851,112.742398851,112.742398851,112.742398851,112.742398851,-112.742398851,112.742398851,-112.742398851
HIC,HSIV6,23613.0,365.1,0.00910256410256,1.0,-1.0,1.0,-1.0,1.0,-14.0,2016-09-29,2353.23690927,1.0,1.0,1.0,152196.612267,7.7574,0.00910256410256,23613.0,index,1.0,1.0,2016-09-29,1.0,1.0,-15.0,-15.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,,1.0,1.0,1.0,,-1.0,1.0,1.0,,-1.0,0,-1,-1,1,1,-1,-1,-1,-1.0,1,1,1,-1,1,1,-1.0,0.0,0.0,-1.0,0.0,1.0,-1,1,1.0,0,1385.37941935,1385.37941935,1385.37941935,-1385.37941935,1385.37941935,-1385.37941935,1385.37941935,-1385.37941935,0.0,-1385.37941935,1385.37941935,-1385.37941935,1385.37941935,1385.37941935,-1385.37941935,1385.37941935,-1385.37941935,-1385.37941935,1385.37941935,1385.37941935,1385.37941935,-1385.37941935,1385.37941935,1385.37941935,0.0,1385.37941935,1385.37941935,-1385.37941935,0.0,0.0,-1385.37941935,0.0,1385.37941935,-1385.37941935
HO,QHOF7,1.6166,0.038734488,0.00260481270156,1.0,-1.0,-1.0,1.0,-1.0,-27.0,2016-09-14,1626.848496,1.0,1.0,1.0,67897.2,1.0,0.00260481270156,1.6166,energy,1.0,1.0,2016-09-14,-1.0,-1.0,-28.0,-28.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-1.0,,1.0,1.0,-1.0,,1.0,1.0,1.0,,0,-1,-1,-1,1,1,1,-1,1.0,-1,-1,-1,1,1,1,1.0,0.0,1.0,1.0,1.0,1.0,1,0,0.0,0,176.859488961,176.859488961,176.859488961,-176.859488961,176.859488961,-176.859488961,176.859488961,-176.859488961,0.0,-176.859488961,-176.859488961,176.859488961,-176.859488961,176.859488961,176.859488961,-176.859488961,176.859488961,176.859488961,-176.859488961,-176.859488961,-176.859488961,176.859488961,0.0,0.0,0.0,176.859488961,176.859488961,176.859488961,0.0,176.859488961,176.859488961,176.859488961,176.859488961,176.859488961
JY,@JYZ6,0.9611,0.0080725,-0.00388661449966,-1.0,-1.0,1.0,-1.0,1.0,-13.0,2016-10-04,1009.0625,1.0,1.0,1.0,120137.5,1.0,-0.00388661449966,0.9611,currency,-1.0,1.0,2016-10-04,-1.0,-1.0,-14.0,-14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,-1.0,,1.0,1.0,-1.0,,0,1,-1,1,1,-1,-1,-1,-1.0,1,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0.0,1,-466.928149453,466.928149453,-466.928149453,466.928149453,466.928149453,-466.928149453,-466.928149453,466.928149453,-466.928149453,466.928149453,-466.928149453,466.928149453,-466.928149453,-466.928149453,466.928149453,-466.928149453,466.928149453,466.928149453,-466.928149453,-466.928149453,-466.928149453,466.928149453,-0.0,-0.0,-466.928149453,466.928149453,466.928149453,466.928149453,466.928149453,466.928149453,466.928149453,466.928149453,466.928149453,-466.928149453
KC,@KCZ6,157.9,3.1125,0.011531069827,1.0,1.0,-1.0,1.0,-1.0,11.0,2016-10-06,1167.1875,1.0,1.0,1.0,59212.5,1.0,0.011531069827,157.9,soft,1.0,1.0,2016-10-06,-1.0,-1.0,12.0,12.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,-1,-1,-1,1,1,-1,-1.0,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,1.0,-1,-1,-1.0,-1,682.783472133,682.783472133,682.783472133,-682.783472133,682.783472133,-682.783472133,682.783472133,-682.783472133,-682.783472133,682.783472133,-682.783472133,682.783472133,-682.783472133,-682.783472133,682.783472133,-682.783472133,682.783472133,-682.783472133,682.783472133,-682.783472133,-682.783472133,-682.783472133,-682.783472133,-682.783472133,-682.783472133,682.783472133,-682.783472133,682.783472133,0.0,0.0,-682.783472133,682.783472133,682.783472133,-682.783472133
KW,@KWZ6,412.5,9.6875,-0.0213523131673,-1.0,-1.0,1.0,-1.0,-1.0,7.0,2016-10-12,484.375,2.0,1.0,1.0,20625.0,1.0,-0.0213523131673,412.5,grain,1.0,1.0,2016-10-12,-1.0,-1.0,8.0,8.0,-1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,2.0,2.0,-1.0,,2.0,2.0,-1.0,,0,-1,-1,1,1,-1,1,1,-1.0,1,-1,1,1,1,1,1.0,1.0,1.0,-1.0,0.0,-1.0,1,1,0.0,1,-880.782918149,880.782918149,880.782918149,-880.782918149,-880.782918149,880.782918149,-880.782918149,880.782918149,-880.782918149,880.782918149,-880.782918149,880.782918149,-880.782918149,-880.782918149,880.782918149,880.782918149,-880.782918149,880.782918149,-880.782918149,880.782918149,-880.782918149,-880.782918149,-880.782918149,-0.0,-880.782918149,-880.782918149,-880.782918149,-880.782918149,-880.782918149,-880.782918149,880.782918149,-0.0,880.782918149,-880.782918149
LB,@LBF7,319.6,6.8681751825,-0.00187382885696,-1.0,-1.0,1.0,-1.0,1.0,-10.0,2016-10-07,755.499270075,1.0,1.0,1.0,35156.0,1.0,-0.00187382885696,319.6,soft,1.0,-1.0,2016-10-07,1.0,1.0,-11.0,-11.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,2.0,0.0,-1.0,,2.0,0.0,-1.0,,0,-1,1,1,1,-1,-1,1,-1.0,1,1,1,1,1,1,1.0,1.0,1.0,-1.0,-1.0,1.0,-1,1,1.0,1,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
LC,@LEZ6,104.25,2.32875,0.0233128834356,1.0,-1.0,1.0,-1.0,-1.0,-6.0,2016-10-13,931.5,1.0,1.0,1.0,41700.0,1.0,0.0233128834356,104.25,meat,1.0,-1.0,2016-10-13,-1.0,-1.0,-7.0,-7.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,-1.0,,1.0,1.0,-1.0,,0,-1,1,1,1,-1,1,-1,1.0,-1,1,-1,1,1,1,1.0,1.0,1.0,-1.0,1.0,-1.0,1,1,0.0,1,972.147239264,972.147239264,972.147239264,-972.147239264,972.147239264,-972.147239264,-972.147239264,972.147239264,972.147239264,-972.147239264,972.147239264,-972.147239264,972.147239264,972.147239264,-972.147239264,-972.147239264,972.147239264,972.147239264,-972.147239264,972.147239264,-972.147239264,972.147239264,972.147239264,0.0,972.147239264,972.147239264,972.147239264,972.147239264,972.147239264,972.147239264,-972.147239264,972.147239264,-972.147239264,972.147239264
LCO,EBF7,52.43,1.40130975,-0.00493452267983,-1.0,1.0,1.0,1.0,-1.0,-25.0,2016-09-16,1401.30975,1.0,1.0,1.0,52430.0,1.0,-0.00493452267983,52.43,energy,1.0,1.0,2016-09-16,-1.0,-1.0,-26.0,-26.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,0,-1,-1,-1,-1,-1,1,-1,1.0,-1,-1,-1,-1,1,-1,1.0,1.0,0.0,1.0,1.0,-1.0,-1,-1,-1.0,-1,-258.717024103,258.717024103,-258.717024103,258.717024103,-258.717024103,258.717024103,-258.717024103,258.717024103,258.717024103,-258.717024103,-258.717024103,-258.717024103,258.717024103,258.717024103,258.717024103,258.717024103,-258.717024103,-258.717024103,258.717024103,258.717024103,258.717024103,258.717024103,258.717024103,258.717024103,258.717024103,-258.717024103,258.717024103,-258.717024103,-258.717024103,-0.0,-258.717024103,-258.717024103,258.717024103,258.717024103
LGO,GASZ6,465.25,12.7375,-0.000537056928034,-1.0,-1.0,-1.0,-1.0,-1.0,-18.0,2016-09-27,1273.75,1.0,1.0,1.0,46525.0,1.0,-0.000537056928034,465.25,energy,1.0,1.0,2016-09-27,-1.0,-1.0,-19.0,-19.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,0,-1,-1,1,1,1,1,-1,1.0,-1,1,-1,1,1,1,1.0,0.0,1.0,-1.0,1.0,1.0,1,1,1.0,1,-24.9865735768,24.9865735768,-24.9865735768,24.9865735768,-24.9865735768,24.9865735768,-24.9865735768,24.9865735768,-24.9865735768,24.9865735768,24.9865735768,24.9865735768,-24.9865735768,-24.9865735768,-24.9865735768,24.9865735768,-24.9865735768,-24.9865735768,24.9865735768,-24.9865735768,24.9865735768,-24.9865735768,-24.9865735768,-24.9865735768,-24.9865735768,-24.9865735768,-24.9865735768,-24.9865735768,-0.0,-24.9865735768,24.9865735768,-24.9865735768,-24.9865735768,-24.9865735768
LH,@HEZ6,43.2,1.65375,0.0322580645161,1.0,1.0,-1.0,1.0,-1.0,6.0,2016-10-13,661.5,1.0,1.0,1.0,17280.0,1.0,0.0322580645161,43.2,meat,1.0,-1.0,2016-10-13,-1.0,-1.0,-2.0,-2.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,1,-1,-1,1,1,-1,-1.0,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,1.0,-1,-1,-1.0,-1,557.419354839,557.419354839,557.419354839,-557.419354839,557.419354839,-557.419354839,-557.419354839,557.419354839,-557.419354839,557.419354839,-557.419354839,557.419354839,-557.419354839,-557.419354839,557.419354839,-557.419354839,557.419354839,-557.419354839,557.419354839,-557.419354839,-557.419354839,-557.419354839,-557.419354839,-557.419354839,-557.419354839,557.419354839,-557.419354839,557.419354839,0.0,0.0,-557.419354839,557.419354839,557.419354839,-557.419354839
LRC,LRCF7,2161.0,28.7195139905,0.00371574547144,1.0,1.0,1.0,1.0,1.0,-6.0,2016-10-13,287.195139905,3.0,1.0,1.0,21610.0,1.0,0.00371574547144,2161.0,soft,1.0,1.0,2016-10-13,1.0,1.0,-7.0,-7.0,1.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,0,-1,-1,-1,-1,-1,-1,-1,-1.0,1,1,1,-1,-1,-1,-1.0,0.0,-1.0,-1.0,1.0,1.0,-1,0,1.0,0,240.891778913,240.891778913,240.891778913,-240.891778913,240.891778913,-240.891778913,240.891778913,-240.891778913,0.0,240.891778913,240.891778913,240.891778913,-240.891778913,-240.891778913,-240.891778913,240.891778913,-240.891778913,-240.891778913,240.891778913,240.891778913,240.891778913,-240.891778913,0.0,240.891778913,0.0,-240.891778913,-240.891778913,-240.891778913,0.0,-240.891778913,-240.891778913,240.891778913,240.891778913,-240.891778913
LSU,QWZ6,605.5,11.64,0.019703603907,1.0,1.0,-1.0,1.0,-1.0,23.0,2016-09-28,582.0,1.0,1.0,1.0,30275.0,1.0,0.019703603907,605.5,soft,1.0,1.0,2016-09-28,-1.0,-1.0,24.0,24.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,-1,-1,-1,1,1,-1,-1.0,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,1.0,-1,-1,-1.0,-1,596.526608286,596.526608286,596.526608286,-596.526608286,596.526608286,-596.526608286,596.526608286,-596.526608286,-596.526608286,596.526608286,-596.526608286,596.526608286,-596.526608286,-596.526608286,596.526608286,-596.526608286,596.526608286,-596.526608286,596.526608286,-596.526608286,-596.526608286,-596.526608286,-596.526608286,-596.526608286,-596.526608286,596.526608286,-596.526608286,596.526608286,0.0,0.0,-596.526608286,596.526608286,596.526608286,-596.526608286
MEM,@MMEZ6,918.7,12.86,0.00404371584699,1.0,1.0,-1.0,1.0,1.0,-18.0,2016-09-27,643.0,1.0,1.0,1.0,45935.0,1.0,0.00404371584699,918.7,index,1.0,1.0,2016-09-27,-1.0,-1.0,-19.0,-19.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,-1,-1,-1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1.0,0.0,0.0,1.0,0.0,1.0,-1,0,0.0,-1,185.748087432,185.748087432,-185.748087432,185.748087432,185.748087432,-185.748087432,185.748087432,-185.748087432,-185.748087432,185.748087432,-185.748087432,185.748087432,-185.748087432,-185.748087432,185.748087432,185.748087432,-185.748087432,-185.748087432,185.748087432,-185.748087432,185.748087432,-185.748087432,0.0,0.0,-185.748087432,-185.748087432,185.748087432,185.748087432,0.0,0.0,185.748087432,0.0,185.748087432,-185.748087432
MFX,IBX6,9173.2,133.883315096,0.0143417924476,1.0,1.0,-1.0,1.0,1.0,6.0,2016-10-13,1456.51658492,1.0,1.0,1.0,99795.2428,0.919202132549,0.0143417924476,9173.2,index,1.0,1.0,2016-10-13,1.0,1.0,7.0,7.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,-1,-1,-1,1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,1431.2426595,1431.2426595,1431.2426595,-1431.2426595,1431.2426595,-1431.2426595,1431.2426595,-1431.2426595,-1431.2426595,1431.2426595,-1431.2426595,1431.2426595,-1431.2426595,-1431.2426595,1431.2426595,1431.2426595,-1431.2426595,1431.2426595,-1431.2426595,1431.2426595,-1431.2426595,-1431.2426595,-1431.2426595,0.0,-1431.2426595,-1431.2426595,-1431.2426595,-1431.2426595,-1431.2426595,-1431.2426595,1431.2426595,1431.2426595,1431.2426595,-1431.2426595
MP,@PXZ6,0.05353,0.000579,0.000560747663551,1.0,1.0,-1.0,1.0,-1.0,-2.0,2016-09-26,289.5,3.0,1.0,1.0,26765.0,1.0,0.000560747663551,0.05353,currency,1.0,1.0,2016-09-26,1.0,1.0,-3.0,-3.0,1.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,0,-1,-1,-1,-1,1,1,-1,1.0,-1,-1,-1,-1,1,-1,1.0,0.0,0.0,1.0,1.0,1.0,-1,-1,-1.0,-1,45.0252336449,45.0252336449,45.0252336449,-45.0252336449,45.0252336449,-45.0252336449,45.0252336449,-45.0252336449,-45.0252336449,45.0252336449,-45.0252336449,45.0252336449,-45.0252336449,-45.0252336449,45.0252336449,-45.0252336449,45.0252336449,45.0252336449,-45.0252336449,-45.0252336449,-45.0252336449,-45.0252336449,-45.0252336449,-45.0252336449,-45.0252336449,45.0252336449,-45.0252336449,45.0252336449,0.0,0.0,45.0252336449,45.0252336449,45.0252336449,-45.0252336449
MW,@MWZ6,524.75,8.7875,-0.00803402646503,-1.0,1.0,1.0,1.0,-1.0,36.0,2016-08-31,439.375,2.0,1.0,1.0,26237.5,1.0,-0.00803402646503,524.75,grain,1.0,1.0,2016-08-31,-1.0,-1.0,37.0,37.0,-1.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,,1.0,2.0,1.0,,1.0,2.0,1.0,,0,-1,-1,-1,-1,-1,1,1,-1.0,1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0,-421.585538752,421.585538752,421.585538752,-421.585538752,-421.585538752,421.585538752,-421.585538752,421.585538752,-0.0,-421.585538752,-421.585538752,-421.585538752,421.585538752,421.585538752,421.585538752,421.585538752,-421.585538752,421.585538752,-421.585538752,421.585538752,-421.585538752,-421.585538752,-421.585538752,-0.0,-0.0,-421.585538752,-421.585538752,-421.585538752,-421.585538752,-421.585538752,-421.585538752,-421.585538752,421.585538752,421.585538752
NE,@NEZ6,0.7119,0.00638,-0.00308080100826,-1.0,1.0,1.0,-1.0,1.0,8.0,2016-10-11,638.0,1.0,1.0,1.0,71190.0,1.0,-0.00308080100826,0.7119,currency,1.0,1.0,2016-10-11,1.0,1.0,9.0,9.0,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,,2.0,1.0,-1.0,,0,-1,-1,1,-1,-1,-1,1,1.0,-1,1,1,-1,-1,1,1.0,1.0,0.0,1.0,0.0,1.0,-1,1,1.0,0,-219.322223778,219.322223778,219.322223778,-219.322223778,-219.322223778,219.322223778,-219.322223778,219.322223778,-0.0,-219.322223778,-219.322223778,219.322223778,-219.322223778,219.322223778,219.322223778,-219.322223778,219.322223778,-219.322223778,219.322223778,-219.322223778,-219.322223778,219.322223778,-219.322223778,-219.322223778,-0.0,219.322223778,-219.322223778,-219.322223778,-219.322223778,-0.0,-219.322223778,-0.0,-219.322223778,219.322223778
NG,QNGF7,3.465,0.104009573,-0.0111301369863,-1.0,-1.0,-1.0,1.0,-1.0,15.0,2016-09-30,1040.09573,1.0,1.0,1.0,34650.0,1.0,-0.0111301369863,3.465,energy,1.0,1.0,2016-09-30,-1.0,-1.0,-16.0,-16.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,1.0,1.0,-1.0,,1.0,1.0,1.0,,0,-1,-1,-1,1,1,1,1,-1.0,1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,1.0,1,1,1.0,1,-385.659246575,385.659246575,385.659246575,-385.659246575,-385.659246575,385.659246575,-385.659246575,385.659246575,-385.659246575,385.659246575,385.659246575,-385.659246575,385.659246575,-385.659246575,-385.659246575,385.659246575,-385.659246575,385.659246575,-385.659246575,385.659246575,-385.659246575,-385.659246575,-385.659246575,-385.659246575,-385.659246575,-385.659246575,-385.659246575,-385.659246575,-385.659246575,-385.659246575,-385.659246575,-0.0,-385.659246575,-385.659246575
NIY,@NKDZ6,17340.0,202.75,0.00521739130435,1.0,1.0,-1.0,1.0,1.0,-18.0,2016-09-27,972.795317148,1.0,1.0,1.0,83197.3898858,104.21,0.00521739130435,17340.0,index,1.0,-1.0,2016-09-27,1.0,1.0,-19.0,-19.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,1,-1,-1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1.0,0.0,0.0,1.0,0.0,1.0,-1,0,0.0,-1,434.073338535,434.073338535,-434.073338535,434.073338535,434.073338535,-434.073338535,-434.073338535,434.073338535,-434.073338535,434.073338535,-434.073338535,434.073338535,-434.073338535,-434.073338535,434.073338535,434.073338535,-434.073338535,-434.073338535,434.073338535,-434.073338535,434.073338535,-434.073338535,0.0,0.0,-434.073338535,-434.073338535,434.073338535,434.073338535,0.0,0.0,434.073338535,0.0,434.073338535,-434.073338535
NQ,@NQZ6,4902.75,47.0125,0.0122851391111,1.0,1.0,-1.0,1.0,1.0,14.0,2016-10-03,940.25,1.0,1.0,1.0,98055.0,1.0,0.0122851391111,4902.75,index,1.0,1.0,2016-10-03,1.0,1.0,15.0,15.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,0,-1,-1,-1,-1,1,-1,1,1.0,-1,-1,-1,-1,-1,1,1.0,0.0,0.0,1.0,0.0,1.0,-1,-1,-1.0,-1,1204.61931554,1204.61931554,-1204.61931554,1204.61931554,1204.61931554,-1204.61931554,1204.61931554,-1204.61931554,-1204.61931554,1204.61931554,-1204.61931554,1204.61931554,-1204.61931554,-1204.61931554,1204.61931554,1204.61931554,-1204.61931554,1204.61931554,-1204.61931554,-1204.61931554,-1204.61931554,-1204.61931554,-1204.61931554,-1204.61931554,-1204.61931554,-1204.61931554,1204.61931554,1204.61931554,0.0,0.0,1204.61931554,0.0,1204.61931554,-1204.61931554
O,@OZ6,213.25,5.525,-0.0229095074456,-1.0,-1.0,-1.0,1.0,-1.0,26.0,2016-09-15,276.25,3.0,1.0,1.0,10662.5,1.0,-0.0229095074456,213.25,grain,1.0,-1.0,2016-09-15,-1.0,-1.0,27.0,27.0,1.0,0.0,1.0,3.0,0.0,1.0,3.0,-1.0,,1.0,3.0,-1.0,,2.0,3.0,1.0,,0,-1,1,-1,1,1,1,-1,-1.0,1,-1,-1,1,1,1,1.0,0.0,1.0,-1.0,1.0,1.0,1,0,0.0,0,-732.817869416,732.817869416,-732.817869416,732.817869416,-732.817869416,732.817869416,732.817869416,-732.817869416,-0.0,732.817869416,732.817869416,-732.817869416,732.817869416,-732.817869416,-732.817869416,732.817869416,-732.817869416,732.817869416,-732.817869416,732.817869416,732.817869416,-732.817869416,-0.0,-0.0,-0.0,-732.817869416,-732.817869416,-732.817869416,-0.0,-732.817869416,732.817869416,-732.817869416,-732.817869416,-732.817869416
