2016-08-10 00:00:00,Contract,LastClose,ATR20,PC2016-08-10 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,contractValue,Close2016-08-10 00:00:00,RiskOn,group,SEA2016-08-10 00:00:00,SRUN2016-08-10 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-09 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-09 00:00:00,0.5SIG2016-08-08 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-09 00:00:00,0.75SIG2016-08-08 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-09 00:00:00,1SIG2016-08-08 00:00:00,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,RiskOff,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6
LB,@LBU6,330.7,7.02,-0.00451535219747,-1.0,1.0,1.0,1.0,1.0,7.0,2016-08-01,772.2,3.0,1.0,36377.0,330.7,1.0,soft,1.0,7.0,1.0,1.0,6.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,-1,-1,-1,1.0,-1,1,1,-1,1,-1,-1,-1,-492.764900662,492.764900662,-492.764900662,492.764900662,-492.764900662,492.764900662,-492.764900662,-492.764900662,-492.764900662,-492.764900662,492.764900662,492.764900662,-492.764900662,492.764900662,-492.764900662,492.764900662,-492.764900662,-492.764900662,492.764900662,-492.764900662,492.764900662,492.764900662
LC,@LEV6,114.925,1.91875,-0.000652173913044,-1.0,1.0,1.0,1.0,-1.0,14.0,2016-07-21,767.5,3.0,1.0,45970.0,114.925,1.0,meat,-1.0,14.0,1.0,-1.0,13.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,1.0,3.0,1.0,,1.0,3.0,1.0,,-1,-1,1,-1,-1.0,1,1,-1,1,1,1,1,-1,-89.9413043478,89.9413043478,-89.9413043478,89.9413043478,-89.9413043478,89.9413043478,-89.9413043478,-89.9413043478,-89.9413043478,-89.9413043478,89.9413043478,89.9413043478,89.9413043478,-89.9413043478,89.9413043478,-89.9413043478,-89.9413043478,89.9413043478,-89.9413043478,-89.9413043478,-89.9413043478,-89.9413043478
LCO,EBZ6,44.97,1.316,-0.0196206671027,-1.0,-1.0,1.0,-1.0,-1.0,-6.0,2016-08-02,1316.0,2.0,1.0,44970.0,44.97,1.0,energy,-1.0,-6.0,-1.0,-1.0,-5.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,,2.0,2.0,-1.0,,2.0,2.0,-1.0,,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,-1,-1764.68279922,1764.68279922,1764.68279922,-1764.68279922,-1764.68279922,1764.68279922,1764.68279922,1764.68279922,-1764.68279922,1764.68279922,-1764.68279922,-1764.68279922,1764.68279922,-1764.68279922,-1764.68279922,1764.68279922,1764.68279922,-1764.68279922,-1764.68279922,-1764.68279922,1764.68279922,-1764.68279922
LGO,GASU6,386.25,12.8031931,-0.015923566879,-1.0,1.0,-1.0,1.0,-1.0,7.0,2016-08-01,1280.31931,2.0,1.0,38625.0,386.25,1.0,energy,-1.0,7.0,1.0,-1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,-1,-1,1,-1,-1.0,1,1,-1,1,1,1,-1,-1,-1230.0955414,1230.0955414,-1230.0955414,1230.0955414,-1230.0955414,1230.0955414,-1230.0955414,-1230.0955414,1230.0955414,-1230.0955414,1230.0955414,1230.0955414,1230.0955414,-1230.0955414,1230.0955414,-1230.0955414,-1230.0955414,1230.0955414,-1230.0955414,-1230.0955414,-1230.0955414,1230.0955414
LH,@HEV6,58.975,1.65125,0.0133161512027,1.0,-1.0,1.0,-1.0,-1.0,8.0,2016-08-01,660.5,4.0,1.0,23590.0,58.975,1.0,meat,-1.0,8.0,-1.0,1.0,7.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,,2.0,4.0,-1.0,,2.0,4.0,-1.0,,1,1,-1,1,1.0,-1,-1,1,-1,-1,-1,1,-1,1256.51202749,1256.51202749,-1256.51202749,1256.51202749,1256.51202749,-1256.51202749,-1256.51202749,-1256.51202749,1256.51202749,-1256.51202749,1256.51202749,1256.51202749,1256.51202749,-1256.51202749,1256.51202749,-1256.51202749,-1256.51202749,1256.51202749,-1256.51202749,-1256.51202749,-1256.51202749,1256.51202749
LRC,LRCU6,1818.0,25.1,-0.000549752611325,-1.0,1.0,1.0,1.0,1.0,-7.0,2016-08-01,251.0,8.0,2.0,18180.0,1818.0,1.0,soft,1.0,-7.0,-1.0,1.0,18.0,-1.0,1.0,8.0,-1.0,1.0,8.0,1.0,,1.0,8.0,1.0,,1.0,8.0,1.0,,-1,-1,-1,1,1.0,-1,-1,1,1,1,-1,1,-1,-79.9560197911,79.9560197911,79.9560197911,-79.9560197911,-79.9560197911,79.9560197911,79.9560197911,-79.9560197911,-79.9560197911,-79.9560197911,79.9560197911,79.9560197911,-79.9560197911,79.9560197911,-79.9560197911,79.9560197911,79.9560197911,-79.9560197911,-79.9560197911,-79.9560197911,79.9560197911,-79.9560197911
LSU,QWV6,530.5,11.275,-0.0344011649072,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2016-07-28,563.75,4.0,1.0,26525.0,530.5,1.0,soft,-1.0,2.0,-1.0,-1.0,-8.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,,2.0,4.0,-1.0,,2.0,4.0,-1.0,,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,-1,-3649.96359665,3649.96359665,3649.96359665,-3649.96359665,-3649.96359665,3649.96359665,3649.96359665,3649.96359665,3649.96359665,3649.96359665,-3649.96359665,-3649.96359665,3649.96359665,-3649.96359665,-3649.96359665,3649.96359665,3649.96359665,-3649.96359665,-3649.96359665,-3649.96359665,3649.96359665,-3649.96359665
MEM,@MMEU6,903.5,10.46,0.000221410384147,1.0,-1.0,-1.0,-1.0,-1.0,-17.0,2016-07-18,523.0,4.0,1.0,45175.0,903.5,1.0,index,-1.0,-17.0,1.0,-1.0,-16.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,,1.0,4.0,-1.0,,2.0,4.0,-1.0,,1,1,1,-1,1.0,-1,1,-1,-1,-1,1,-1,-1,40.0088564154,40.0088564154,40.0088564154,-40.0088564154,40.0088564154,-40.0088564154,40.0088564154,-40.0088564154,-40.0088564154,-40.0088564154,40.0088564154,40.0088564154,-40.0088564154,40.0088564154,40.0088564154,-40.0088564154,40.0088564154,-40.0088564154,-40.0088564154,-40.0088564154,40.0088564154,-40.0088564154
MFX,IBQ6,8664.4,137.515,-0.000323057042644,-1.0,1.0,-1.0,1.0,1.0,8.0,2016-08-03,1536.86764,2.0,1.0,96833.3344,8664.4,1.0,index,1.0,8.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,-62.5653812812,62.5653812812,-62.5653812812,62.5653812812,-62.5653812812,62.5653812812,-62.5653812812,-62.5653812812,62.5653812812,-62.5653812812,62.5653812812,62.5653812812,-62.5653812812,62.5653812812,-62.5653812812,62.5653812812,-62.5653812812,62.5653812812,62.5653812812,62.5653812812,62.5653812812,62.5653812812
MP,@PXU6,0.05424,0.0005645,0.00332963374029,1.0,1.0,-1.0,1.0,-1.0,-6.0,2016-08-02,282.25,8.0,2.0,27120.0,0.05424,1.0,currency,-1.0,-6.0,1.0,-1.0,-5.0,1.0,1.0,8.0,1.0,1.0,8.0,-1.0,,2.0,8.0,1.0,,2.0,8.0,1.0,,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,722.397336293,722.397336293,722.397336293,-722.397336293,722.397336293,-722.397336293,722.397336293,722.397336293,-722.397336293,722.397336293,-722.397336293,-722.397336293,-722.397336293,722.397336293,722.397336293,-722.397336293,722.397336293,-722.397336293,722.397336293,722.397336293,-722.397336293,-722.397336293
MW,@MWU6,501.25,8.4125,0.00602107375815,1.0,1.0,1.0,1.0,1.0,-7.0,2016-08-01,420.625,5.0,2.0,25062.5,501.25,1.0,grain,1.0,-7.0,-1.0,1.0,-6.0,-1.0,1.0,5.0,-1.0,1.0,5.0,1.0,,1.0,5.0,1.0,,1.0,5.0,1.0,,-1,-1,-1,1,-1.0,1,-1,1,1,1,-1,1,-1,754.515805319,754.515805319,-754.515805319,754.515805319,754.515805319,-754.515805319,-754.515805319,754.515805319,754.515805319,754.515805319,-754.515805319,-754.515805319,754.515805319,-754.515805319,-754.515805319,754.515805319,-754.515805319,754.515805319,754.515805319,754.515805319,-754.515805319,754.515805319
NE,@NEU6,0.7195,0.00782,0.00812666386437,1.0,1.0,1.0,1.0,-1.0,-14.0,2016-07-21,782.0,3.0,1.0,71950.0,0.7195,1.0,currency,-1.0,-14.0,1.0,-1.0,-13.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,-1,1,-1,1.0,-1,1,1,1,1,-1,1,-1,1754.14039512,1754.14039512,1754.14039512,-1754.14039512,1754.14039512,-1754.14039512,1754.14039512,1754.14039512,1754.14039512,1754.14039512,-1754.14039512,-1754.14039512,-1754.14039512,1754.14039512,1754.14039512,-1754.14039512,1754.14039512,1754.14039512,1754.14039512,1754.14039512,-1754.14039512,1754.14039512
NG,QNGU6,2.561,0.09635,-0.0206500956023,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,2016-07-29,963.5,3.0,1.0,25610.0,2.561,1.0,energy,-1.0,8.0,-1.0,-1.0,7.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,1,1,1,1,-1.0,1,-1,-1,1,-1,1,1,-1,-1586.54684512,1586.54684512,1586.54684512,-1586.54684512,-1586.54684512,1586.54684512,1586.54684512,1586.54684512,1586.54684512,1586.54684512,-1586.54684512,-1586.54684512,1586.54684512,-1586.54684512,1586.54684512,-1586.54684512,1586.54684512,1586.54684512,-1586.54684512,1586.54684512,-1586.54684512,-1586.54684512
NIY,@NKDU6,16680.0,303.5,0.0,1.0,1.0,-1.0,1.0,-1.0,-5.0,2016-08-03,1498.6174205,2.0,1.0,82362.2358286,16680.0,1.0,index,-1.0,-5.0,1.0,-1.0,-4.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
NQ,@NQU6,4781.5,39.4375,-0.00213909323316,-1.0,1.0,-1.0,1.0,1.0,-16.0,2016-07-19,788.75,3.0,1.0,95630.0,4781.5,1.0,index,1.0,-16.0,1.0,1.0,-15.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-613.684457662,613.684457662,-613.684457662,613.684457662,-613.684457662,613.684457662,-613.684457662,-613.684457662,613.684457662,-613.684457662,613.684457662,613.684457662,-613.684457662,613.684457662,613.684457662,-613.684457662,-613.684457662,613.684457662,613.684457662,613.684457662,-613.684457662,613.684457662
O,@OZ6,183.5,4.6375,-0.00271739130435,-1.0,-1.0,-1.0,-1.0,1.0,-3.0,2016-08-02,231.875,9.0,3.0,9175.0,183.5,1.0,grain,1.0,-3.0,-1.0,1.0,5.0,-1.0,1.0,9.0,-1.0,1.0,9.0,-1.0,,2.0,9.0,-1.0,,2.0,9.0,-1.0,,1,1,-1,1,1.0,-1,-1,1,-1,-1,-1,-1,-1,-224.388586957,224.388586957,224.388586957,-224.388586957,-224.388586957,224.388586957,224.388586957,224.388586957,224.388586957,224.388586957,-224.388586957,-224.388586957,-224.388586957,224.388586957,-224.388586957,224.388586957,224.388586957,-224.388586957,224.388586957,224.388586957,224.388586957,224.388586957
OJ,@OJU6,181.1,6.8825,-0.0136165577342,-1.0,1.0,1.0,1.0,1.0,-2.0,2016-08-02,1032.375,2.0,1.0,27165.0,181.1,1.0,soft,1.0,-2.0,1.0,1.0,-1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-739.787581699,739.787581699,-739.787581699,739.787581699,-739.787581699,739.787581699,-739.787581699,-739.787581699,-739.787581699,-739.787581699,739.787581699,739.787581699,-739.787581699,739.787581699,739.787581699,-739.787581699,-739.787581699,739.787581699,739.787581699,739.787581699,-739.787581699,739.787581699
PA,QPAU6,726.4,17.1675,0.0461582775257,1.0,1.0,1.0,-1.0,-1.0,-2.0,2016-08-02,1716.75,2.0,1.0,72640.0,726.4,1.0,metal,-1.0,-2.0,1.0,-1.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,1.0,,2.0,2.0,-1.0,,1,-1,1,-1,-1.0,1,1,-1,1,1,1,1,-1,6705.87455894,6705.87455894,6705.87455894,-6705.87455894,6705.87455894,-6705.87455894,6705.87455894,6705.87455894,6705.87455894,-6705.87455894,6705.87455894,-6705.87455894,-6705.87455894,6705.87455894,-6705.87455894,6705.87455894,6705.87455894,-6705.87455894,6705.87455894,6705.87455894,6705.87455894,6705.87455894
PL,QPLV6,1183.1,23.56,0.0200017242866,1.0,1.0,1.0,1.0,-1.0,-19.0,2016-07-14,1178.0,2.0,1.0,59155.0,1183.1,-1.0,metal,-1.0,-19.0,1.0,-1.0,-18.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,1.0,,1.0,2.0,1.0,,-1,-1,1,-1,1.0,-1,1,1,1,1,-1,1,1,2366.40400034,2366.40400034,2366.40400034,-2366.40400034,-2366.40400034,2366.40400034,2366.40400034,2366.40400034,2366.40400034,2366.40400034,-2366.40400034,-2366.40400034,-2366.40400034,2366.40400034,2366.40400034,-2366.40400034,2366.40400034,2366.40400034,2366.40400034,2366.40400034,-2366.40400034,2366.40400034
RB,QRBU6,1.3014,0.041795,-0.0332788590105,-1.0,1.0,1.0,1.0,-1.0,-3.0,2016-07-28,1755.39,2.0,1.0,54658.8,1.3014,1.0,energy,-1.0,-3.0,-1.0,-1.0,8.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,,1.0,2.0,1.0,,2.0,2.0,1.0,,-1,-1,1,1,-1.0,1,1,1,1,1,-1,1,-1,-3637.96499777,3637.96499777,3637.96499777,-3637.96499777,-3637.96499777,3637.96499777,3637.96499777,-3637.96499777,-3637.96499777,-3637.96499777,3637.96499777,3637.96499777,3637.96499777,-3637.96499777,3637.96499777,-3637.96499777,-3637.96499777,-3637.96499777,-3637.96499777,-3637.96499777,3637.96499777,-3637.96499777
RR,@RRU6,9.52,0.22375,-0.0185567010309,-1.0,1.0,-1.0,1.0,1.0,-3.0,2016-08-01,447.5,5.0,2.0,19040.0,9.52,1.0,grain,1.0,-3.0,1.0,1.0,-2.0,1.0,1.0,5.0,1.0,1.0,5.0,-1.0,,2.0,5.0,1.0,,2.0,5.0,1.0,,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-1766.59793814,1766.59793814,-1766.59793814,1766.59793814,-1766.59793814,1766.59793814,-1766.59793814,-1766.59793814,1766.59793814,-1766.59793814,1766.59793814,1766.59793814,-1766.59793814,1766.59793814,1766.59793814,-1766.59793814,-1766.59793814,1766.59793814,1766.59793814,1766.59793814,-1766.59793814,1766.59793814
RS,@RSX6,460.9,8.275,0.00261039808571,1.0,1.0,1.0,1.0,1.0,5.0,2016-08-03,126.713115382,16.0,4.0,7057.6525534,460.9,1.0,grain,1.0,5.0,1.0,1.0,4.0,1.0,1.0,16.0,1.0,1.0,16.0,1.0,,2.0,16.0,1.0,,2.0,16.0,1.0,,-1,-1,-1,-1,1.0,-1,1,1,-1,1,-1,-1,-1,294.77252344,294.77252344,294.77252344,-294.77252344,294.77252344,-294.77252344,294.77252344,294.77252344,294.77252344,294.77252344,-294.77252344,-294.77252344,294.77252344,-294.77252344,294.77252344,-294.77252344,294.77252344,294.77252344,-294.77252344,294.77252344,-294.77252344,-294.77252344
S,@SX6,982.25,27.8,-0.00581983805668,-1.0,1.0,-1.0,1.0,1.0,-6.0,2016-08-02,1390.0,2.0,1.0,49112.5,982.25,1.0,grain,1.0,-6.0,1.0,1.0,-5.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-571.653593117,571.653593117,-571.653593117,571.653593117,-571.653593117,571.653593117,-571.653593117,-571.653593117,571.653593117,-571.653593117,571.653593117,571.653593117,-571.653593117,571.653593117,571.653593117,-571.653593117,-571.653593117,571.653593117,571.653593117,571.653593117,-571.653593117,571.653593117
SB,@SBV6,19.64,0.564,-0.0367827366356,-1.0,1.0,-1.0,1.0,-1.0,2.0,2016-07-28,631.68,4.0,1.0,21996.8,19.64,1.0,soft,-1.0,2.0,-1.0,-1.0,-8.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,,2.0,4.0,1.0,,2.0,4.0,1.0,,-1,-1,1,1,1.0,-1,1,1,1,1,-1,1,-1,-3236.4100049,3236.4100049,3236.4100049,-3236.4100049,-3236.4100049,3236.4100049,3236.4100049,-3236.4100049,3236.4100049,-3236.4100049,3236.4100049,3236.4100049,3236.4100049,-3236.4100049,-3236.4100049,3236.4100049,-3236.4100049,-3236.4100049,-3236.4100049,-3236.4100049,3236.4100049,-3236.4100049
SF,@SFU6,1.0273,0.00726,0.00705813155573,1.0,-1.0,1.0,-1.0,1.0,11.0,2016-08-02,907.5,3.0,1.0,128412.5,1.0273,1.0,currency,1.0,11.0,1.0,1.0,10.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,1,1,-1,-1,1.0,-1,-1,1,-1,-1,1,-1,-1,2719.0569552,2719.0569552,2719.0569552,-2719.0569552,2719.0569552,-2719.0569552,2719.0569552,-2719.0569552,2719.0569552,-2719.0569552,2719.0569552,2719.0569552,2719.0569552,-2719.0569552,2719.0569552,-2719.0569552,-2719.0569552,2719.0569552,-2719.0569552,-2719.0569552,2719.0569552,-2719.0569552
SI,QSIU6,2017.0,46.15,0.016120906801,1.0,-1.0,1.0,-1.0,-1.0,15.0,2016-08-02,2307.5,1.0,1.0,100850.0,2017.0,-1.0,metal,-1.0,15.0,1.0,-1.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,1,1,1,-1,-1.0,1,1,-1,-1,-1,1,1,1,1625.79345088,1625.79345088,1625.79345088,-1625.79345088,-1625.79345088,1625.79345088,1625.79345088,-1625.79345088,1625.79345088,-1625.79345088,1625.79345088,1625.79345088,-1625.79345088,1625.79345088,-1625.79345088,1625.79345088,1625.79345088,-1625.79345088,-1625.79345088,-1625.79345088,1625.79345088,1625.79345088
SIN,INQ6,8590.5,88.190390182,-0.013380039049,-1.0,1.0,-1.0,1.0,1.0,2.0,2016-07-21,176.380780364,12.0,3.0,17181.0,8590.5,1.0,index,1.0,2.0,-1.0,1.0,-13.0,-1.0,1.0,12.0,-1.0,1.0,12.0,-1.0,,1.0,12.0,1.0,,1.0,12.0,1.0,,-1,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-1,-1,-2758.58941082,2758.58941082,2758.58941082,-2758.58941082,-2758.58941082,2758.58941082,2758.58941082,-2758.58941082,2758.58941082,-2758.58941082,2758.58941082,2758.58941082,-2758.58941082,2758.58941082,2758.58941082,-2758.58941082,2758.58941082,2758.58941082,-2758.58941082,2758.58941082,2758.58941082,2758.58941082
SJB,BBU6,151.65,0.5065,0.000527808933166,1.0,-1.0,1.0,-1.0,1.0,2.0,2016-07-27,500.197511357,4.0,1.0,149762.986372,151.65,-1.0,rates,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,,1.0,4.0,-1.0,,1.0,4.0,-1.0,,1,1,-1,-1,1.0,-1,-1,1,-1,-1,1,-1,1,316.184968259,316.184968259,316.184968259,-316.184968259,-316.184968259,316.184968259,316.184968259,-316.184968259,316.184968259,-316.184968259,316.184968259,316.184968259,316.184968259,-316.184968259,316.184968259,-316.184968259,-316.184968259,316.184968259,-316.184968259,-316.184968259,316.184968259,-316.184968259
SM,@SMZ6,330.1,10.6,-0.00960096009601,-1.0,-1.0,-1.0,-1.0,1.0,-4.0,2016-08-04,1060.0,2.0,1.0,33010.0,330.1,1.0,grain,1.0,-4.0,1.0,1.0,-3.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,,2.0,2.0,-1.0,,2.0,2.0,-1.0,,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,-1,-633.855385539,633.855385539,-633.855385539,633.855385539,-633.855385539,633.855385539,-633.855385539,633.855385539,633.855385539,633.855385539,-633.855385539,-633.855385539,-633.855385539,633.855385539,633.855385539,-633.855385539,633.855385539,633.855385539,633.855385539,633.855385539,-633.855385539,633.855385539
SMI,SWU6,8192.0,83.9,-0.00413323608072,-1.0,-1.0,-1.0,-1.0,1.0,-10.0,2016-08-03,860.336341263,3.0,1.0,84003.2813782,8192.0,1.0,index,1.0,-10.0,1.0,1.0,-9.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,-1,-1041.61618047,1041.61618047,-1041.61618047,1041.61618047,-1041.61618047,1041.61618047,-1041.61618047,1041.61618047,1041.61618047,1041.61618047,-1041.61618047,-1041.61618047,-1041.61618047,1041.61618047,1041.61618047,-1041.61618047,1041.61618047,1041.61618047,1041.61618047,1041.61618047,-1041.61618047,1041.61618047
SSG,SSQ6,315.35,3.896719497,-0.00158302991927,-1.0,-1.0,-1.0,1.0,-1.0,-4.0,2016-08-03,581.599924925,4.0,1.0,47067.1641791,315.35,1.0,index,-1.0,-4.0,1.0,-1.0,-3.0,1.0,1.0,4.0,1.0,1.0,4.0,,-1.0,1.0,4.0,,-1.0,2.0,4.0,,1.0,-1,1,1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,-298.034916442,298.034916442,-298.034916442,298.034916442,-298.034916442,298.034916442,-298.034916442,298.034916442,298.034916442,-298.034916442,298.034916442,-298.034916442,298.034916442,-298.034916442,-298.034916442,298.034916442,-298.034916442,298.034916442,298.034916442,298.034916442,298.034916442,298.034916442
STW,TWQ6,341.4,3.889925463,0.00146670577882,1.0,1.0,-1.0,1.0,1.0,-19.0,2016-07-14,388.9925463,6.0,2.0,34140.0,341.4,1.0,index,1.0,-19.0,1.0,1.0,-18.0,1.0,1.0,6.0,1.0,1.0,6.0,-1.0,,2.0,6.0,1.0,,2.0,6.0,1.0,,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,300.440011734,300.440011734,300.440011734,-300.440011734,300.440011734,-300.440011734,300.440011734,300.440011734,-300.440011734,300.440011734,-300.440011734,-300.440011734,300.440011734,-300.440011734,-300.440011734,300.440011734,300.440011734,-300.440011734,-300.440011734,-300.440011734,300.440011734,-300.440011734
SXE,EXU6,3018.0,40.7,-0.00330250990753,-1.0,1.0,-1.0,1.0,-1.0,-6.0,2016-08-02,454.8632,5.0,2.0,33729.168,3018.0,1.0,index,-1.0,-6.0,1.0,-1.0,-5.0,1.0,1.0,5.0,1.0,1.0,5.0,-1.0,,2.0,5.0,1.0,,2.0,5.0,1.0,,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,-556.954557464,556.954557464,-556.954557464,556.954557464,-556.954557464,556.954557464,-556.954557464,-556.954557464,556.954557464,-556.954557464,556.954557464,556.954557464,556.954557464,-556.954557464,-556.954557464,556.954557464,-556.954557464,556.954557464,-556.954557464,-556.954557464,556.954557464,556.954557464
TF,@TFSU6,1221.3,12.53,-0.00699243840963,-1.0,1.0,1.0,1.0,1.0,-25.0,2016-07-06,1253.0,2.0,1.0,122130.0,1221.3,1.0,index,1.0,-25.0,1.0,1.0,-24.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-1707.97300594,1707.97300594,-1707.97300594,1707.97300594,-1707.97300594,1707.97300594,-1707.97300594,-1707.97300594,-1707.97300594,-1707.97300594,1707.97300594,1707.97300594,-1707.97300594,1707.97300594,1707.97300594,-1707.97300594,-1707.97300594,1707.97300594,1707.97300594,1707.97300594,-1707.97300594,1707.97300594
TU,@TUU6,109.453125,0.0890625,0.000571346950436,1.0,1.0,1.0,1.0,1.0,-4.0,2016-08-04,178.125,12.0,3.0,218906.25,109.453125,-1.0,rates,1.0,-4.0,1.0,1.0,-3.0,1.0,1.0,12.0,1.0,2.0,12.0,1.0,,2.0,12.0,1.0,,2.0,12.0,1.0,,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,1,1500.85702043,1500.85702043,1500.85702043,-1500.85702043,-1500.85702043,1500.85702043,1500.85702043,1500.85702043,1500.85702043,1500.85702043,-1500.85702043,-1500.85702043,1500.85702043,-1500.85702043,-1500.85702043,1500.85702043,1500.85702043,-1500.85702043,-1500.85702043,-1500.85702043,1500.85702043,-1500.85702043
TY,@TYU6,132.734375,0.55859375,0.00295159386068,1.0,-1.0,-1.0,-1.0,1.0,2.0,2016-07-29,558.59375,4.0,1.0,132734.375,132.734375,-1.0,rates,1.0,2.0,1.0,1.0,-7.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,,1.0,4.0,-1.0,,1.0,4.0,-1.0,,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,1,1567.11186541,1567.11186541,1567.11186541,-1567.11186541,-1567.11186541,1567.11186541,1567.11186541,-1567.11186541,-1567.11186541,-1567.11186541,1567.11186541,1567.11186541,1567.11186541,-1567.11186541,-1567.11186541,1567.11186541,-1567.11186541,-1567.11186541,-1567.11186541,-1567.11186541,1567.11186541,-1567.11186541
