2016-07-18 00:00:00,Contract,LastClose,ATR20,PC2016-07-18 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,prevACT,usdATR,QTY,contractValue,Close2016-07-18 00:00:00,RiskOn,group,SEA2016-07-18 00:00:00,SRUN2016-07-18 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2016-07-15 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-15 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-15 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-07-15 00:00:00,AntiSEA,AdjSEA,Voting,RiskOff,chgValue,PNL_ACT,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_Voting,PNL_prevACT,PNL_RiskOn,PNL_RiskOff
PA,QPAU6,646.05,16.7425,-0.00208526413346,-1.0,1.0,-1.0,1.0,1.0,14.0,2016-06-27,-1.0,1674.25,2.0,64605.0,646.05,1.0,metal,1.0,14.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,1.0,1,-1,-134.718489342,269.436978684,269.436978684,-269.436978684,269.436978684,-269.436978684,-269.436978684,269.436978684,-269.436978684,-269.436978684,269.436978684,-269.436978684,269.436978684
PL,QPLV6,1101.6,23.4073060495,0.00657894736842,1.0,1.0,-1.0,1.0,-1.0,-2.0,2016-06-27,-1.0,1170.36530247,2.0,55080.0,1101.6,-1.0,metal,-1.0,-2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,1,1.0,1,1,362.368421053,724.736842105,-724.736842105,724.736842105,-724.736842105,724.736842105,-724.736842105,724.736842105,724.736842105,724.736842105,-724.736842105,-724.736842105,724.736842105
RB,QRBU6,1.3961,0.056215466,-0.0236380166445,-1.0,-1.0,1.0,-1.0,-1.0,3.0,2016-06-23,1.0,2361.049572,1.0,58636.2,1.3961,1.0,energy,-1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1,-1.0,-1,-1,-1386.04347157,1386.04347157,-1386.04347157,1386.04347157,-1386.04347157,1386.04347157,1386.04347157,-1386.04347157,1386.04347157,1386.04347157,-1386.04347157,-1386.04347157,1386.04347157
RR,@RRU6,10.76,0.2545,0.0228136882129,1.0,-1.0,1.0,-1.0,1.0,-7.0,2016-07-07,-1.0,509.0,4.0,21520.0,10.76,1.0,grain,1.0,-7.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,-1,-1.0,-1,-1,490.950570342,1963.80228137,1963.80228137,-1963.80228137,1963.80228137,-1963.80228137,1963.80228137,-1963.80228137,-1963.80228137,-1963.80228137,-1963.80228137,1963.80228137,-1963.80228137
RS,@RSX6,470.7,11.765,0.00148936170213,1.0,-1.0,1.0,-1.0,-1.0,3.0,2016-07-07,-1.0,181.811157472,12.0,7273.99165508,470.7,1.0,grain,-1.0,3.0,1.0,1.0,12.0,1.0,1.0,12.0,1.0,2.0,12.0,-1.0,2.0,12.0,-1.0,1,-1.0,-1,-1,10.8336045927,130.003255112,130.003255112,-130.003255112,130.003255112,-130.003255112,-130.003255112,130.003255112,-130.003255112,-130.003255112,-130.003255112,130.003255112,-130.003255112
S,@SX6,1066.25,37.3625,0.00851265074486,1.0,-1.0,1.0,-1.0,-1.0,3.0,2016-07-07,-1.0,1868.125,2.0,53312.5,1066.25,1.0,grain,-1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,-1.0,-1,-1,453.830692835,907.66138567,907.66138567,-907.66138567,907.66138567,-907.66138567,-907.66138567,907.66138567,-907.66138567,-907.66138567,-907.66138567,907.66138567,-907.66138567
SB,@SBV6,19.37,0.714,0.00310719834283,1.0,1.0,-1.0,1.0,1.0,-12.0,2016-06-29,-1.0,799.68,3.0,21694.4,19.37,1.0,soft,1.0,-12.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1.0,1,-1,67.4088037286,202.226411186,-202.226411186,202.226411186,-202.226411186,202.226411186,202.226411186,-202.226411186,-202.226411186,202.226411186,-202.226411186,202.226411186,-202.226411186
SF,@SFU6,1.021,0.00835,0.000489955903969,1.0,-1.0,1.0,-1.0,1.0,-16.0,2016-06-23,-1.0,1043.75,2.0,127625.0,1.021,1.0,currency,1.0,-16.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,-1,-1.0,-1,-1,62.530622244,125.061244488,125.061244488,-125.061244488,125.061244488,-125.061244488,125.061244488,-125.061244488,-125.061244488,-125.061244488,-125.061244488,125.061244488,-125.061244488
SI,QSIU6,2007.5,64.975593269,-0.00446317877511,-1.0,1.0,1.0,1.0,1.0,-3.0,2016-06-27,-1.0,3248.77966345,1.0,100375.0,2007.5,-1.0,metal,1.0,-3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,-1.0,1,1,-447.991569551,447.991569551,-447.991569551,-447.991569551,-447.991569551,-447.991569551,-447.991569551,447.991569551,447.991569551,-447.991569551,447.991569551,447.991569551,-447.991569551
SIN,INN6,8519.5,110.293722852,-0.00478943986917,-1.0,1.0,1.0,1.0,1.0,16.0,2016-06-24,-1.0,220.587445704,10.0,17039.0,8519.5,1.0,index,1.0,16.0,1.0,1.0,10.0,1.0,1.0,10.0,1.0,2.0,10.0,1.0,2.0,10.0,1.0,-1,1.0,1,-1,-81.6072659307,816.072659307,-816.072659307,-816.072659307,-816.072659307,-816.072659307,-816.072659307,816.072659307,-816.072659307,-816.072659307,816.072659307,-816.072659307,816.072659307
SJB,BBU6,152.76,0.327,-0.00189480561908,-1.0,-1.0,-1.0,-1.0,1.0,-6.0,2016-07-08,-1.0,308.083663086,7.0,143923.120407,152.76,-1.0,rates,1.0,-6.0,-1.0,1.0,7.0,-1.0,1.0,7.0,-1.0,2.0,7.0,-1.0,2.0,7.0,-1.0,-1,-1.0,-1,1,-272.706337263,1908.94436084,1908.94436084,1908.94436084,1908.94436084,1908.94436084,-1908.94436084,1908.94436084,1908.94436084,1908.94436084,1908.94436084,1908.94436084,-1908.94436084
SM,@SMZ6,370.7,13.96,0.012012012012,1.0,-1.0,-1.0,1.0,-1.0,3.0,2016-07-07,-1.0,1396.0,2.0,37070.0,370.7,1.0,grain,-1.0,3.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,1,-1.0,-1,-1,445.285285285,890.570570571,-890.570570571,-890.570570571,-890.570570571,890.570570571,-890.570570571,890.570570571,-890.570570571,-890.570570571,-890.570570571,890.570570571,-890.570570571
SMI,SWU6,8170.0,144.95,0.00479645800025,1.0,1.0,-1.0,1.0,-1.0,-11.0,2016-07-01,-1.0,1475.31806616,2.0,83155.216285,8170.0,1.0,index,-1.0,-11.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,1,1.0,1,-1,398.850502412,797.701004825,-797.701004825,797.701004825,-797.701004825,797.701004825,-797.701004825,797.701004825,797.701004825,797.701004825,-797.701004825,797.701004825,-797.701004825
SSG,SSN6,325.95,5.2040650075,0.00261458012919,1.0,1.0,-1.0,1.0,1.0,14.0,2016-06-27,-1.0,776.726120522,3.0,48649.2537313,325.95,1.0,index,1.0,14.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,1.0,1,-1,127.197372106,381.592116318,-381.592116318,381.592116318,-381.592116318,381.592116318,381.592116318,-381.592116318,381.592116318,381.592116318,-381.592116318,381.592116318,-381.592116318
STW,TWN6,335.1,5.0823104755,0.00994575045208,1.0,1.0,-1.0,1.0,-1.0,15.0,2016-06-24,1.0,508.23104755,4.0,33510.0,335.1,1.0,index,-1.0,15.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,1,-1.0,1,-1,333.282097649,1333.1283906,-1333.1283906,1333.1283906,-1333.1283906,1333.1283906,-1333.1283906,1333.1283906,-1333.1283906,1333.1283906,1333.1283906,1333.1283906,-1333.1283906
SXE,EXU6,2948.0,77.9,-0.000339097999322,-1.0,1.0,1.0,1.0,-1.0,-8.0,2016-07-06,-1.0,862.8204,3.0,32652.048,2948.0,1.0,index,-1.0,-8.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1,1.0,1,-1,-11.0722441506,33.2167324517,-33.2167324517,-33.2167324517,-33.2167324517,-33.2167324517,33.2167324517,-33.2167324517,-33.2167324517,-33.2167324517,33.2167324517,-33.2167324517,33.2167324517
TF,@TFSU6,1204.2,23.57,0.0018302828619,1.0,-1.0,-1.0,1.0,-1.0,-8.0,2016-07-06,1.0,2357.0,1.0,120420.0,1204.2,1.0,index,-1.0,-8.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,1,1.0,1,-1,220.40266223,220.40266223,-220.40266223,-220.40266223,-220.40266223,220.40266223,-220.40266223,220.40266223,220.40266223,220.40266223,220.40266223,220.40266223,-220.40266223
TU,@TUU6,109.3671875,0.137890625,0.000214346956273,1.0,1.0,1.0,-1.0,1.0,-9.0,2016-07-05,-1.0,275.78125,8.0,218734.375,109.3671875,-1.0,rates,1.0,-9.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,2.0,8.0,-1.0,-1,-1.0,1,1,46.8850475136,375.080380109,375.080380109,375.080380109,375.080380109,-375.080380109,375.080380109,-375.080380109,-375.080380109,375.080380109,-375.080380109,-375.080380109,375.080380109
TY,@TYU6,132.03125,0.80625,0.00118483412322,1.0,1.0,1.0,-1.0,1.0,-9.0,2016-07-05,-1.0,806.25,3.0,132031.25,132.03125,-1.0,rates,1.0,-9.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,-1,-1.0,1,1,156.435130332,469.305390995,469.305390995,469.305390995,469.305390995,-469.305390995,469.305390995,-469.305390995,-469.305390995,469.305390995,-469.305390995,-469.305390995,469.305390995
US,@USU6,171.5625,2.21875,-0.000546149645003,-1.0,-1.0,1.0,-1.0,1.0,-6.0,2016-07-08,-1.0,2218.75,1.0,171562.5,171.5625,-1.0,rates,1.0,-6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,-1,-1.0,-1,1,-93.6987984708,93.6987984708,-93.6987984708,93.6987984708,-93.6987984708,93.6987984708,-93.6987984708,93.6987984708,93.6987984708,93.6987984708,93.6987984708,93.6987984708,-93.6987984708
VX,@VXQ6,15.725,2.0723337565,-0.0367534456355,-1.0,1.0,1.0,-1.0,-1.0,14.0,2016-06-27,1.0,2072.3337565,1.0,15725.0,15.725,-1.0,index,-1.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,1,-1.0,-1,1,-577.947932619,577.947932619,-577.947932619,-577.947932619,-577.947932619,577.947932619,577.947932619,-577.947932619,577.947932619,577.947932619,-577.947932619,577.947932619,-577.947932619
W,@WU6,429.5,13.8875,0.0111830488523,1.0,-1.0,1.0,-1.0,-1.0,-3.0,2016-07-08,-1.0,694.375,3.0,21475.0,429.5,1.0,grain,-1.0,-3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1.0,-1,-1,240.155974102,720.467922307,720.467922307,-720.467922307,720.467922307,-720.467922307,-720.467922307,720.467922307,720.467922307,-720.467922307,-720.467922307,720.467922307,-720.467922307
YA,APU6,5417.0,80.5,0.0051957691594,1.0,-1.0,-1.0,1.0,-1.0,14.0,2016-06-28,1.0,1528.2925,2.0,102841.745,5417.0,1.0,index,-1.0,14.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,1,-1.0,-1,-1,534.34196697,1068.68393394,-1068.68393394,-1068.68393394,-1068.68393394,1068.68393394,-1068.68393394,1068.68393394,-1068.68393394,-1068.68393394,1068.68393394,1068.68393394,-1068.68393394
YB,HBSU6,98.13,0.0385,0.000101916021198,1.0,1.0,1.0,-1.0,1.0,-16.0,2016-06-24,1.0,70.16856,29.0,178847.8128,98.13,-1.0,rates,1.0,-16.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,-1,-1.0,1,1,18.2274574806,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
YM,@YMU6,18451.0,230.9,0.00184612043221,1.0,-1.0,-1.0,1.0,-1.0,14.0,2016-06-27,-1.0,1154.5,2.0,92255.0,18451.0,1.0,index,-1.0,14.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,1,-1.0,-1,-1,170.313840473,340.627680947,-340.627680947,-340.627680947,-340.627680947,340.627680947,-340.627680947,340.627680947,-340.627680947,-340.627680947,-340.627680947,340.627680947,-340.627680947
YT2,HTSU6,98.49,0.071,0.000101543460601,1.0,1.0,1.0,1.0,1.0,17.0,2016-06-23,-1.0,150.96872,14.0,209421.2568,98.49,-1.0,rates,1.0,17.0,1.0,1.0,14.0,1.0,1.0,14.0,1.0,1.0,14.0,1.0,1.0,14.0,1.0,-1,1.0,1,1,21.2653591389,297.715027945,297.715027945,297.715027945,297.715027945,297.715027945,297.715027945,-297.715027945,297.715027945,297.715027945,-297.715027945,-297.715027945,297.715027945
YT3,HXSU6,97.995,0.09375,-0.000204050400449,-1.0,1.0,-1.0,1.0,1.0,-8.0,2016-07-06,-1.0,569.55,4.0,595339.224,97.995,-1.0,rates,1.0,-8.0,-1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1.0,4.0,1.0,1.0,4.0,1.0,-1,-1.0,-1,1,-121.47920706,485.916828241,485.916828241,-485.916828241,485.916828241,-485.916828241,-485.916828241,485.916828241,485.916828241,485.916828241,485.916828241,485.916828241,-485.916828241
