2017-10-03 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-10-03 00:00:00,Close2017-10-03 00:00:00,group,RiskOn,Custom,PC2017-10-02 00:00:00,Close2017-10-02 00:00:00,PC2017-09-29 00:00:00,Close2017-09-29 00:00:00,vSTART,LastSEA,SEA2017-10-03 00:00:00,LastSRUN,SRUN2017-10-03 00:00:00,SEA2017-10-02 00:00:00,SRUN2017-10-02 00:00:00,SEA2017-09-29 00:00:00,SRUN2017-09-29 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2017-10-02 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-10-02 00:00:00,0.5SIG2017-09-29 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-10-02 00:00:00,0.75SIG2017-09-29 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-10-02 00:00:00,1SIG2017-09-29 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
FSS,LLZ7,99.47,0.02825,0.0,1.0,1.0,1.0,1.0,1.0,-10.0,2017-09-18,46.75728125,21.0,5.0,5.0,164635.28375,0.755229967525,0.0,99.47,rates,-1.0,-1.0,,,,,2017-09-18,1.0,1.0,-11.0,-11.0,,,,,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,,1.0,0.0,1.0,,1.0,0.0,1.0,,0,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1,-1,-1.0,-1,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
FV,@FVZ7,117.5078125,0.244921875,0.000465611281096,1.0,-1.0,1.0,-1.0,-1.0,-17.0,2017-09-07,244.921875,4.0,1.0,1.0,117507.8125,1.0,0.000465611281096,117.5078125,rates,-1.0,1.0,,,,,2017-09-07,-1.0,-1.0,-18.0,-18.0,,,,,-1.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,,2.0,4.0,-1.0,,2.0,4.0,-1.0,,0,1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,1,1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,0.0,1,218.851852468,218.851852468,-218.851852468,218.851852468,-218.851852468,218.851852468,218.851852468,-218.851852468,-218.851852468,-218.851852468,218.851852468,-218.851852468,218.851852468,218.851852468,-218.851852468,-218.851852468,-218.851852468,218.851852468,-218.851852468,218.851852468,-218.851852468,218.851852468,218.851852468,218.851852468,0.0,218.851852468,218.851852468,218.851852468,218.851852468,218.851852468,218.851852468,-218.851852468,-218.851852468,-218.851852468,218.851852468
GC,QGCZ7,1274.6,14.83,-0.000940586298793,-1.0,-1.0,1.0,-1.0,-1.0,-16.0,2017-09-08,1483.0,1.0,1.0,1.0,127460.0,1.0,-0.000940586298793,1274.6,metal,-1.0,1.0,,,,,2017-09-08,-1.0,-1.0,-17.0,-17.0,,,,,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,0,1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,1,1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,0.0,1,-119.887129644,119.887129644,119.887129644,-119.887129644,119.887129644,-119.887129644,-119.887129644,119.887129644,119.887129644,119.887129644,-119.887129644,119.887129644,-119.887129644,-119.887129644,119.887129644,119.887129644,119.887129644,-119.887129644,119.887129644,-119.887129644,119.887129644,-119.887129644,-119.887129644,-119.887129644,-0.0,-119.887129644,-119.887129644,-119.887129644,-119.887129644,-119.887129644,-119.887129644,119.887129644,119.887129644,119.887129644,-119.887129644
HCM,HHIV7,10906.0,135.258799817,,1.0,1.0,1.0,1.0,1.0,-22.0,2017-08-30,865.866897658,1.0,1.0,1.0,69815.3791002,7.8106,,,index,1.0,1.0,,,0.00701754385965,10906.0,2017-08-30,1.0,,-22.0,,,,1.0,-22.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,2.0,0.0,,1.0,2.0,0.0,,1.0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,1.0,1.0,1.0,-1,1,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HG,QHGZ7,296.35,5.235,0.00270681779733,1.0,-1.0,-1.0,-1.0,-1.0,17.0,2017-09-07,1308.75,1.0,1.0,1.0,74087.5,1.0,0.00270681779733,296.35,metal,1.0,1.0,,,,,2017-09-07,-1.0,-1.0,18.0,18.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,0,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1.0,0.0,1.0,-1.0,1.0,1.0,1,0,1.0,1,200.541363559,200.541363559,200.541363559,-200.541363559,200.541363559,-200.541363559,200.541363559,-200.541363559,200.541363559,-200.541363559,-200.541363559,-200.541363559,200.541363559,200.541363559,200.541363559,-200.541363559,-200.541363559,200.541363559,-200.541363559,200.541363559,200.541363559,-200.541363559,200.541363559,0.0,200.541363559,200.541363559,200.541363559,-200.541363559,200.541363559,0.0,200.541363559,-200.541363559,200.541363559,200.541363559,200.541363559
HIC,HSIV7,27515.0,275.243759781,,1.0,-1.0,-1.0,-1.0,1.0,9.0,2017-09-18,1761.98857822,1.0,1.0,1.0,176138.836965,7.8106,,,index,1.0,1.0,,,0.00850346369534,27515.0,2017-09-18,1.0,,9.0,,,,1.0,9.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,-1.0,1.0,0.0,,-1.0,1.0,0.0,,-1.0,0,-1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1,-1,0.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO,QHOX7,1.7505,0.0342985435,-0.00905745825078,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,2017-09-25,1440.538827,1.0,1.0,1.0,73521.0,1.0,-0.00905745825078,1.7505,energy,1.0,1.0,,,,,2017-09-25,-1.0,-1.0,6.0,6.0,,,,,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,0,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,-665.913388055,665.913388055,665.913388055,-665.913388055,-665.913388055,665.913388055,-665.913388055,665.913388055,-665.913388055,665.913388055,665.913388055,665.913388055,-665.913388055,-665.913388055,-665.913388055,665.913388055,665.913388055,-665.913388055,-665.913388055,665.913388055,665.913388055,-665.913388055,-665.913388055,-665.913388055,-665.913388055,-665.913388055,-665.913388055,-665.913388055,-665.913388055,-665.913388055,-665.913388055,-665.913388055,-0.0,-0.0,-665.913388055
JY,@JYZ7,0.8885,0.007824293,-0.00252596126859,-1.0,-1.0,1.0,-1.0,-1.0,-16.0,2017-09-08,978.036625,1.0,1.0,1.0,111062.5,1.0,-0.00252596126859,0.8885,currency,-1.0,1.0,,,,,2017-09-08,-1.0,-1.0,17.0,17.0,,,,,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,0,1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,1,1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,0.0,1,-280.539573393,280.539573393,280.539573393,-280.539573393,280.539573393,-280.539573393,-280.539573393,280.539573393,280.539573393,280.539573393,-280.539573393,280.539573393,-280.539573393,-280.539573393,280.539573393,280.539573393,280.539573393,-280.539573393,280.539573393,-280.539573393,280.539573393,-280.539573393,-280.539573393,-280.539573393,-0.0,-280.539573393,-280.539573393,-280.539573393,-280.539573393,-280.539573393,-280.539573393,280.539573393,280.539573393,280.539573393,-280.539573393
KC,@KCZ7,125.45,2.98,-0.0137578616352,-1.0,-1.0,1.0,-1.0,1.0,11.0,2017-09-15,1117.5,1.0,1.0,1.0,47043.75,1.0,-0.0137578616352,125.45,soft,1.0,1.0,,,,,2017-09-15,1.0,1.0,12.0,12.0,,,,,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,2.0,0.0,-1.0,,2.0,0.0,-1.0,,0,-1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
KW,@KWZ7,441.75,9.2125,0.00569151963574,1.0,-1.0,-1.0,1.0,1.0,-3.0,2017-08-28,460.625,2.0,1.0,1.0,22087.5,1.0,0.00569151963574,441.75,grain,1.0,1.0,,,,,2017-09-27,1.0,1.0,-4.0,-4.0,,,,,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,1.0,0.0,-1.0,,2.0,0.0,1.0,,0,-1,-1,-1,1,1,-1,1,1,-1,-1,1,1,-1,1,1.0,0.0,1.0,1.0,-1.0,0.0,-1,1,1.0,0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
LB,@LBX7,410.4,6.94,0.00884955752212,1.0,-1.0,-1.0,1.0,1.0,-20.0,2017-09-01,763.4,1.0,1.0,1.0,45144.0,1.0,0.00884955752212,410.4,soft,1.0,-1.0,,,,,2017-09-01,1.0,1.0,-21.0,-21.0,,,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,1.0,0.0,-1.0,,2.0,0.0,1.0,,0,-1,1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,1.0,0.0,1.0,-1,-1,0.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
LC,@LEZ7,114.9,1.9213213445,0.0130041877893,1.0,1.0,-1.0,1.0,-1.0,6.0,2017-09-22,768.5285378,1.0,1.0,1.0,45960.0,1.0,0.0130041877893,114.9,meat,1.0,-1.0,,,,,2017-09-22,-1.0,-1.0,7.0,7.0,,,,,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0,597.672470796,597.672470796,-597.672470796,597.672470796,597.672470796,-597.672470796,-597.672470796,597.672470796,597.672470796,597.672470796,-597.672470796,597.672470796,-597.672470796,-597.672470796,597.672470796,-597.672470796,-597.672470796,597.672470796,597.672470796,-597.672470796,-597.672470796,597.672470796,597.672470796,597.672470796,0.0,0.0,597.672470796,597.672470796,597.672470796,597.672470796,597.672470796,597.672470796,597.672470796,-597.672470796,-597.672470796
LCO,EBZ7,56.0,1.090287632,-0.00213827512473,-1.0,1.0,-1.0,1.0,-1.0,-24.0,2017-08-29,1090.287632,1.0,1.0,1.0,56000.0,1.0,-0.00213827512473,56.0,energy,1.0,1.0,,,,,2017-08-29,-1.0,-1.0,-25.0,-25.0,,,,,-1.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,,1.0,0.0,1.0,,1.0,0.0,1.0,,0,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
LGO,GASX7,522.0,10.945654899,-0.00666032350143,-1.0,-1.0,1.0,-1.0,-1.0,-24.0,2017-08-29,1094.5654899,1.0,1.0,1.0,52200.0,1.0,-0.00666032350143,522.0,energy,1.0,1.0,,,,,2017-09-25,-1.0,-1.0,6.0,6.0,,,,,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,2.0,0.0,-1.0,,2.0,0.0,-1.0,,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
LH,@HEZ7,62.075,1.7817667305,0.00161355385236,1.0,1.0,-1.0,1.0,-1.0,6.0,2017-09-22,712.7066922,1.0,1.0,1.0,24830.0,1.0,0.00161355385236,62.075,meat,1.0,-1.0,,,,,2017-09-22,-1.0,-1.0,7.0,7.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,40.0645421541,40.0645421541,40.0645421541,-40.0645421541,40.0645421541,-40.0645421541,-40.0645421541,40.0645421541,40.0645421541,40.0645421541,-40.0645421541,40.0645421541,-40.0645421541,-40.0645421541,40.0645421541,-40.0645421541,-40.0645421541,40.0645421541,-40.0645421541,40.0645421541,-40.0645421541,-40.0645421541,-40.0645421541,-40.0645421541,-40.0645421541,-40.0645421541,40.0645421541,-40.0645421541,40.0645421541,0.0,0.0,-40.0645421541,40.0645421541,0.0,-40.0645421541
LRC,LRCX7,2021.0,34.3,0.00697558545092,1.0,1.0,-1.0,1.0,-1.0,-8.0,2017-09-20,343.0,2.0,1.0,1.0,20210.0,1.0,0.00697558545092,2021.0,soft,1.0,1.0,,,,,2017-09-20,1.0,1.0,3.0,3.0,,,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
LSU,QWZ7,365.5,7.756706896,-0.00975345434842,-1.0,1.0,-1.0,1.0,-1.0,4.0,2017-09-26,387.8353448,2.0,1.0,1.0,18275.0,1.0,-0.00975345434842,365.5,soft,1.0,1.0,,,,,2017-09-26,-1.0,-1.0,5.0,5.0,,,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
MEM,@MMEZ7,1106.3,11.8966628865,0.0151403927326,1.0,-1.0,-1.0,1.0,1.0,-3.0,2017-09-19,594.833144325,1.0,1.0,1.0,55315.0,1.0,0.0151403927326,1106.3,index,1.0,1.0,,,,,2017-09-27,1.0,1.0,3.0,3.0,,,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,1.0,0.0,-1.0,,2.0,0.0,1.0,,0,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,1.0,0.0,1.0,-1,-1,0.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
MFX,IBV7,10225.2,110.289830631,0.001106335484,1.0,-1.0,-1.0,-1.0,1.0,16.0,2017-09-08,1295.68493026,1.0,1.0,1.0,120125.6496,0.851208716377,0.001106335484,10225.2,index,1.0,1.0,,,,,2017-09-08,1.0,1.0,17.0,17.0,,,,,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,2.0,0.0,-1.0,,2.0,0.0,-1.0,,0,-1,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1.0,0.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
MP,@PXZ7,0.05421,0.000475271,0.000184501845019,1.0,1.0,1.0,-1.0,1.0,-3.0,2017-09-15,237.6355,4.0,1.0,1.0,27105.0,1.0,0.000184501845019,0.05421,currency,1.0,1.0,,,,,2017-09-15,1.0,1.0,12.0,12.0,,,,,-1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,,1.0,4.0,1.0,,2.0,4.0,-1.0,,0,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,1,1.0,1.0,0.0,1.0,0.0,1.0,-1,1,1.0,0,20.0036900369,20.0036900369,-20.0036900369,20.0036900369,20.0036900369,-20.0036900369,20.0036900369,-20.0036900369,20.0036900369,20.0036900369,20.0036900369,-20.0036900369,20.0036900369,-20.0036900369,-20.0036900369,20.0036900369,20.0036900369,-20.0036900369,20.0036900369,-20.0036900369,20.0036900369,20.0036900369,-20.0036900369,20.0036900369,20.0036900369,0.0,20.0036900369,20.0036900369,20.0036900369,20.0036900369,0.0,20.0036900369,0.0,20.0036900369,-20.0036900369
MW,@MWZ7,612.25,12.175,0.00122649223222,1.0,1.0,-1.0,1.0,1.0,-3.0,2017-09-19,608.75,1.0,1.0,1.0,30612.5,1.0,0.00122649223222,612.25,grain,1.0,1.0,,,,,2017-09-27,1.0,1.0,-4.0,-4.0,,,,,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,1.0,0.0,1.0,,1.0,0.0,1.0,,0,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1.0,0.0,0.0,1.0,0.0,0.0,-1,0,-1.0,-1,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
NE,@NEZ7,0.7147,0.0077069685,-0.00625695216908,-1.0,-1.0,-1.0,-1.0,1.0,-8.0,2017-09-20,770.69685,1.0,1.0,1.0,71470.0,1.0,-0.00625695216908,0.7147,currency,1.0,1.0,,,,,2017-09-20,1.0,1.0,-9.0,-9.0,,,,,-1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,0,-1,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1.0,0.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,-447.184371524,447.184371524,447.184371524,-447.184371524,-447.184371524,447.184371524,-447.184371524,447.184371524,-447.184371524,447.184371524,447.184371524,447.184371524,-447.184371524,-447.184371524,-447.184371524,-447.184371524,-447.184371524,447.184371524,-447.184371524,447.184371524,-447.184371524,-447.184371524,-447.184371524,-447.184371524,-447.184371524,-447.184371524,447.184371524,-447.184371524,-447.184371524,-0.0,-447.184371524,-447.184371524,447.184371524,-447.184371524,447.184371524
NG,QNGX7,2.895,0.074985136,-0.00720164609053,-1.0,-1.0,1.0,-1.0,-1.0,-10.0,2017-09-18,749.85136,1.0,1.0,1.0,28950.0,1.0,-0.00720164609053,2.895,energy,1.0,1.0,,,,,2017-09-18,-1.0,-1.0,-11.0,-11.0,,,,,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,-208.487654321,208.487654321,208.487654321,-208.487654321,-208.487654321,208.487654321,-208.487654321,208.487654321,-208.487654321,208.487654321,-208.487654321,208.487654321,-208.487654321,-208.487654321,208.487654321,208.487654321,208.487654321,-208.487654321,-208.487654321,208.487654321,208.487654321,-208.487654321,-208.487654321,-208.487654321,-208.487654321,-208.487654321,-208.487654321,-208.487654321,-208.487654321,-208.487654321,-208.487654321,-208.487654321,-0.0,-0.0,-208.487654321
NIY,@NKDZ7,20675.0,175.0,0.0100146555936,1.0,1.0,-1.0,1.0,-1.0,16.0,2017-09-08,775.365529464,1.0,1.0,1.0,91603.8989809,112.85,0.0100146555936,20675.0,index,1.0,-1.0,,,,,2017-09-08,-1.0,-1.0,17.0,17.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,917.381499321,917.381499321,917.381499321,-917.381499321,917.381499321,-917.381499321,-917.381499321,917.381499321,917.381499321,917.381499321,-917.381499321,917.381499321,-917.381499321,-917.381499321,917.381499321,-917.381499321,-917.381499321,917.381499321,-917.381499321,917.381499321,-917.381499321,-917.381499321,-917.381499321,-917.381499321,-917.381499321,-917.381499321,917.381499321,-917.381499321,917.381499321,0.0,0.0,-917.381499321,917.381499321,0.0,-917.381499321
NQ,@NQZ7,5998.0,50.787624031,0.00292617674108,1.0,-1.0,-1.0,-1.0,1.0,-5.0,2017-09-25,1015.75248062,1.0,1.0,1.0,119960.0,1.0,0.00292617674108,5998.0,index,1.0,1.0,,,,,2017-09-25,1.0,1.0,-6.0,-6.0,,,,,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,1.0,1.0,-1.0,,1.0,1.0,-1.0,,0,-1,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1.0,0.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,351.024161859,351.024161859,-351.024161859,351.024161859,351.024161859,-351.024161859,351.024161859,-351.024161859,351.024161859,-351.024161859,-351.024161859,-351.024161859,351.024161859,351.024161859,351.024161859,351.024161859,351.024161859,-351.024161859,351.024161859,-351.024161859,351.024161859,351.024161859,351.024161859,351.024161859,351.024161859,351.024161859,-351.024161859,351.024161859,351.024161859,0.0,351.024161859,351.024161859,-351.024161859,351.024161859,-351.024161859
O,@OZ7,251.25,5.5125,-0.0049504950495,-1.0,1.0,-1.0,1.0,1.0,19.0,2017-09-05,275.625,3.0,1.0,1.0,12562.5,1.0,-0.0049504950495,251.25,grain,1.0,-1.0,,,,,2017-09-05,1.0,1.0,20.0,20.0,,,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
OJ,@OJX7,155.3,5.57,0.0150326797386,1.0,1.0,-1.0,1.0,1.0,-14.0,2017-09-12,835.5,1.0,1.0,1.0,23295.0,1.0,0.0150326797386,155.3,soft,1.0,1.0,,,,,2017-09-25,1.0,1.0,6.0,6.0,,,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,1.0,0.0,1.0,,1.0,0.0,1.0,,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
