2016-08-30 00:00:00,Contract,LastClose,ATR20,PC2016-08-30 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,Close2016-08-30 00:00:00,RiskOn,group,SEA2016-08-30 00:00:00,SRUN2016-08-30 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-29 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-29 00:00:00,0.5SIG2016-08-26 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-29 00:00:00,0.75SIG2016-08-26 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-29 00:00:00,1SIG2016-08-26 00:00:00,RiskOff,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9
HO,QHOV6,1.4847,0.039578056,-0.0106616912108,-1.0,1.0,-1.0,1.0,1.0,21.0,2016-08-01,1662.278352,2.0,1.0,1.0,62357.4,1.4847,1.0,energy,1.0,21.0,-1.0,1.0,20.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,,1.0,2.0,1.0,,1.0,2.0,1.0,,-1,-1,-1,-1,1,1.0,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1329.67068701,1329.67068701,1329.67068701,-1329.67068701,-1329.67068701,1329.67068701,-1329.67068701,-1329.67068701,1329.67068701,-1329.67068701,1329.67068701,1329.67068701,-1329.67068701,1329.67068701,-1329.67068701,1329.67068701,1329.67068701,-1329.67068701,-1329.67068701,-1329.67068701,1329.67068701,1329.67068701,1329.67068701,-1329.67068701,1329.67068701
JY,@JYU6,0.9717,0.008805,-0.00973248407643,-1.0,1.0,-1.0,1.0,1.0,-8.0,2016-08-18,1100.625,2.0,1.0,1.0,121462.5,0.9717,-1.0,currency,1.0,-8.0,-1.0,1.0,28.0,-1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,,1.0,2.0,1.0,,1.0,2.0,1.0,,1,-1,-1,-1,1,1.0,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,1,-1,1,-2364.26369427,2364.26369427,2364.26369427,-2364.26369427,2364.26369427,-2364.26369427,2364.26369427,-2364.26369427,2364.26369427,-2364.26369427,2364.26369427,2364.26369427,-2364.26369427,2364.26369427,-2364.26369427,2364.26369427,2364.26369427,-2364.26369427,-2364.26369427,-2364.26369427,2364.26369427,2364.26369427,-2364.26369427,2364.26369427,2364.26369427
KC,@KCZ6,146.05,3.3416849745,0.0065472088215,1.0,1.0,1.0,1.0,1.0,-33.0,2016-07-14,1253.13186544,2.0,1.0,1.0,54768.75,146.05,1.0,soft,1.0,-33.0,1.0,1.0,-32.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,-1,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,717.164886285,717.164886285,717.164886285,-717.164886285,717.164886285,-717.164886285,717.164886285,717.164886285,717.164886285,717.164886285,-717.164886285,-717.164886285,717.164886285,-717.164886285,-717.164886285,717.164886285,717.164886285,-717.164886285,-717.164886285,-717.164886285,717.164886285,-717.164886285,-717.164886285,717.164886285,717.164886285
KW,@KWZ6,396.75,9.388964436,-0.0136730888751,-1.0,-1.0,1.0,-1.0,1.0,-22.0,2016-07-29,469.4482218,5.0,1.0,1.0,19837.5,396.75,1.0,grain,1.0,-22.0,-1.0,1.0,-21.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,,2.0,5.0,-1.0,,2.0,5.0,-1.0,,-1,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1356.1995028,1356.1995028,1356.1995028,-1356.1995028,-1356.1995028,1356.1995028,-1356.1995028,1356.1995028,-1356.1995028,1356.1995028,-1356.1995028,-1356.1995028,-1356.1995028,1356.1995028,1356.1995028,-1356.1995028,1356.1995028,-1356.1995028,1356.1995028,1356.1995028,-1356.1995028,-1356.1995028,-1356.1995028,-1356.1995028,-1356.1995028
LB,@LBX6,319.8,6.390506468,-0.00898667493028,-1.0,-1.0,-1.0,1.0,1.0,-24.0,2016-07-27,702.95571148,3.0,1.0,1.0,35178.0,319.8,1.0,soft,1.0,-24.0,-1.0,1.0,-23.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,,2.0,0.0,-1.0,,2.0,0.0,1.0,,-1,-1,1,-1,1,-1.0,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
LC,@LEV6,107.475,1.74375,0.02284082798,1.0,-1.0,1.0,-1.0,1.0,17.0,2016-08-05,697.5,3.0,1.0,1.0,42990.0,107.475,1.0,meat,1.0,17.0,-1.0,-1.0,16.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,-1,1,1,1,1,-1.0,1,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,2945.78158458,2945.78158458,-2945.78158458,2945.78158458,2945.78158458,-2945.78158458,2945.78158458,-2945.78158458,2945.78158458,-2945.78158458,2945.78158458,2945.78158458,-2945.78158458,2945.78158458,-2945.78158458,2945.78158458,-2945.78158458,2945.78158458,2945.78158458,2945.78158458,2945.78158458,2945.78158458,2945.78158458,2945.78158458,2945.78158458
LCO,EBZ6,49.14,1.403,-0.0138470800722,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,2016-08-02,1403.0,2.0,1.0,1.0,49140.0,49.14,1.0,energy,-1.0,20.0,-1.0,-1.0,-19.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,,2.0,2.0,-1.0,,2.0,2.0,-1.0,,-1,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,-1,1,1,-1,-1,1,1,-1360.8910295,1360.8910295,1360.8910295,-1360.8910295,-1360.8910295,1360.8910295,-1360.8910295,1360.8910295,1360.8910295,1360.8910295,-1360.8910295,-1360.8910295,1360.8910295,-1360.8910295,-1360.8910295,1360.8910295,1360.8910295,-1360.8910295,-1360.8910295,-1360.8910295,1360.8910295,-1360.8910295,1360.8910295,-1360.8910295,-1360.8910295
LGO,GASZ6,438.5,12.7135457875,-0.0073571024335,-1.0,1.0,-1.0,1.0,-1.0,21.0,2016-08-01,1271.35457875,2.0,1.0,1.0,43850.0,438.5,1.0,energy,-1.0,21.0,-1.0,-1.0,20.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,,1.0,2.0,1.0,,1.0,2.0,1.0,,-1,-1,-1,1,1,-1.0,1,1,-1,1,1,-1,1,-1,1,1,1,-1,1,-1,-645.217883418,645.217883418,645.217883418,-645.217883418,-645.217883418,645.217883418,-645.217883418,-645.217883418,645.217883418,-645.217883418,645.217883418,645.217883418,645.217883418,-645.217883418,645.217883418,-645.217883418,-645.217883418,645.217883418,-645.217883418,-645.217883418,645.217883418,-645.217883418,645.217883418,-645.217883418,-645.217883418
LH,@HEV6,62.05,1.8875,0.0109979633401,1.0,-1.0,1.0,-1.0,1.0,11.0,2016-08-15,755.0,3.0,1.0,1.0,24820.0,62.05,1.0,meat,1.0,11.0,1.0,1.0,10.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,,1.0,3.0,-1.0,,1.0,3.0,-1.0,,-1,1,1,-1,-1,1.0,-1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,818.908350306,818.908350306,818.908350306,-818.908350306,818.908350306,-818.908350306,818.908350306,-818.908350306,818.908350306,-818.908350306,818.908350306,818.908350306,818.908350306,-818.908350306,818.908350306,-818.908350306,-818.908350306,818.908350306,-818.908350306,-818.908350306,818.908350306,-818.908350306,-818.908350306,818.908350306,818.908350306
LRC,LRCX6,1816.0,23.427067884,-0.00164925783397,-1.0,-1.0,1.0,-1.0,1.0,-21.0,2016-07-29,234.27067884,9.0,2.0,2.0,18160.0,1816.0,1.0,soft,1.0,-21.0,1.0,1.0,-20.0,1.0,1.0,9.0,1.0,1.0,9.0,,1.0,1.0,9.0,,-1.0,1.0,9.0,,-1.0,-1,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,-269.554700385,269.554700385,-269.554700385,269.554700385,-269.554700385,269.554700385,-269.554700385,269.554700385,-269.554700385,269.554700385,-269.554700385,-269.554700385,-269.554700385,269.554700385,269.554700385,-269.554700385,269.554700385,269.554700385,269.554700385,269.554700385,-269.554700385,269.554700385,269.554700385,-269.554700385,-269.554700385
LSU,QWV6,537.5,12.32,-0.00499814883377,-1.0,-1.0,-1.0,-1.0,-1.0,-22.0,2016-07-28,616.0,4.0,1.0,1.0,26875.0,537.5,1.0,soft,-1.0,-22.0,1.0,-1.0,-21.0,-1.0,1.0,4.0,-1.0,2.0,4.0,,-1.0,1.0,4.0,,-1.0,1.0,4.0,,-1.0,-1,1,1,1,-1,1.0,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1,-537.30099963,537.30099963,-537.30099963,537.30099963,-537.30099963,537.30099963,537.30099963,537.30099963,537.30099963,537.30099963,-537.30099963,-537.30099963,537.30099963,-537.30099963,-537.30099963,537.30099963,-537.30099963,537.30099963,537.30099963,537.30099963,-537.30099963,537.30099963,537.30099963,537.30099963,-537.30099963
MEM,@MMEU6,898.6,11.315,-0.00177738280382,-1.0,-1.0,-1.0,1.0,1.0,-31.0,2016-07-18,565.75,4.0,1.0,1.0,44930.0,898.6,1.0,index,1.0,-31.0,1.0,1.0,-30.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,,1.0,4.0,-1.0,,1.0,4.0,1.0,,-1,-1,1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,-319.431237503,319.431237503,-319.431237503,319.431237503,-319.431237503,319.431237503,319.431237503,319.431237503,319.431237503,-319.431237503,319.431237503,-319.431237503,-319.431237503,319.431237503,319.431237503,-319.431237503,-319.431237503,319.431237503,319.431237503,319.431237503,-319.431237503,319.431237503,319.431237503,319.431237503,319.431237503
MFX,IBU6,8687.8,116.385223782,0.00988050402195,1.0,-1.0,-1.0,-1.0,1.0,19.0,2016-08-03,1296.8805486,2.0,1.0,1.0,96808.1554,8687.8,1.0,index,1.0,19.0,-1.0,1.0,18.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,,1.0,2.0,-1.0,,1.0,2.0,-1.0,,-1,1,1,-1,1,1.0,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1913.02673757,1913.02673757,-1913.02673757,1913.02673757,1913.02673757,-1913.02673757,1913.02673757,-1913.02673757,-1913.02673757,-1913.02673757,1913.02673757,1913.02673757,1913.02673757,-1913.02673757,1913.02673757,-1913.02673757,-1913.02673757,1913.02673757,-1913.02673757,-1913.02673757,-1913.02673757,-1913.02673757,-1913.02673757,1913.02673757,-1913.02673757
MP,@PXU6,0.05299,0.0006655,-0.0121178225205,-1.0,-1.0,1.0,-1.0,-1.0,10.0,2016-08-16,332.75,7.0,1.0,1.0,26495.0,0.05299,1.0,currency,-1.0,10.0,-1.0,-1.0,9.0,1.0,1.0,7.0,1.0,1.0,7.0,1.0,,2.0,7.0,-1.0,,2.0,7.0,-1.0,,-1,1,1,1,1,-1.0,1,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,-2247.43195377,2247.43195377,2247.43195377,-2247.43195377,-2247.43195377,2247.43195377,-2247.43195377,2247.43195377,-2247.43195377,2247.43195377,-2247.43195377,-2247.43195377,2247.43195377,-2247.43195377,2247.43195377,-2247.43195377,2247.43195377,-2247.43195377,-2247.43195377,-2247.43195377,-2247.43195377,-2247.43195377,-2247.43195377,-2247.43195377,-2247.43195377
MW,@MWZ6,485.75,8.0487930615,0.00309757356737,1.0,-1.0,1.0,-1.0,1.0,-7.0,2016-08-19,402.439653075,5.0,1.0,1.0,24287.5,485.75,1.0,grain,1.0,-7.0,-1.0,1.0,-6.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,,2.0,5.0,-1.0,,2.0,5.0,-1.0,,-1,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,376.161590088,376.161590088,-376.161590088,376.161590088,376.161590088,-376.161590088,376.161590088,-376.161590088,376.161590088,-376.161590088,376.161590088,376.161590088,376.161590088,-376.161590088,-376.161590088,376.161590088,-376.161590088,376.161590088,-376.161590088,-376.161590088,376.161590088,376.161590088,376.161590088,376.161590088,376.161590088
NE,@NEU6,0.7215,0.0077,-0.00510204081633,-1.0,1.0,-1.0,1.0,1.0,-28.0,2016-07-21,770.0,3.0,1.0,1.0,72150.0,0.7215,1.0,currency,1.0,-28.0,1.0,1.0,-27.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1104.33673469,1104.33673469,-1104.33673469,1104.33673469,-1104.33673469,1104.33673469,1104.33673469,-1104.33673469,1104.33673469,-1104.33673469,1104.33673469,1104.33673469,-1104.33673469,1104.33673469,1104.33673469,-1104.33673469,-1104.33673469,1104.33673469,1104.33673469,1104.33673469,-1104.33673469,1104.33673469,1104.33673469,1104.33673469,1104.33673469
NG,QNGV6,2.827,0.087016087,-0.0238259668508,-1.0,1.0,-1.0,1.0,-1.0,-13.0,2016-08-11,870.16087,3.0,1.0,1.0,28270.0,2.827,1.0,energy,-1.0,-13.0,-1.0,-1.0,-12.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,-1,-1,1,1,1.0,-1,1,1,1,1,-1,1,-1,1,1,1,-1,1,-1,-2020.68024862,2020.68024862,2020.68024862,-2020.68024862,-2020.68024862,2020.68024862,-2020.68024862,-2020.68024862,2020.68024862,-2020.68024862,2020.68024862,2020.68024862,2020.68024862,-2020.68024862,-2020.68024862,2020.68024862,-2020.68024862,-2020.68024862,-2020.68024862,-2020.68024862,2020.68024862,-2020.68024862,2020.68024862,-2020.68024862,-2020.68024862
NIY,@NKDU6,16860.0,213.0,0.00958083832335,1.0,1.0,1.0,1.0,1.0,-30.0,2016-07-19,1033.77984857,2.0,1.0,1.0,81828.7711124,16860.0,1.0,index,1.0,-30.0,1.0,1.0,-29.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,-1,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,1567.97645245,1567.97645245,1567.97645245,-1567.97645245,1567.97645245,-1567.97645245,1567.97645245,1567.97645245,1567.97645245,1567.97645245,-1567.97645245,-1567.97645245,1567.97645245,-1567.97645245,-1567.97645245,1567.97645245,1567.97645245,-1567.97645245,-1567.97645245,-1567.97645245,1567.97645245,-1567.97645245,-1567.97645245,1567.97645245,1567.97645245
NQ,@NQU6,4776.0,32.825,-0.00359881082773,-1.0,-1.0,-1.0,-1.0,1.0,14.0,2016-08-10,656.5,4.0,1.0,1.0,95520.0,4776.0,1.0,index,1.0,14.0,1.0,1.0,-3.0,-1.0,1.0,4.0,-1.0,2.0,4.0,-1.0,,2.0,4.0,-1.0,,2.0,4.0,-1.0,,-1,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1375.03364106,1375.03364106,-1375.03364106,1375.03364106,-1375.03364106,1375.03364106,1375.03364106,1375.03364106,1375.03364106,1375.03364106,-1375.03364106,-1375.03364106,-1375.03364106,1375.03364106,1375.03364106,-1375.03364106,1375.03364106,1375.03364106,1375.03364106,1375.03364106,-1375.03364106,1375.03364106,1375.03364106,1375.03364106,1375.03364106
O,@OZ6,177.5,4.6125,-0.00837988826816,-1.0,1.0,1.0,1.0,1.0,-17.0,2016-08-05,230.625,9.0,2.0,2.0,8875.0,177.5,1.0,grain,1.0,-17.0,-1.0,1.0,-16.0,1.0,1.0,9.0,1.0,1.0,9.0,1.0,,2.0,9.0,1.0,,2.0,9.0,1.0,,-1,-1,-1,-1,1,-1.0,1,-1,1,1,1,-1,1,1,1,1,1,-1,1,-1,-669.343575419,669.343575419,669.343575419,-669.343575419,-669.343575419,669.343575419,-669.343575419,-669.343575419,-669.343575419,-669.343575419,669.343575419,669.343575419,-669.343575419,669.343575419,669.343575419,-669.343575419,669.343575419,-669.343575419,-669.343575419,-669.343575419,669.343575419,-669.343575419,-669.343575419,-669.343575419,-669.343575419
OJ,@OJX6,189.15,5.7514461745,0.000264410364886,1.0,1.0,-1.0,1.0,-1.0,15.0,2016-08-09,862.716926175,3.0,1.0,1.0,28372.5,189.15,1.0,soft,-1.0,15.0,1.0,-1.0,14.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,-1,-1,1,-1,-1.0,1,1,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,22.5059492332,22.5059492332,22.5059492332,-22.5059492332,22.5059492332,-22.5059492332,-22.5059492332,22.5059492332,-22.5059492332,22.5059492332,-22.5059492332,-22.5059492332,-22.5059492332,22.5059492332,-22.5059492332,22.5059492332,22.5059492332,-22.5059492332,22.5059492332,22.5059492332,22.5059492332,-22.5059492332,-22.5059492332,-22.5059492332,22.5059492332
PA,QPAZ6,678.2,19.632883942,-0.030103682517,-1.0,-1.0,-1.0,-1.0,-1.0,-21.0,2016-08-01,1963.2883942,2.0,1.0,1.0,67820.0,678.2,1.0,metal,-1.0,-21.0,1.0,-1.0,-20.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,,1.0,2.0,-1.0,,1.0,2.0,-1.0,,-1,1,1,1,-1,1.0,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1,-4083.2634966,4083.2634966,-4083.2634966,4083.2634966,-4083.2634966,4083.2634966,4083.2634966,4083.2634966,4083.2634966,4083.2634966,-4083.2634966,-4083.2634966,4083.2634966,-4083.2634966,-4083.2634966,4083.2634966,-4083.2634966,4083.2634966,4083.2634966,4083.2634966,-4083.2634966,4083.2634966,4083.2634966,4083.2634966,-4083.2634966
PL,QPLV6,1056.6,23.535,-0.0226621034132,-1.0,-1.0,1.0,-1.0,-1.0,14.0,2016-08-10,1176.75,2.0,1.0,1.0,52830.0,1056.6,-1.0,metal,-1.0,14.0,1.0,-1.0,13.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,,2.0,2.0,-1.0,,2.0,2.0,-1.0,,1,1,1,1,-1,-1.0,1,1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,1,-2394.47784664,2394.47784664,-2394.47784664,2394.47784664,2394.47784664,-2394.47784664,2394.47784664,2394.47784664,-2394.47784664,2394.47784664,-2394.47784664,-2394.47784664,2394.47784664,-2394.47784664,2394.47784664,-2394.47784664,-2394.47784664,2394.47784664,2394.47784664,2394.47784664,-2394.47784664,-2394.47784664,-2394.47784664,2394.47784664,-2394.47784664
RB,QRBV6,1.3745,0.042765957,-0.015260065912,-1.0,1.0,-1.0,1.0,1.0,23.0,2016-07-28,1796.170194,2.0,1.0,1.0,57729.0,1.3745,1.0,energy,1.0,23.0,-1.0,1.0,22.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,,1.0,2.0,1.0,,1.0,2.0,1.0,,-1,-1,-1,-1,1,1.0,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1761.89669007,1761.89669007,1761.89669007,-1761.89669007,-1761.89669007,1761.89669007,-1761.89669007,-1761.89669007,1761.89669007,-1761.89669007,1761.89669007,1761.89669007,-1761.89669007,1761.89669007,-1761.89669007,1761.89669007,1761.89669007,-1761.89669007,-1761.89669007,-1761.89669007,1761.89669007,1761.89669007,1761.89669007,-1761.89669007,1761.89669007
RR,@RRX6,9.52,0.298740858,-0.0190623390005,-1.0,1.0,1.0,-1.0,1.0,-6.0,2016-08-22,597.481716,4.0,1.0,1.0,19040.0,9.52,1.0,grain,1.0,-6.0,-1.0,1.0,-5.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,,1.0,4.0,1.0,,2.0,4.0,-1.0,,-1,1,-1,-1,1,-1.0,1,-1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1451.78773828,1451.78773828,1451.78773828,-1451.78773828,-1451.78773828,1451.78773828,-1451.78773828,-1451.78773828,-1451.78773828,1451.78773828,-1451.78773828,1451.78773828,-1451.78773828,1451.78773828,1451.78773828,-1451.78773828,1451.78773828,-1451.78773828,-1451.78773828,-1451.78773828,-1451.78773828,-1451.78773828,-1451.78773828,-1451.78773828,-1451.78773828
RS,@RSX6,453.0,6.86,-0.00701446733889,-1.0,-1.0,1.0,-1.0,-1.0,-5.0,2016-08-23,104.748816613,20.0,3.0,3.0,6917.0865781,453.0,1.0,grain,-1.0,-5.0,-1.0,-1.0,22.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,,2.0,20.0,-1.0,,2.0,20.0,-1.0,,-1,1,1,1,1,-1.0,1,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,-970.393557647,970.393557647,970.393557647,-970.393557647,-970.393557647,970.393557647,-970.393557647,970.393557647,-970.393557647,970.393557647,-970.393557647,-970.393557647,970.393557647,-970.393557647,970.393557647,-970.393557647,970.393557647,-970.393557647,-970.393557647,-970.393557647,-970.393557647,-970.393557647,-970.393557647,-970.393557647,-970.393557647
S,@SX6,950.75,19.1,-0.0140005185377,-1.0,-1.0,1.0,-1.0,1.0,-9.0,2016-08-17,955.0,3.0,1.0,1.0,47537.5,950.75,1.0,grain,1.0,-9.0,-1.0,1.0,-8.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,-1,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1996.64894996,1996.64894996,1996.64894996,-1996.64894996,-1996.64894996,1996.64894996,-1996.64894996,1996.64894996,-1996.64894996,1996.64894996,-1996.64894996,-1996.64894996,-1996.64894996,1996.64894996,1996.64894996,-1996.64894996,1996.64894996,-1996.64894996,1996.64894996,1996.64894996,-1996.64894996,-1996.64894996,-1996.64894996,-1996.64894996,-1996.64894996
SB,@SBV6,20.52,0.5815,-0.00725689404935,-1.0,1.0,1.0,1.0,1.0,-23.0,2016-07-28,651.28,4.0,1.0,1.0,22982.4,20.52,1.0,soft,1.0,-23.0,1.0,1.0,-22.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,,2.0,4.0,1.0,,2.0,4.0,1.0,,-1,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,-667.123367199,667.123367199,-667.123367199,667.123367199,-667.123367199,667.123367199,-667.123367199,-667.123367199,-667.123367199,-667.123367199,667.123367199,667.123367199,-667.123367199,667.123367199,667.123367199,-667.123367199,-667.123367199,667.123367199,667.123367199,667.123367199,-667.123367199,667.123367199,667.123367199,-667.123367199,-667.123367199
SF,@SFU6,1.0175,0.006875,-0.00566793706635,-1.0,1.0,-1.0,1.0,1.0,-8.0,2016-08-18,859.375,3.0,1.0,1.0,127187.5,1.0175,1.0,currency,1.0,-8.0,1.0,1.0,-7.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-2162.67223688,2162.67223688,-2162.67223688,2162.67223688,-2162.67223688,2162.67223688,2162.67223688,-2162.67223688,2162.67223688,-2162.67223688,2162.67223688,2162.67223688,-2162.67223688,2162.67223688,2162.67223688,-2162.67223688,-2162.67223688,2162.67223688,2162.67223688,2162.67223688,-2162.67223688,2162.67223688,2162.67223688,2162.67223688,2162.67223688
SI,QSIZ6,1867.3,44.0498322075,-0.00986266504056,-1.0,1.0,-1.0,1.0,1.0,45.0,2016-08-02,2202.49161037,1.0,1.0,1.0,93365.0,1867.3,-1.0,metal,1.0,45.0,1.0,1.0,44.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-920.827721512,920.827721512,-920.827721512,920.827721512,920.827721512,-920.827721512,920.827721512,-920.827721512,920.827721512,-920.827721512,920.827721512,920.827721512,-920.827721512,920.827721512,-920.827721512,920.827721512,-920.827721512,920.827721512,920.827721512,920.827721512,920.827721512,920.827721512,920.827721512,920.827721512,920.827721512
SIN,INU6,8805.0,92.0138075915,0.0172722546358,1.0,-1.0,-1.0,-1.0,-1.0,16.0,2016-08-08,184.027615183,11.0,2.0,2.0,17610.0,8805.0,1.0,index,-1.0,16.0,1.0,1.0,15.0,-1.0,1.0,11.0,-1.0,1.0,11.0,-1.0,,1.0,11.0,-1.0,,1.0,11.0,-1.0,,-1,1,1,-1,-1,1.0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,3345.8084455,3345.8084455,3345.8084455,-3345.8084455,3345.8084455,-3345.8084455,-3345.8084455,-3345.8084455,-3345.8084455,-3345.8084455,3345.8084455,3345.8084455,3345.8084455,-3345.8084455,3345.8084455,-3345.8084455,-3345.8084455,-3345.8084455,-3345.8084455,-3345.8084455,3345.8084455,-3345.8084455,-3345.8084455,-3345.8084455,-3345.8084455
SJB,BBU6,151.55,0.2905,0.000660283922087,1.0,-1.0,1.0,-1.0,1.0,-24.0,2016-07-27,281.984080761,8.0,1.0,1.0,147107.357795,151.55,-1.0,rates,1.0,-24.0,1.0,1.0,-23.0,-1.0,1.0,8.0,-1.0,1.0,8.0,1.0,,1.0,8.0,-1.0,,1.0,8.0,-1.0,,1,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,777.060985379,777.060985379,777.060985379,-777.060985379,-777.060985379,777.060985379,-777.060985379,-777.060985379,777.060985379,-777.060985379,777.060985379,777.060985379,777.060985379,-777.060985379,-777.060985379,777.060985379,-777.060985379,-777.060985379,-777.060985379,-777.060985379,777.060985379,-777.060985379,777.060985379,-777.060985379,-777.060985379
