2016-08-05 00:00:00,Contract,LastClose,ATR20,PC2016-08-05 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,contractValue,Close2016-08-05 00:00:00,RiskOn,group,SEA2016-08-05 00:00:00,SRUN2016-08-05 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-04 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-04 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-04 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-04 00:00:00,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,RiskOff,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5
LCO,EBZ6,45.12,1.393,-0.000664451827243,-1.0,-1.0,1.0,-1.0,-1.0,-3.0,2016-07-13,1393.0,2.0,45120.0,45.12,1.0,energy,-1.0,-3.0,1.0,-1.0,-2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,1,-1,1.0,-1,1,1,-1,1,1,-1,-29.9800664452,59.9601328904,-59.9601328904,59.9601328904,-59.9601328904,59.9601328904,-59.9601328904,59.9601328904,-59.9601328904,59.9601328904,-59.9601328904,-59.9601328904,59.9601328904,-59.9601328904,-59.9601328904,59.9601328904,-59.9601328904,-59.9601328904,59.9601328904,-59.9601328904,-59.9601328904
LGO,GASU6,378.25,13.3768916475,0.0133958472873,1.0,-1.0,-1.0,-1.0,-1.0,4.0,2016-08-01,1337.68916475,2.0,37825.0,378.25,1.0,energy,-1.0,4.0,1.0,1.0,-26.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1,1,-1,-1,-1.0,1,-1,-1,1,-1,1,-1,506.697923644,1013.39584729,1013.39584729,-1013.39584729,1013.39584729,-1013.39584729,1013.39584729,-1013.39584729,-1013.39584729,-1013.39584729,1013.39584729,1013.39584729,1013.39584729,-1013.39584729,-1013.39584729,1013.39584729,-1013.39584729,-1013.39584729,1013.39584729,-1013.39584729,1013.39584729
LH,@HEV6,58.3,1.5790476005,-0.0034188034188,-1.0,-1.0,1.0,-1.0,-1.0,-4.0,2016-08-01,631.6190402,4.0,23320.0,58.3,1.0,meat,-1.0,-4.0,-1.0,-1.0,-3.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,1,1,1,1.0,-1,1,1,1,1,-1,-1,-79.7264957265,318.905982906,318.905982906,-318.905982906,-318.905982906,318.905982906,318.905982906,318.905982906,-318.905982906,318.905982906,-318.905982906,-318.905982906,318.905982906,-318.905982906,-318.905982906,318.905982906,-318.905982906,-318.905982906,-318.905982906,-318.905982906,318.905982906
LRC,LRCU6,1823.0,28.15,0.00330214639516,1.0,-1.0,-1.0,1.0,1.0,16.0,2016-07-25,281.5,8.0,18230.0,1823.0,1.0,soft,1.0,16.0,-1.0,1.0,15.0,-1.0,1.0,8.0,-1.0,1.0,8.0,-1.0,1.0,8.0,-1.0,1.0,8.0,1.0,-1,1,-1,1,1.0,-1,1,1,1,1,-1,-1,60.1981287837,481.58503027,-481.58503027,481.58503027,481.58503027,-481.58503027,-481.58503027,-481.58503027,-481.58503027,481.58503027,-481.58503027,481.58503027,481.58503027,-481.58503027,481.58503027,-481.58503027,481.58503027,481.58503027,481.58503027,481.58503027,-481.58503027
LSU,QWV6,551.4,11.555,0.0160309563295,1.0,1.0,1.0,1.0,-1.0,-6.0,2016-07-28,577.75,4.0,27570.0,551.4,1.0,soft,-1.0,-6.0,1.0,-1.0,-5.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,1,-1,1.0,-1,-1,1,-1,-1,-1,-1,441.973466003,1767.89386401,1767.89386401,-1767.89386401,1767.89386401,-1767.89386401,-1767.89386401,1767.89386401,1767.89386401,1767.89386401,-1767.89386401,-1767.89386401,-1767.89386401,1767.89386401,1767.89386401,-1767.89386401,-1767.89386401,1767.89386401,-1767.89386401,-1767.89386401,-1767.89386401
MEM,@MMEU6,891.3,10.98,0.0116912599319,1.0,-1.0,-1.0,1.0,1.0,-14.0,2016-07-18,549.0,4.0,44565.0,891.3,1.0,index,1.0,-14.0,1.0,1.0,-13.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,-1,1,-1,-1,-1.0,1,-1,-1,1,-1,1,-1,521.020998865,2084.08399546,2084.08399546,-2084.08399546,2084.08399546,-2084.08399546,2084.08399546,-2084.08399546,-2084.08399546,2084.08399546,-2084.08399546,2084.08399546,2084.08399546,-2084.08399546,-2084.08399546,2084.08399546,-2084.08399546,-2084.08399546,2084.08399546,-2084.08399546,2084.08399546
MFX,IBQ6,8527.4,146.435,0.0186348758869,1.0,1.0,-1.0,1.0,1.0,-2.0,2016-07-29,1623.37841,2.0,94534.7564,8527.4,1.0,index,1.0,-2.0,1.0,1.0,4.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1,-1,-1,-1,1761.64345252,3523.28690503,3523.28690503,-3523.28690503,3523.28690503,-3523.28690503,-3523.28690503,3523.28690503,-3523.28690503,3523.28690503,-3523.28690503,-3523.28690503,3523.28690503,-3523.28690503,3523.28690503,-3523.28690503,-3523.28690503,-3523.28690503,-3523.28690503,-3523.28690503,-3523.28690503
MP,@PXU6,0.05313,0.000559,0.00950028500855,1.0,1.0,1.0,1.0,-1.0,11.0,2016-07-21,279.5,8.0,26565.0,0.05313,1.0,currency,-1.0,11.0,1.0,-1.0,10.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,2.0,8.0,1.0,2.0,8.0,1.0,-1,-1,1,-1,-1.0,1,-1,-1,-1,-1,1,-1,252.375071252,2019.00057002,2019.00057002,-2019.00057002,2019.00057002,-2019.00057002,2019.00057002,2019.00057002,2019.00057002,2019.00057002,-2019.00057002,-2019.00057002,-2019.00057002,2019.00057002,-2019.00057002,2019.00057002,-2019.00057002,-2019.00057002,-2019.00057002,-2019.00057002,2019.00057002
MW,@MWU6,495.0,8.775,0.0127877237852,1.0,-1.0,-1.0,-1.0,1.0,-4.0,2016-08-01,438.75,5.0,24750.0,495.0,1.0,grain,1.0,-4.0,-1.0,1.0,8.0,-1.0,1.0,5.0,-1.0,2.0,5.0,-1.0,2.0,5.0,-1.0,2.0,5.0,-1.0,1,1,-1,1,1.0,-1,1,1,1,1,-1,-1,316.496163683,1582.48081841,-1582.48081841,1582.48081841,1582.48081841,-1582.48081841,-1582.48081841,-1582.48081841,-1582.48081841,-1582.48081841,1582.48081841,1582.48081841,1582.48081841,-1582.48081841,1582.48081841,-1582.48081841,1582.48081841,1582.48081841,1582.48081841,1582.48081841,-1582.48081841
NE,@NEU6,0.7131,0.008185,-0.00446740192657,-1.0,1.0,1.0,1.0,-1.0,-11.0,2016-07-21,818.5,3.0,71310.0,0.7131,1.0,currency,-1.0,-11.0,1.0,-1.0,-10.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,1,-1,1.0,-1,-1,1,-1,-1,-1,-1,-318.570431384,955.711294151,-955.711294151,955.711294151,-955.711294151,955.711294151,955.711294151,-955.711294151,-955.711294151,-955.711294151,955.711294151,955.711294151,955.711294151,-955.711294151,-955.711294151,955.711294151,955.711294151,-955.711294151,955.711294151,955.711294151,955.711294151
NG,QNGU6,2.772,0.09205,-0.0218772053634,-1.0,1.0,1.0,1.0,-1.0,-3.0,2016-07-29,920.5,3.0,27720.0,2.772,1.0,energy,-1.0,-3.0,-1.0,-1.0,-2.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,1,1,1.0,-1,1,1,-1,1,-1,-1,-606.436132675,1819.30839802,1819.30839802,-1819.30839802,-1819.30839802,1819.30839802,1819.30839802,-1819.30839802,-1819.30839802,-1819.30839802,1819.30839802,1819.30839802,1819.30839802,-1819.30839802,-1819.30839802,1819.30839802,-1819.30839802,-1819.30839802,1819.30839802,-1819.30839802,1819.30839802
NIY,@NKDU6,16410.0,337.5,0.0117139334155,1.0,-1.0,1.0,-1.0,-1.0,12.0,2016-07-20,1657.66208251,2.0,80599.2141454,16410.0,1.0,index,-1.0,12.0,1.0,-1.0,11.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1,1,1,-1,-1.0,1,-1,-1,-1,-1,1,-1,944.133827844,1888.26765569,1888.26765569,-1888.26765569,1888.26765569,-1888.26765569,1888.26765569,-1888.26765569,1888.26765569,-1888.26765569,1888.26765569,1888.26765569,-1888.26765569,1888.26765569,-1888.26765569,1888.26765569,-1888.26765569,-1888.26765569,-1888.26765569,-1888.26765569,1888.26765569
NQ,@NQU6,4783.0,40.35,0.00827404479578,1.0,1.0,1.0,1.0,-1.0,-13.0,2016-07-19,807.0,3.0,95660.0,4783.0,1.0,index,-1.0,-13.0,1.0,-1.0,-12.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,1,-1,1.0,-1,-1,1,-1,-1,-1,-1,791.495125165,2374.48537549,2374.48537549,-2374.48537549,2374.48537549,-2374.48537549,-2374.48537549,2374.48537549,2374.48537549,2374.48537549,-2374.48537549,-2374.48537549,-2374.48537549,2374.48537549,2374.48537549,-2374.48537549,-2374.48537549,2374.48537549,-2374.48537549,-2374.48537549,-2374.48537549
O,@OZ6,184.25,5.2375,-0.00807537012113,-1.0,1.0,1.0,-1.0,1.0,3.0,2016-07-21,261.875,8.0,9212.5,184.25,1.0,grain,1.0,3.0,-1.0,1.0,2.0,-1.0,1.0,8.0,-1.0,1.0,8.0,1.0,1.0,8.0,1.0,2.0,8.0,-1.0,1,-1,-1,1,1.0,-1,1,1,1,1,-1,-1,-74.3943472409,595.154777927,595.154777927,-595.154777927,-595.154777927,595.154777927,595.154777927,-595.154777927,-595.154777927,595.154777927,-595.154777927,595.154777927,-595.154777927,595.154777927,-595.154777927,595.154777927,-595.154777927,-595.154777927,-595.154777927,-595.154777927,595.154777927
OJ,@OJU6,183.4,6.2175,0.0471024835855,1.0,1.0,1.0,1.0,-1.0,-3.0,2016-08-01,932.625,3.0,27510.0,183.4,1.0,soft,-1.0,-3.0,1.0,-1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1,1,-1,-1.0,1,-1,-1,-1,-1,1,-1,1295.78932344,3887.36797031,3887.36797031,-3887.36797031,3887.36797031,-3887.36797031,3887.36797031,3887.36797031,3887.36797031,3887.36797031,-3887.36797031,-3887.36797031,-3887.36797031,3887.36797031,-3887.36797031,3887.36797031,-3887.36797031,-3887.36797031,-3887.36797031,-3887.36797031,3887.36797031
PA,QPAU6,696.3,16.3175,-0.0137393767705,-1.0,-1.0,-1.0,-1.0,-1.0,-4.0,2016-08-01,1631.75,2.0,69630.0,696.3,1.0,metal,-1.0,-4.0,-1.0,-1.0,-3.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,1,1,1,1,1.0,-1,1,1,1,1,-1,-1,-956.672804533,1913.34560907,1913.34560907,-1913.34560907,-1913.34560907,1913.34560907,1913.34560907,1913.34560907,1913.34560907,1913.34560907,-1913.34560907,-1913.34560907,1913.34560907,-1913.34560907,-1913.34560907,1913.34560907,-1913.34560907,-1913.34560907,-1913.34560907,-1913.34560907,1913.34560907
PL,QPLV6,1151.5,23.07,-0.0115879828326,-1.0,-1.0,-1.0,1.0,-1.0,-16.0,2016-07-14,1153.5,2.0,57575.0,1151.5,-1.0,metal,-1.0,-16.0,-1.0,-1.0,-15.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,-1,1,1,1,1.0,-1,1,1,1,1,-1,1,-667.178111588,1334.35622318,1334.35622318,-1334.35622318,1334.35622318,-1334.35622318,1334.35622318,1334.35622318,1334.35622318,-1334.35622318,1334.35622318,-1334.35622318,1334.35622318,-1334.35622318,-1334.35622318,1334.35622318,-1334.35622318,-1334.35622318,-1334.35622318,-1334.35622318,1334.35622318
RB,QRBU6,1.3763,0.043175612,0.00606725146199,1.0,1.0,1.0,1.0,-1.0,6.0,2016-07-28,1813.375704,2.0,57804.6,1.3763,1.0,energy,-1.0,6.0,1.0,-1.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,-1,-1,1,-1,-1.0,1,-1,-1,-1,-1,1,-1,350.71504386,701.430087719,701.430087719,-701.430087719,701.430087719,-701.430087719,701.430087719,701.430087719,701.430087719,701.430087719,-701.430087719,-701.430087719,-701.430087719,701.430087719,-701.430087719,701.430087719,-701.430087719,-701.430087719,-701.430087719,-701.430087719,701.430087719
RR,@RRU6,9.305,0.21375,-0.00214477211796,-1.0,-1.0,1.0,-1.0,1.0,4.0,2016-08-01,427.5,5.0,18610.0,9.305,1.0,grain,1.0,4.0,-1.0,1.0,3.0,-1.0,1.0,5.0,-1.0,1.0,5.0,1.0,2.0,5.0,-1.0,2.0,5.0,-1.0,1,1,-1,1,1.0,-1,1,1,1,1,-1,-1,-39.9142091153,199.571045576,199.571045576,-199.571045576,-199.571045576,199.571045576,199.571045576,199.571045576,-199.571045576,199.571045576,-199.571045576,-199.571045576,-199.571045576,199.571045576,-199.571045576,199.571045576,-199.571045576,-199.571045576,-199.571045576,-199.571045576,199.571045576
RS,@RSX6,449.8,8.81,0.00648914746028,1.0,1.0,1.0,1.0,1.0,-8.0,2016-07-27,133.707694643,15.0,6826.52906359,449.8,1.0,grain,1.0,-8.0,1.0,1.0,-7.0,1.0,1.0,15.0,1.0,1.0,15.0,1.0,2.0,15.0,1.0,2.0,15.0,1.0,-1,-1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,44.2983537355,664.475306033,664.475306033,-664.475306033,664.475306033,-664.475306033,664.475306033,664.475306033,664.475306033,664.475306033,-664.475306033,-664.475306033,664.475306033,-664.475306033,-664.475306033,664.475306033,-664.475306033,-664.475306033,-664.475306033,-664.475306033,664.475306033
S,@SX6,974.5,31.5,0.0185523909067,1.0,-1.0,-1.0,-1.0,-1.0,-3.0,2016-07-29,1575.0,2.0,48725.0,974.5,1.0,grain,-1.0,-3.0,1.0,-1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1,1,1,-1,-1.0,1,-1,-1,-1,-1,1,-1,903.96524693,1807.93049386,1807.93049386,-1807.93049386,1807.93049386,-1807.93049386,1807.93049386,-1807.93049386,-1807.93049386,-1807.93049386,1807.93049386,1807.93049386,-1807.93049386,1807.93049386,-1807.93049386,1807.93049386,-1807.93049386,-1807.93049386,-1807.93049386,-1807.93049386,1807.93049386
SB,@SBV6,20.35,0.5915,0.0329949238579,1.0,1.0,-1.0,1.0,-1.0,-6.0,2016-07-28,662.48,4.0,22792.0,20.35,1.0,soft,-1.0,-6.0,1.0,-1.0,-5.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,1,-1,1.0,-1,-1,-1,-1,-1,-1,-1,752.020304569,3008.08121827,3008.08121827,-3008.08121827,3008.08121827,-3008.08121827,-3008.08121827,3008.08121827,-3008.08121827,3008.08121827,-3008.08121827,-3008.08121827,-3008.08121827,3008.08121827,3008.08121827,-3008.08121827,-3008.08121827,-3008.08121827,-3008.08121827,-3008.08121827,-3008.08121827
SF,@SFU6,1.023,0.007765,-0.00612066452929,-1.0,1.0,-1.0,1.0,1.0,-3.0,2016-07-26,970.625,3.0,127875.0,1.023,1.0,currency,1.0,-3.0,-1.0,1.0,-2.0,-1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-1,-782.679976683,2348.03993005,2348.03993005,-2348.03993005,-2348.03993005,2348.03993005,2348.03993005,-2348.03993005,2348.03993005,-2348.03993005,2348.03993005,2348.03993005,-2348.03993005,2348.03993005,2348.03993005,-2348.03993005,2348.03993005,2348.03993005,-2348.03993005,2348.03993005,2348.03993005
SI,QSIU6,1981.7,48.1,-0.0306217287091,-1.0,1.0,-1.0,1.0,-1.0,12.0,2016-07-20,2405.0,1.0,99085.0,1981.7,-1.0,metal,-1.0,12.0,-1.0,-1.0,-2.0,-1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,-1,1,1,1.0,-1,1,1,-1,1,-1,1,-3034.15398914,3034.15398914,3034.15398914,-3034.15398914,3034.15398914,-3034.15398914,3034.15398914,-3034.15398914,3034.15398914,-3034.15398914,3034.15398914,3034.15398914,3034.15398914,-3034.15398914,-3034.15398914,3034.15398914,-3034.15398914,-3034.15398914,3034.15398914,-3034.15398914,3034.15398914
SIN,INQ6,8702.5,83.1649661345,0.0114481636448,1.0,1.0,-1.0,1.0,1.0,-11.0,2016-07-21,166.329932269,13.0,17405.0,8702.5,1.0,index,1.0,-11.0,1.0,1.0,-10.0,1.0,1.0,13.0,1.0,1.0,13.0,-1.0,2.0,13.0,1.0,2.0,13.0,1.0,-1,-1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,199.255288238,2590.31874709,2590.31874709,-2590.31874709,2590.31874709,-2590.31874709,2590.31874709,2590.31874709,-2590.31874709,2590.31874709,-2590.31874709,-2590.31874709,2590.31874709,-2590.31874709,-2590.31874709,2590.31874709,-2590.31874709,-2590.31874709,-2590.31874709,-2590.31874709,2590.31874709
SJB,BBU6,151.66,0.471,0.0015849953771,1.0,-1.0,1.0,-1.0,1.0,-7.0,2016-07-27,462.671905697,5.0,148978.388998,151.66,-1.0,rates,1.0,-7.0,-1.0,1.0,-6.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,2.0,5.0,-1.0,2.0,5.0,-1.0,1,1,-1,1,-1.0,1,1,1,1,1,1,1,236.130057849,1180.65028925,-1180.65028925,1180.65028925,-1180.65028925,1180.65028925,1180.65028925,-1180.65028925,1180.65028925,-1180.65028925,1180.65028925,1180.65028925,1180.65028925,-1180.65028925,-1180.65028925,1180.65028925,1180.65028925,1180.65028925,1180.65028925,1180.65028925,1180.65028925
SM,@SMZ6,331.4,11.745,0.0228395061728,1.0,1.0,1.0,-1.0,1.0,5.0,2016-07-29,1174.5,2.0,33140.0,331.4,1.0,grain,1.0,5.0,-1.0,1.0,4.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,1,-1,-1,1,1.0,-1,1,1,1,1,-1,-1,756.901234568,1513.80246914,-1513.80246914,1513.80246914,1513.80246914,-1513.80246914,-1513.80246914,1513.80246914,1513.80246914,-1513.80246914,1513.80246914,-1513.80246914,1513.80246914,-1513.80246914,1513.80246914,-1513.80246914,1513.80246914,1513.80246914,1513.80246914,1513.80246914,-1513.80246914
SMI,SWU6,8194.0,85.35,0.0147368421053,1.0,1.0,-1.0,1.0,-1.0,-7.0,2016-07-26,870.296726828,3.0,83552.5644947,8194.0,1.0,index,-1.0,-7.0,1.0,-1.0,-6.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,1,-1,1.0,-1,-1,-1,-1,-1,-1,-1,1231.30095045,3693.90285135,3693.90285135,-3693.90285135,3693.90285135,-3693.90285135,-3693.90285135,3693.90285135,-3693.90285135,3693.90285135,-3693.90285135,-3693.90285135,-3693.90285135,3693.90285135,3693.90285135,-3693.90285135,-3693.90285135,-3693.90285135,-3693.90285135,-3693.90285135,-3693.90285135
SSG,SSQ6,310.55,3.7501372825,-0.000804375804376,-1.0,1.0,1.0,1.0,-1.0,11.0,2016-07-21,559.721982463,4.0,46350.7462687,310.55,1.0,index,-1.0,11.0,1.0,-1.0,10.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,1,-1,-1.0,1,-1,-1,-1,-1,1,-1,-37.2834188133,149.133675253,-149.133675253,149.133675253,-149.133675253,149.133675253,-149.133675253,-149.133675253,-149.133675253,-149.133675253,149.133675253,149.133675253,149.133675253,-149.133675253,149.133675253,-149.133675253,149.133675253,149.133675253,149.133675253,149.133675253,-149.133675253
STW,TWQ6,338.3,3.945350329,0.00985074626866,1.0,-1.0,-1.0,1.0,-1.0,-16.0,2016-07-14,394.5350329,6.0,33830.0,338.3,1.0,index,-1.0,-16.0,1.0,-1.0,-15.0,-1.0,1.0,6.0,-1.0,1.0,6.0,-1.0,1.0,6.0,-1.0,1.0,6.0,1.0,-1,1,1,-1,1.0,-1,-1,-1,-1,-1,-1,-1,333.250746269,1999.50447761,1999.50447761,-1999.50447761,1999.50447761,-1999.50447761,-1999.50447761,-1999.50447761,-1999.50447761,1999.50447761,-1999.50447761,1999.50447761,-1999.50447761,1999.50447761,1999.50447761,-1999.50447761,-1999.50447761,-1999.50447761,-1999.50447761,-1999.50447761,-1999.50447761
SXE,EXU6,2970.0,42.75,0.0153846153846,1.0,1.0,1.0,-1.0,-1.0,6.0,2016-07-28,473.9265,5.0,32925.42,2970.0,1.0,index,-1.0,6.0,1.0,-1.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,-1.0,1,-1,1,-1,-1.0,1,-1,-1,-1,-1,1,-1,506.544923077,2532.72461538,2532.72461538,-2532.72461538,2532.72461538,-2532.72461538,2532.72461538,2532.72461538,2532.72461538,-2532.72461538,2532.72461538,-2532.72461538,-2532.72461538,2532.72461538,-2532.72461538,2532.72461538,-2532.72461538,-2532.72461538,-2532.72461538,-2532.72461538,2532.72461538
TF,@TFSU6,1228.4,13.815,0.0147872779843,1.0,1.0,-1.0,1.0,1.0,-22.0,2016-07-06,1381.5,2.0,122840.0,1228.4,1.0,index,1.0,-22.0,-1.0,1.0,-21.0,-1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,-1,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-1,1816.46922759,3632.93845518,-3632.93845518,3632.93845518,3632.93845518,-3632.93845518,-3632.93845518,3632.93845518,-3632.93845518,3632.93845518,-3632.93845518,-3632.93845518,3632.93845518,-3632.93845518,-3632.93845518,3632.93845518,-3632.93845518,-3632.93845518,3632.93845518,-3632.93845518,-3632.93845518
TU,@TUU6,109.359375,0.0953125,-0.00142673705236,-1.0,1.0,-1.0,1.0,1.0,-1.0,2016-07-25,190.625,11.0,218718.75,109.359375,-1.0,rates,1.0,-1.0,1.0,1.0,8.0,-1.0,1.0,11.0,-1.0,1.0,11.0,-1.0,2.0,11.0,1.0,2.0,11.0,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1,-1,-1,1,-312.054144671,3432.59559138,-3432.59559138,3432.59559138,3432.59559138,-3432.59559138,3432.59559138,-3432.59559138,3432.59559138,-3432.59559138,3432.59559138,3432.59559138,-3432.59559138,3432.59559138,-3432.59559138,3432.59559138,3432.59559138,3432.59559138,3432.59559138,3432.59559138,3432.59559138
TY,@TYU6,132.140625,0.59375,-0.00611117640146,-1.0,1.0,1.0,1.0,1.0,-5.0,2016-07-29,593.75,4.0,132140.625,132.140625,-1.0,rates,1.0,-5.0,1.0,1.0,14.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,-1,1.0,-1,-1,1,-1,-1,-1,1,-807.534669174,3230.1386767,-3230.1386767,3230.1386767,3230.1386767,-3230.1386767,3230.1386767,-3230.1386767,-3230.1386767,-3230.1386767,3230.1386767,3230.1386767,-3230.1386767,3230.1386767,-3230.1386767,3230.1386767,3230.1386767,-3230.1386767,3230.1386767,3230.1386767,3230.1386767
US,@USU6,171.5625,1.7921875,-0.00920411478073,-1.0,-1.0,1.0,-1.0,1.0,-5.0,2016-07-29,1792.1875,2.0,171562.5,171.5625,-1.0,rates,1.0,-5.0,1.0,1.0,-4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,-1,-1,-1.0,1,-1,-1,1,-1,1,1,-1579.08094207,3158.16188414,-3158.16188414,3158.16188414,3158.16188414,-3158.16188414,-3158.16188414,3158.16188414,-3158.16188414,3158.16188414,-3158.16188414,-3158.16188414,-3158.16188414,3158.16188414,3158.16188414,-3158.16188414,3158.16188414,3158.16188414,-3158.16188414,3158.16188414,-3158.16188414
VX,@VXQ6,12.875,0.6825,-0.0409683426443,-1.0,-1.0,1.0,-1.0,1.0,-10.0,2016-07-22,682.5,3.0,12875.0,12.875,-1.0,index,1.0,-10.0,-1.0,1.0,-9.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,-1,1,-1.0,1,1,1,1,1,1,1,-527.467411546,1582.40223464,1582.40223464,-1582.40223464,1582.40223464,-1582.40223464,-1582.40223464,1582.40223464,-1582.40223464,1582.40223464,-1582.40223464,-1582.40223464,-1582.40223464,1582.40223464,1582.40223464,-1582.40223464,-1582.40223464,-1582.40223464,-1582.40223464,-1582.40223464,-1582.40223464
W,@WU6,416.0,12.9375,0.0316181029138,1.0,1.0,-1.0,1.0,1.0,3.0,2016-07-29,646.875,4.0,20800.0,416.0,1.0,grain,1.0,3.0,-1.0,1.0,-4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-1,657.656540608,2630.62616243,-2630.62616243,2630.62616243,2630.62616243,-2630.62616243,-2630.62616243,2630.62616243,-2630.62616243,2630.62616243,-2630.62616243,-2630.62616243,2630.62616243,-2630.62616243,-2630.62616243,2630.62616243,-2630.62616243,-2630.62616243,2630.62616243,-2630.62616243,-2630.62616243
YA,APU6,5458.0,48.25,0.00423183072677,1.0,1.0,1.0,1.0,-1.0,4.0,2016-08-01,918.92125,3.0,103947.61,5458.0,1.0,index,-1.0,4.0,1.0,-1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,1,-1,-1.0,1,-1,-1,-1,-1,1,-1,439.888689972,1319.66606992,1319.66606992,-1319.66606992,1319.66606992,-1319.66606992,1319.66606992,1319.66606992,1319.66606992,1319.66606992,-1319.66606992,-1319.66606992,-1319.66606992,1319.66606992,-1319.66606992,1319.66606992,-1319.66606992,-1319.66606992,-1319.66606992,-1319.66606992,1319.66606992
