dates,dpsNetEquity,netEquity,CAR25,dd95,ddTol,dpsCommission,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.0_system,RS_netEquity,safef,cycleTime,timestamp,v4.3_system,v4.5_system
2016-04-28 03:00:00,99941.12,99941.12,-0.198827320681,0.0,0.00493435163795,0.0,-56.88,both_finalBest DPS wl28.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-56.88,0.0,1.0,sellHold,-1.0,sellHold,99941.12,1.0,-2.89646666667,20160428 02:57:06 EDT,,
2016-04-28 09:00:00,99898.75,99898.75,-0.188244377047,0.0,0.00348911350395,0.0,-99.25,both_finalBest DPS wl14.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-99.25,0.0,1.0,sellHold,-1.0,sellHold,99898.75,1.0,-25.8184166667,20160428 08:34:10 EDT,,
2016-04-28 23:30:00,99976.29,99976.29,-0.00399996,0.0,0.00406469422349,0.0,-21.71,both_best_wf_is_pv3s_v2v DPS wl19.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-21.71,0.0,1.0,sellHold,-1.0,,99976.29,1.0,-11.2068833333,20160428 23:18:47 EDT,sellHold,
2016-04-29 09:00:00,100044.22,100088.44,-0.0069998775,0.0,0.00395628284037,0.0,46.22,both_best_wf_is_pv3s_v2v DPS wl18.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,92.44,0.0,2.0,sellHold,-1.0,,100088.44,2.0,-27.2356833333,20160429 08:32:45 EDT,sellHold,
2016-04-29 17:00:00,100042.55,100085.09,0.0,0.0,0.00502169207582,0.0,44.55,both_sellHold DPS wl29.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,89.09,0.0,2.0,sellHold,-1.0,,,2.0,0.62,20160501 06:56:10 EDT,sellHold,
2016-04-29 17:00:00,100042.55,100085.09,0.0,0.0,0.00502169207582,0.0,44.55,both_sellHold DPS wl29.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,89.09,0.0,2.0,sellHold,-1.0,,,2.0,0.52,20160501 07:32:54 EDT,sellHold,
2016-05-02 08:00:00,99854.45,99854.45,-0.499244054565,0.0,0.00246717581898,0.0,-143.55,both_sellHold DPS wl7.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,-143.55,0.0,1.0,sellHold,-1.0,,,1.0,-18.0857333333,20160502 07:41:54 EDT,sellHold,
2016-05-02 08:30:00,100069.67,100139.34,0.0,0.0,0.00323029141235,0.0,71.67,both_sellHold DPS wl12.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,143.34,0.0,2.0,sellHold,-1.0,,,2.0,-0.5314,20160502 08:29:28 EDT,sellHold,
2016-05-02 09:30:00,100010.3,100020.6,0.0,0.0,0.00336219390073,0.0,12.3,both_sellHold DPS wl13.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,24.6,0.0,2.0,sellHold,-1.0,,,2.0,-17.1042,20160502 09:12:53 EDT,sellHold,
2016-05-02 10:30:00,100245.38,100494.76,0.432897339032,0.0,0.00263752189358,2.00494766996,247.38,both_sellHold DPS wl8.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_short,498.76,0.0,2.0,sellHold,-1.0,,,2.0,-24.8962666667,20160502 10:05:06 EDT,sellHold,
2016-05-02 19:00:00,100032.84,100065.69,0.0,0.0,0.00427327386967,0.0,34.84,both_buyHold DPS wl21.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,69.69,0.0,2.0,buyHold,1.0,,,2.0,-24.1577833333,20160502 18:35:50 EDT,buyHold,
2016-05-02 20:00:00,99954.98,99909.96,-0.0756888623353,0.0,0.00228416096288,0.0,-43.02,both_buyHold DPS wl6.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,-86.04,0.0,2.0,buyHold,1.0,,,2.0,-15.5696166667,20160502 19:44:25 EDT,buyHold,
2016-05-03 01:30:00,98120.56,96241.19,-0.538142427715,0.0,0.00263752189358,0.0,-1877.44,both_buyHold DPS wl8.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_short,-3754.81,0.0,2.0,buyHold,1.0,,,2.0,-25.0388333333,20160503 01:04:57 EDT,buyHold,
2016-05-03 03:00:00,99985.54,99971.08,-0.028029246534,0.0,0.00493435163795,0.0,-12.46,both_sellHold DPS wl28.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-24.92,0.0,2.0,sellHold,-1.0,,,2.0,95.7417333333,20160503 04:35:44 EDT,sellHold,
