dates,signals,safef
2016-03-22 09:07:00,-1,1
2016-03-22 09:07:00,-1,1
2016-03-22 09:10:00,-1,1
2016-03-22 09:12:00,-1,1
2016-03-22 09:12:00,-1,1
2016-03-22 09:16:00,-1,1
2016-03-22 09:16:00,-1,1
2016-03-22 09:16:00,-1,1
2016-03-22 09:16:00,-1,1
2016-03-22 09:28:00,1,1
2016-03-22 09:28:00,1,1
2016-03-22 09:28:00,1,1
2016-03-22 09:32:00,1,1
2016-03-22 09:32:00,1,1
2016-03-22 09:35:00,1,1
2016-03-22 09:36:00,1,1
2016-03-22 09:36:00,1,1
2016-03-22 09:36:00,1,1
2016-03-22 09:40:00,1,1
2016-03-22 09:40:00,1,1
2016-03-22 09:43:00,1,1
2016-03-22 09:43:00,1,1
2016-03-22 09:43:00,1,1
2016-03-22 09:48:00,1,1
2016-03-22 09:48:00,1,1
2016-03-22 09:48:00,1,1
2016-03-22 09:48:00,1,1
2016-03-22 09:53:00,1,1
2016-03-22 09:54:00,1,1
2016-03-22 09:57:00,1,1
2016-03-22 09:58:00,1,1
2016-03-22 09:58:00,1,1
2016-03-22 09:58:00,1,1
2016-03-22 10:02:00,1,1
2016-03-22 10:03:00,1,1
2016-03-22 10:05:00,1,1
2016-03-22 10:05:00,1,1
2016-03-22 10:05:00,1,1
2016-03-22 10:09:00,1,1
2016-03-22 10:09:00,1,1
2016-03-22 10:12:00,1,1
2016-03-22 10:14:00,1,1
2016-03-22 10:15:00,1,1
2016-03-22 10:16:00,1,1
2016-03-22 10:18:00,1,1
2016-03-22 10:18:00,1,1
2016-03-22 10:20:00,1,1
2016-03-22 10:20:00,1,1
2016-03-22 10:20:00,1,1
2016-03-22 10:20:00,1,1
2016-03-22 10:27:00,1,1
2016-03-22 10:27:00,1,1
2016-03-22 10:30:00,1,1
2016-03-22 10:32:00,1,1
2016-03-22 10:33:00,1,1
2016-03-22 10:33:00,1,1
2016-03-22 10:33:00,1,1
2016-03-22 10:33:00,1,1
2016-03-22 10:39:00,1,1
2016-03-22 10:40:00,1,1
2016-03-22 10:41:00,1,1
2016-03-22 10:41:00,1,1
2016-03-22 10:44:00,1,1
2016-03-22 10:46:00,1,1
2016-03-22 10:46:00,1,1
2016-03-22 10:46:00,1,1
2016-03-22 10:51:00,1,1
2016-03-22 10:52:00,1,1
2016-03-22 10:54:00,1,1
2016-03-22 10:55:00,1,1
2016-03-22 10:55:00,1,1
2016-03-22 10:55:00,1,1
2016-03-22 11:00:00,1,1
2016-03-22 11:00:00,1,1
2016-03-22 11:02:00,1,1
2016-03-22 11:03:00,1,1
2016-03-22 11:05:00,1,1
2016-03-22 11:06:00,1,1
2016-03-22 11:08:00,1,1
2016-03-22 11:08:00,1,1
2016-03-22 11:08:00,1,1
2016-03-22 11:12:00,1,1
2016-03-22 11:14:00,1,1
