dates,dpsNetEquity,netEquity,CAR25,dd95,ddTol,dpsCommission,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.3_system,safef,cycleTime,timestamp,RS_netEquity,v4.4_system,mrThreshold
2016-06-22 00:00:00,102364.33,101542.9,0.0188345362718,0.00246042306503,0.00279751442472,8.18980194324,634.25,both_gainAhead_VotingSoft DPS wl9.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,315.57,4.06187858662,1.0,gainAhead_VotingSoft,-1.0,,1.0,1255.10658333,20160622 20:55:06 EDT,,gainAhead_VotingSoft_f92_is18,
2016-06-22 00:00:00,101404.15,100921.36,0.0154323507559,0.00246040952444,0.00279751442472,8.11298064706,628.31,both_gainAhead_VotingSoft DPS wl9.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,313.64,4.03701592759,1.0,gainAhead_VotingSoft,-1.0,,1.0,1661.73306667,20160623 03:41:43 EDT,,gainAhead_VotingSoft_f92_is18,
2016-06-23 00:00:00,101361.57,100849.94,0.00516899553287,0.0027803114235,0.00246717581898,8.10957465166,-143.66,both_gainAhead_VotingSoft DPS wl7.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,-71.42,4.03415905654,1.0,gainAhead_VotingSoft,1.0,,1.0,1255.96316667,20160623 20:55:57 EDT,,gainAhead_VotingSoft_f92_is18,
2016-06-24 00:00:00,101080.7,101179.72,-0.00405613293097,0.0,0.00263752189358,0.0,1471.68,both_zigZag_PCA10_VotingSoft DPS wl8.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,1473.12,0.0,1.0,zigZag_PCA10_VotingSoft,-1.0,,1.0,1266.6844,20160624 21:06:41 EDT,,zigZag_PCA10_f10_is27,
2016-06-27 00:00:00,102428.22,101855.17,0.00611908788197,0.0,0.00114208048144,0.0,1349.54,both_zigZag_PCA10_VotingSoft DPS wl1.5 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,675.45,0.0,1.0,zigZag_PCA10_VotingSoft,-1.0,,1.0,1259.0163,20160627 20:59:00 EDT,,zigZag_PCA10_f10_is27,
2016-06-27 00:00:00,101753.45,101855.17,0.00611908788197,0.0,0.00114208048144,2.0351096817,672.75,both_zigZag_PCA10_VotingSoft DPS wl1.5 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,675.45,0.0,1.0,zigZag_PCA10_VotingSoft,-1.0,,1.0,1632.60573333,20160628 03:12:36 EDT,,zigZag_PCA10_f10_is27,
2016-06-28 00:00:00,103366.01,102321.44,0.0187210512412,7.99989200144e-05,0.00131876094679,0.0,937.79,both_zigZag_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,466.27,0.0,1.0,zigZag_VotingSoft,-1.0,,1.0,1256.95211667,20160628 20:56:57 EDT,,zigZag_VotingSoft_f97_is27,
2016-06-28 00:00:00,97112.01,97110.06,-0.0195116587356,0.0,0.00131876094679,0.0,-446.6,both_zigZag_PCA10_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-446.59,0.0,1.0,zigZag_PCA10_VotingSoft,1.0,,1.0,1343.45688333,20160628 22:23:27 EDT,,zigZag_PCA10_f10_is27,
2016-06-29 00:00:00,97155.58,97153.64,-0.0213014958089,0.0,0.00161514570617,0.0,-257.35,both_zigZag_GNBayes DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,-257.35,0.0,1.0,zigZag_GNBayes,-1.0,,1.0,1439.38625,20160629 23:59:23 EDT,,zigZag_GNBayes_f86_is4,
2016-06-29 00:00:00,103221.37,102349.37,-0.0148560517034,0.0,0.00161514570617,2.06446870614,-550.37,both_sellHold DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,-271.11,0.0,1.0,sellHold,-1.0,,1.0,1521.63235,20160630 01:21:37 EDT,,sellHold,
