dates,dpsNetEquity,netEquity,CAR25,dd95,ddTol,dpsCommission,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.3_system,RS_netEquity,safef,cycleTime,timestamp,v4.4_system,mrThreshold
2016-06-27 00:00:00,113435.93,109920.34,0.0112551153236,0.0,0.00114208048144,0.0,2710.45,both_zigZag_VotingSoft DPS wl1.5 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,1329.1,0.0,1.0,zigZag_VotingSoft,-1.0,,,1.0,1607.31585,20160628 02:47:18 EDT,zigZag_VotingSoft_f100_is33,
2016-06-28 00:00:00,111914.12,109184.1,-0.00577879240645,0.0,0.00131876094679,2.2383271921,-1521.81,both_zigZag_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,-736.24,0.0,1.0,zigZag_VotingSoft,-1.0,,,1.0,1224.39696667,20160628 20:24:23 EDT,zigZag_VotingSoft_f93_is39,
2016-06-28 00:00:00,111914.12,109184.1,-0.00581029081038,0.0,0.00131876094679,2.2383271921,-1521.81,both_zigZag_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,-736.24,0.0,1.0,zigZag_VotingSoft,-1.0,,,1.0,1237.49696667,20160628 20:37:29 EDT,zigZag_VotingSoft_f93_is39,
2016-06-28 00:00:00,89296.37,93206.13,0.0274490348606,9.99960000799e-05,0.00131876094679,5.35810359183,588.8,both_zigZag_PCA10_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,616.43,3.72839434963,1.0,zigZag_PCA10_VotingSoft,-1.0,,,1.0,1325.90496667,20160628 22:05:54 EDT,zigZag_PCA10_f10_is31,
2016-06-29 00:00:00,92278.19,92276.35,-0.0067786541427,0.0,0.00161514570617,3.69127518456,-871.35,both_gainAhead_PCA10_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-871.33,3.69120147758,1.0,gainAhead_PCA10_VotingSoft,1.0,,,1.0,1423.31943333,20160629 23:43:19 EDT,gainAhead_PCA10_f10_is31,
2016-06-29 00:00:00,107164.82,106607.61,0.00683431165041,0.00576963951703,0.00161514570617,2.14333932335,986.87,both_gainAhead_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,983.85,0.0,1.0,gainAhead_VotingSoft,1.0,,,1.0,1507.89693333,20160630 01:07:53 EDT,gainAhead_VotingSoft_f93_is39,
2016-06-30 00:00:00,112166.99,109093.66,0.0771296532064,0.00507493535607,0.00186500961648,8.97407712696,5006.45,both_gainAhead_GNBayes DPS wl4.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_short,2490.31,4.36392091958,1.0,gainAhead_GNBayes,1.0,,,1.0,1255.3077,20160630 20:55:18 EDT,gainAhead_GNBayes_f86_is5,
2016-06-30 00:00:00,90115.14,90113.34,-0.00787230498945,0.0,0.00186500961648,3.60474986117,-2163.05,both_gainAhead_PCA10_VotingSoft DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-2163.01,3.60467798352,1.0,gainAhead_PCA10_VotingSoft,-1.0,,,1.0,1366.67461667,20160630 22:46:40 EDT,gainAhead_PCA10_f10_is20,
2016-06-30 00:00:00,112166.99,109093.66,0.070453554647,0.00604895501475,0.00186500961648,8.97407712696,5006.45,both_gainAhead_GNBayes DPS wl4.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_short,2490.31,4.36392091958,1.0,gainAhead_GNBayes,1.0,,,1.0,,20160630 23:58:18 EDT,gainAhead_GNBayes_f86_is5,1.0
2016-06-30 00:00:00,90115.14,90113.34,-0.00663073188243,0.0,0.00186500961648,3.60474986117,-2163.05,both_gainAhead_PCA10_VotingSoft DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-2163.01,3.60467798352,1.0,gainAhead_PCA10_VotingSoft,-1.0,,,1.0,,20160630 23:58:20 EDT,gainAhead_PCA10_f10_is20,0.5
