PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,trade_id,underlying
9,1457186796,2016-03-03 07:01:10,1457006470,1.40607,,forex,short,,1457073669,closed,2016-03-03 06:17:02,1.40695,10000,,1,1,,GBPUSD,,100964212,
3,1457456519,2016-03-06 23:05:33,1457323533,1.33408,,forex,short,,1457316332,closed,2016-03-06 21:05:26,1.33449,10000,,1,1,,USDCAD,,101008180,
-11,1457456519,2016-03-08 04:04:43,1457427883,0.99093,,forex,long,,1457424626,closed,2016-03-08 03:09:47,0.99204,10000,,1,1,,USDCHF,,101071547,
1,1457456519,2016-03-08 00:39:55,1457415595,1.10195,,forex,short,,1457414104,closed,2016-03-07 22:08:25,1.10201,10000,,2,2,,EURUSD,,101063745,
-3,1457456519,2016-03-08 02:05:12,1457420712,113.041,,forex,short,,1457420749,closed,2016-03-08 01:33:10,113.01100,10000,,1,1,,USDJPY,,101067043,
5,1457456519,2016-03-07 09:05:22,1457359522,1.33668,,forex,long,,1457352322,closed,2016-03-07 07:05:15,1.33596,10000,,1,1,,USDCAD,,101013806,
19,1457456519,2016-03-08 11:01:51,1457452911,1.1051,,forex,long,,1457427930,closed,2016-03-08 04:04:31,1.10317,10000,,1,1,,EURUSD,,101072111,
1,1457456519,2016-03-07 16:05:13,1457384713,1.32823,,forex,long,,1457381135,closed,2016-03-07 15:05:27,1.32814,10000,,1,1,,USDCAD,,101040818,
13,1457186796,2016-03-03 18:01:12,1457046072,1.34152,,forex,long,,1457073669,closed,2016-03-03 16:01:20,1.33978,10000,,1,1,,USDCAD,,100978895,
-7,1457456519,2016-03-07 10:05:17,1457363117,1.00004,,forex,short,,1457341540,closed,2016-03-07 04:05:11,0.99934,10000,,1,1,,USDCHF,,101012529,
-3,1457456519,2016-03-07 07:05:03,1457352303,1.33602,,forex,short,,1457341540,closed,2016-03-07 04:05:33,1.33557,10000,,1,1,,USDCAD,,101012538,
16,1457186796,2016-03-03 15:01:06,1457035266,1.34056,,forex,long,,1457073669,closed,2016-03-03 14:01:04,1.33841,10000,,1,1,,USDCAD,,100976275,
1,1457186796,2016-03-03 06:17:01,1457003821,1.40696,,forex,long,,1457073669,closed,2016-03-03 06:12:43,1.40691,10000,,1,1,,GBPUSD,,100964158,
24,1457442098,,,1.42050,,forex,long,2016-03-08 08:01:38,1457442098,open,2016-03-08 08:01:37,1.42048,10000,,0,1,,GBPUSD,,101074660,
9,1457456519,2016-03-08 10:01:27,1457449287,0.99276,,forex,short,,1457435123,closed,2016-03-08 06:04:44,0.99370,10000,,1,1,,USDCHF,,101073229,
-1,1457327536,2016-03-04 01:01:11,1457071271,1.34171,,forex,long,,1457073669,closed,2016-03-03 23:09:38,1.34187,10000,,1,1,,USDCAD,,100981979,
-84,1457186796,2016-03-03 10:01:11,1457017271,113.52800,,forex,long,,1457073669,closed,2016-03-03 07:01:14,114.00200,10000,,2,2,,USDJPY,,100964525,
-2,1457456519,2016-03-06 22:04:23,1457319863,1.09902,,forex,short,,1457316332,closed,2016-03-06 21:04:43,1.09884,10000,,1,1,,EURUSD,,101008165,
-30,1457330733,2016-03-04 02:04:47,1457075087,0.99222,,forex,short,,1457073669,closed,2016-03-03 10:01:10,0.99123,10000,,3,3,,USDCHF,,100968853,
5,1457456519,2016-03-08 01:04:33,1457417073,1.42472333333333,,forex,short,,1457414104,closed,2016-03-07 21:08:28,1.42489,10000,,3,3,,GBPUSD,,101063084,
1,1457456519,2016-03-06 23:04:49,1457323489,1.09907,,forex,long,,1457319922,closed,2016-03-06 22:04:34,1.09901,10000,,1,1,,EURUSD,,101008507,
0,1457456519,2016-03-08 12:01:48,1457456508,112.512,,forex,long,,1457452932,closed,2016-03-08 11:02:11,112.51600,10000,,1,1,,USDJPY,,101081253,
6,1457377505,2016-03-04 14:05:33,1457118333,0.99444,,forex,long,,1457114734,closed,2016-03-04 13:05:05,0.99386,10000,,1,1,,USDCHF,,100997471,
-5,1457456519,2016-03-06 21:04:32,1457316272,1.09884,,forex,long,,1457309129,closed,2016-03-06 19:04:43,1.09930,10000,,1,1,,EURUSD,,101007400,
