Date,Close,High,Low,Open,Volume,index
20160323  07:00:00,0.753265,0.755695,0.75289,0.755575,0.0,
20160323  08:00:00,0.753385,0.753655,0.752285,0.753265,0.0,
20160323  09:00:00,0.75418,0.754215,0.752755,0.753385,0.0,
20160323  10:00:00,0.752855,0.754375,0.75249,0.75418,0.0,
20160323  11:00:00,0.752275,0.752885,0.751975,0.752855,0.0,
20160323  12:00:00,0.75318,0.75332,0.75216,0.752275,0.0,
20160323  13:00:00,0.753555,0.753555,0.75269,0.75275,0.0,
20160323  14:00:00,0.753185,0.75374,0.752905,0.753555,0.0,
20160323  15:00:00,0.753345,0.753535,0.75274,0.753185,0.0,
20160323  16:00:00,0.75046,0.75344,0.750045,0.753345,0.0,
20160323  17:00:00,0.75067,0.750955,0.748905,0.75046,0.0,
20160323  18:00:00,0.7508,0.75223,0.750475,0.75067,0.0,
20160323  19:00:00,0.750115,0.75118,0.74991,0.7508,0.0,
20160323  20:00:00,0.74955,0.750755,0.74934,0.750065,0.0,
20160323  21:00:00,0.749525,0.75047,0.749085,0.74955,0.0,
20160323  22:00:00,0.748855,0.750195,0.748755,0.749525,0.0,
20160323  23:00:00,0.74824,0.74909,0.747745,0.748855,0.0,
20160324  00:00:00,0.74919,0.75074,0.74796,0.74824,0.0,
20160324  01:00:00,0.74991,0.75033,0.74833,0.74919,0.0,
20160324  02:00:00,0.750975,0.75215,0.749595,0.74991,0.0,
20160324  03:00:00,0.74975,0.75112,0.74915,0.750975,0.0,
20160324  04:00:00,0.751435,0.75179,0.74975,0.74975,0.0,
20160324  05:00:00,0.75171,0.751845,0.750595,0.751435,0.0,
20160324  06:00:00,0.75192,0.752335,0.75122,0.75171,0.0,
20160324  07:00:00,0.751515,0.75195,0.75062,0.75192,0.0,
20160324  08:00:00,0.752125,0.75285,0.751505,0.751515,0.0,
20160324  09:00:00,0.753235,0.753335,0.751815,0.752125,0.0,
20160324  10:00:00,0.75286,0.75344,0.75285,0.753235,0.0,
20160324  11:00:00,0.75313,0.75339,0.75235,0.75286,0.0,
20160324  12:00:00,0.752715,0.753155,0.75241,0.75313,0.0,
20160324  13:00:00,0.75261,0.752895,0.75238,0.752765,0.0,
20160324  14:00:00,0.75233,0.75306,0.751295,0.75261,0.0,
20160324  15:00:00,0.75259,0.75298,0.75232,0.75233,0.0,
20160324  16:00:00,0.751455,0.75345,0.7513,0.75259,0.0,
20160324  17:00:00,0.75151,0.75211,0.75085,0.751455,0.0,
20160324  18:00:00,0.751705,0.751875,0.75108,0.75151,0.0,
20160324  19:00:00,0.75157,0.75192,0.75148,0.751705,0.0,
20160324  20:00:00,0.75175,0.752315,0.75157,0.75157,0.0,
20160324  21:00:00,0.752595,0.75264,0.75146,0.75175,0.0,
20160324  22:00:00,0.75292,0.752935,0.75206,0.752595,0.0,
20160324  23:00:00,0.75294,0.753545,0.752635,0.75292,0.0,
20160325  00:00:00,0.752975,0.753235,0.752615,0.75294,0.0,
20160325  01:00:00,0.752945,0.753235,0.752735,0.752975,0.0,
20160325  02:00:00,0.75307,0.753075,0.75284,0.752945,0.0,
20160325  03:00:00,0.75248,0.75311,0.751995,0.75307,0.0,
20160325  04:00:00,0.75163,0.75296,0.751575,0.75248,0.0,
20160325  05:00:00,0.752245,0.752375,0.75156,0.75163,0.0,
20160325  06:00:00,0.75148,0.75266,0.751265,0.752245,0.0,
20160325  07:00:00,0.75101,0.75177,0.750835,0.75148,0.0,
20160325  08:00:00,0.75078,0.75174,0.750605,0.75101,0.0,
20160325  09:00:00,0.751065,0.75134,0.750195,0.75078,0.0,
20160325  10:00:00,0.750645,0.751275,0.750575,0.751065,0.0,
20160325  11:00:00,0.75041,0.75066,0.75034,0.750645,0.0,
