,price_diff,profit,total,returns,accuracy,equity
2016-05-26 14:00:00,-3.0,-0.0,18950.0,0.0,0.980947751099,18950.0
2016-05-26 14:30:00,4.25,850.0,19800.0,0.0448548812665,0.980947751099,19800.0
2016-05-26 15:00:00,0.0,0.0,19800.0,0.0,0.980947751099,19800.0
2016-05-26 15:30:00,-4.0,-0.0,19800.0,0.0,0.980947751099,19800.0
2016-05-26 16:00:00,-1.25,-0.0,19800.0,0.0,0.980947751099,19800.0
2016-05-26 16:30:00,-8.75,-1750.0,18050.0,-0.0883838383838,0.977324562693,18050.0
2016-05-26 17:00:00,8.5,1700.0,19750.0,0.0941828254848,0.980934670997,19750.0
2016-05-26 17:30:00,-1.0,-0.0,19750.0,0.0,0.980934670997,19750.0
2016-05-26 18:00:00,6.75,1350.0,21100.0,0.0683544303797,0.980934670997,21100.0
2016-05-26 18:30:00,-3.75,-0.0,21100.0,0.0,0.980934670997,21100.0
2016-05-26 19:00:00,-1.75,-0.0,21100.0,0.0,0.980934670997,21100.0
2016-05-26 19:30:00,-0.25,-0.0,21100.0,0.0,0.980934670997,21100.0
2016-05-26 20:00:00,5.25,1050.0,22150.0,0.0497630331754,0.980934670997,22150.0
2016-05-26 20:30:00,0.75,0.0,22150.0,0.0,0.980934670997,22150.0
2016-05-26 21:00:00,3.5,0.0,22150.0,0.0,0.980934670997,22150.0
2016-05-26 21:30:00,-1.0,-0.0,22150.0,0.0,0.980934670997,22150.0
2016-05-26 22:00:00,2.75,0.0,22150.0,0.0,0.980934670997,22150.0
2016-05-26 22:30:00,-3.25,-0.0,22150.0,0.0,0.980934670997,22150.0
2016-05-26 23:00:00,5.5,0.0,22150.0,0.0,0.980934670997,22150.0
2016-05-26 23:30:00,2.0,0.0,22150.0,0.0,0.980934670997,22150.0
2016-05-27 01:00:00,-0.5,-0.0,22150.0,0.0,0.980934670997,22150.0
2016-05-27 01:30:00,0.5,0.0,22150.0,0.0,0.980934670997,22150.0
2016-05-27 02:00:00,-0.5,-0.0,22150.0,0.0,0.980934670997,22150.0
2016-05-27 02:30:00,1.75,0.0,22150.0,0.0,0.980934670997,22150.0
2016-05-27 03:00:00,1.5,0.0,22150.0,0.0,0.980934670997,22150.0
2016-05-27 03:30:00,3.5,0.0,22150.0,0.0,0.980934670997,22150.0
2016-05-27 04:00:00,-7.5,-0.0,22150.0,0.0,0.980934670997,22150.0
2016-05-27 04:30:00,0.75,150.0,22300.0,0.00677200902935,0.980934670997,22300.0
2016-05-27 05:00:00,0.0,0.0,22300.0,0.0,0.980934670997,22300.0
2016-05-27 05:30:00,-1.5,-0.0,22300.0,0.0,0.980934670997,22300.0
2016-05-27 06:00:00,2.25,450.0,22750.0,0.0201793721973,0.980934670997,22750.0
2016-05-27 06:30:00,1.0,0.0,22750.0,0.0,0.980934670997,22750.0
2016-05-27 07:00:00,0.25,0.0,22750.0,0.0,0.980934670997,22750.0
2016-05-27 07:30:00,-1.5,-300.0,22450.0,-0.0131868131868,0.977645197313,22450.0
2016-05-27 08:00:00,-0.5,-100.0,22350.0,-0.00445434298441,0.977645197313,22350.0
2016-05-27 08:30:00,2.75,0.0,22350.0,0.0,0.980913171169,22350.0
2016-05-27 09:00:00,-3.75,-0.0,22350.0,0.0,0.980913171169,22350.0
2016-05-27 09:30:00,-1.5,-0.0,22350.0,0.0,0.980913171169,22350.0
2016-05-27 10:00:00,0.75,150.0,22500.0,0.00671140939597,0.980913171169,22500.0
2016-05-27 10:30:00,3.75,750.0,23250.0,0.0333333333333,0.980913171169,23250.0
2016-05-27 11:00:00,0.0,0.0,23250.0,0.0,0.980913171169,23250.0
2016-05-27 11:30:00,-0.25,-0.0,23250.0,0.0,0.980913171169,23250.0
2016-05-27 12:00:00,2.25,0.0,23250.0,0.0,0.980913171169,23250.0
2016-05-27 12:30:00,3.0,0.0,23250.0,0.0,0.980913171169,23250.0
2016-05-27 13:00:00,-0.75,-0.0,23250.0,0.0,0.980913171169,23250.0
2016-05-27 13:30:00,-0.25,-0.0,23250.0,0.0,0.980913171169,23250.0
2016-05-27 14:00:00,-1.75,-0.0,23250.0,0.0,0.980913171169,23250.0
2016-05-27 14:30:00,-0.25,-0.0,23250.0,0.0,0.980913171169,23250.0
2016-05-27 15:00:00,-0.25,-0.0,23250.0,0.0,0.980913171169,23250.0
2016-05-27 15:30:00,-4.75,-0.0,23250.0,0.0,0.980913171169,23250.0
2016-05-27 16:00:00,-1.25,-250.0,23000.0,-0.010752688172,0.977797906371,23000.0
2016-05-27 16:30:00,9.0,1800.0,24800.0,0.0782608695652,0.980903496433,24800.0
2016-05-27 17:00:00,1.0,0.0,24800.0,0.0,0.980903496433,24800.0
2016-05-27 17:30:00,1.0,0.0,24800.0,0.0,0.980903496433,24800.0
2016-05-27 18:00:00,4.75,0.0,24800.0,0.0,0.980903496433,24800.0
2016-05-27 18:30:00,2.25,0.0,24800.0,0.0,0.980903496433,24800.0
2016-05-27 19:00:00,-0.25,-0.0,24800.0,0.0,0.980903496433,24800.0
2016-05-27 19:30:00,-0.75,-0.0,24800.0,0.0,0.980903496433,24800.0
2016-05-27 20:00:00,-2.0,-0.0,24800.0,0.0,0.980903496433,24800.0
2016-05-27 20:30:00,-7.75,-0.0,24800.0,0.0,0.980903496433,24800.0
2016-05-27 21:00:00,5.0,1000.0,25800.0,0.0403225806452,0.980903496433,25800.0
2016-05-27 21:30:00,2.0,0.0,25800.0,0.0,0.980903496433,25800.0
2016-05-27 22:00:00,-2.25,-0.0,25800.0,0.0,0.980903496433,25800.0
2016-05-27 22:30:00,6.5,1300.0,27100.0,0.0503875968992,0.980903496433,27100.0
2016-05-27 23:00:00,-0.25,-0.0,27100.0,0.0,0.980903496433,27100.0
2016-05-27 23:30:00,2.0,0.0,27100.0,0.0,0.980903496433,27100.0
2016-05-30 01:00:00,-0.25,-0.0,27100.0,0.0,0.980903496433,27100.0
2016-05-30 01:30:00,0.25,0.0,27100.0,0.0,0.980903496433,27100.0
2016-05-30 02:00:00,-1.0,-0.0,27100.0,0.0,0.980903496433,27100.0
2016-05-30 02:30:00,2.5,0.0,27100.0,0.0,0.980903496433,27100.0
2016-05-30 03:00:00,-1.5,-0.0,27100.0,0.0,0.980903496433,27100.0
2016-05-30 03:30:00,-1.25,-0.0,27100.0,0.0,0.980903496433,27100.0
2016-05-30 04:00:00,-1.75,-0.0,27100.0,0.0,0.980903496433,27100.0
2016-05-30 04:30:00,2.75,0.0,27100.0,0.0,0.980903496433,27100.0
2016-05-30 05:00:00,1.5,0.0,27100.0,0.0,0.980903496433,27100.0
2016-05-30 05:30:00,3.75,750.0,27850.0,0.0276752767528,0.980903496433,27850.0
2016-05-30 06:00:00,1.0,0.0,27850.0,0.0,0.980903496433,27850.0
2016-05-30 06:30:00,-0.75,-0.0,27850.0,0.0,0.980903496433,27850.0
2016-05-30 07:00:00,-0.5,-0.0,27850.0,0.0,0.980903496433,27850.0
2016-05-30 07:30:00,0.0,0.0,27850.0,0.0,0.980903496433,27850.0
2016-05-30 08:00:00,-1.5,-0.0,27850.0,0.0,0.980903496433,27850.0
2016-05-30 08:30:00,-0.25,-0.0,27850.0,0.0,0.980903496433,27850.0
2016-05-30 09:00:00,1.0,0.0,27850.0,0.0,0.980903496433,27850.0
2016-05-30 09:30:00,-3.25,-0.0,27850.0,0.0,0.980903496433,27850.0
2016-05-30 10:00:00,-1.25,-250.0,27600.0,-0.00897666068223,0.978086595025,27600.0
2016-05-30 10:30:00,-0.75,-150.0,27450.0,-0.0054347826087,0.978086595025,27450.0
2016-05-30 11:00:00,-2.0,-0.0,27450.0,0.0,0.980887715473,27450.0
2016-05-30 11:30:00,0.0,0.0,27450.0,0.0,0.978094419384,27450.0
2016-05-30 12:00:00,2.5,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-30 12:30:00,-0.5,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-30 13:00:00,0.5,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-30 13:30:00,0.25,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-30 14:00:00,1.75,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-30 14:30:00,-0.25,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-30 15:00:00,2.25,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-30 15:30:00,-1.25,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-30 16:00:00,-0.5,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-30 16:30:00,-3.0,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-30 17:00:00,1.25,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-30 17:30:00,1.25,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-30 18:00:00,3.25,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-30 18:30:00,0.5,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-30 19:00:00,0.5,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-30 19:30:00,-1.5,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-30 20:00:00,0.25,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 01:00:00,-4.5,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 01:30:00,0.75,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 02:00:00,1.75,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 02:30:00,-0.25,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 03:00:00,-2.5,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 03:30:00,0.5,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 04:00:00,-0.75,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 04:30:00,4.25,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 05:00:00,4.25,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 05:30:00,-0.75,-0.0,27450.0,0.0,0.980879934704,27450.0
