,signals,gainAhead,safef,trade,commission,numBars,equity,maxEquity,drawdown,maxDD
2016-04-07 10:30:00,-1.0,-0.000187929934047,1.0,-188.470136737,0.0,41.0,100100.088011,100372.610974,0.00271511281917,0.00330199226254
2016-04-07 11:00:00,-1.0,-0.000230523430047,1.0,18.8118029381,0.0,42.0,100118.899814,100372.610974,0.0025276931361,0.00330199226254
2016-04-07 11:30:00,-1.0,-9.57779653922e-05,1.0,23.0797521977,0.0,43.0,100141.979566,100372.610974,0.00229775239855,0.00330199226254
2016-04-07 12:00:00,-1.0,-0.000752106430155,1.0,9.59139505322,0.0,44.0,100151.570961,100372.610974,0.0022021945072,0.00330199226254
2016-04-07 12:30:00,-1.0,-0.000394087970376,1.0,75.3246405102,0.0,45.0,100226.895602,100372.610974,0.0014517443617,0.00330199226254
2016-04-07 13:00:00,-1.0,-0.000671279195318,1.0,39.4982138648,0.0,46.0,100266.393816,100372.610974,0.00105822850631,0.00330199226254
2016-04-07 13:30:00,-1.0,-0.000721487899973,1.0,67.3067441581,0.0,47.0,100333.70056,100372.610974,0.000387659677773,0.00330199226254
2016-04-07 14:00:00,-1.0,0.000110257504624,1.0,72.3895509135,0.0,48.0,100406.090111,100406.090111,0.0,0.00330199226254
2016-04-07 14:30:00,-1.0,0.000615240174828,1.0,-11.0705249446,0.0,49.0,100395.019586,100406.090111,0.000110257504624,0.00330199226254
2016-04-07 15:00:00,-1.0,-0.000451372599195,1.0,-61.7670494019,0.0,50.0,100333.252537,100406.090111,0.000725429844605,0.00330199226254
2016-04-07 15:30:00,-1.0,8.88929977207e-05,1.0,45.2876809832,0.0,51.0,100378.540218,100406.090111,0.000274384684564,0.00330199226254
2016-04-07 16:00:00,-1.0,-0.000565309213473,1.0,-8.92294934677,0.0,52.0,100369.617268,100406.090111,0.000363253291408,0.00330199226254
2016-04-07 16:30:00,-1.0,2.49019042842e-05,1.0,56.7398693945,0.0,53.0,100426.357138,100426.357138,0.0,0.00330199226254
2016-04-07 17:00:00,-1.0,4.26879157625e-05,1.0,-2.50080753305,0.0,54.0,100423.85633,100426.357138,2.49019042842e-05,0.00330199226254
2016-04-07 17:30:00,-1.0,7.47006637688e-05,1.0,-4.28688511956,0.0,55.0,100419.569445,100426.357138,6.75887570363e-05,0.00330199226254
2016-04-07 18:00:00,-1.0,-0.000305894153509,1.0,-7.50140849291,0.0,56.0,100412.068036,100426.357138,0.00014228437188,0.00330199226254
2016-04-07 18:30:00,-1.0,0.000167225865216,1.0,30.7154645541,0.0,57.0,100442.783501,100442.783501,0.0,0.00330199226254
2016-04-07 19:00:00,-1.0,-7.82628493369e-05,1.0,-16.7966313756,0.0,58.0,100425.98687,100442.783501,0.000167225865216,0.00330199226254
2016-04-07 19:30:00,-1.0,0.000227691563316,1.0,7.85962387989,0.0,59.0,100433.846493,100442.783501,8.89761034517e-05,0.00330199226254
2016-04-07 20:00:00,-1.0,-0.000337902726697,1.0,-22.8679395179,0.0,60.0,100410.978554,100442.783501,0.00031664740766,0.00330199226254
2016-04-07 20:30:00,-1.0,0.000213484385396,1.0,33.9291434437,0.0,61.0,100444.907697,100444.907697,0.0,0.00330199226254
2016-04-07 21:00:00,-1.0,9.24901551346e-05,1.0,-21.443419386,0.0,62.0,100423.464278,100444.907697,0.000213484385396,0.00330199226254
2016-04-07 21:30:00,-1.0,0.000917702045622,1.0,-9.28818179023,0.0,63.0,100414.176096,100444.907697,0.000305954795327,0.00330199226254
2016-04-07 22:00:00,-1.0,-0.000230992021891,1.0,-92.1502948129,0.0,64.0,100322.025801,100444.907697,0.00122337606561,0.00330199226254
2016-04-07 22:30:00,-1.0,3.55454448515e-06,1.0,23.1735875801,0.0,65.0,100345.199389,100444.907697,0.000992666633827,0.00330199226254
2016-04-07 23:00:00,-1.0,-6.75361051572e-05,1.0,-0.356681475099,0.0,66.0,100344.842708,100444.907697,0.000996217649835,0.00330199226254
2016-04-07 23:30:00,-1.0,-3.91024911843e-05,1.0,6.77689984908,0.0,67.0,100351.619607,100444.907697,0.000928748825337,0.00330199226254
2016-04-08 00:00:00,-1.0,0.00010309241702,1.0,3.92399832102,0.0,68.0,100355.543606,100444.907697,0.000889682650546,0.00330199226254
2016-04-08 00:30:00,-1.0,0.000273699925355,1.0,-10.3458955516,0.0,69.0,100345.19771,100444.907697,0.000992683348031,0.00330199226254
2016-04-08 01:00:00,-1.0,7.46250093281e-05,1.0,-27.464473123,0.0,70.0,100317.733237,100444.907697,0.00126611157603,0.00330199226254
2016-04-08 01:30:00,-1.0,-0.000536549312791,1.0,-7.48621177859,0.0,71.0,100310.247025,100444.907697,0.00134064210177,0.00330199226254
2016-04-08 02:00:00,-1.0,0.000632828137388,1.0,53.8213941072,0.0,72.0,100364.068419,100444.907697,0.000804812109575,0.00330199226254
2016-04-08 02:30:00,-1.0,-0.000255813540353,1.0,-63.5132064785,0.0,73.0,100300.555213,100444.907697,0.00143713093921,0.00330199226254
2016-04-08 03:00:00,-1.0,-0.00127228723839,1.0,25.6582401284,0.0,74.0,100326.213453,100444.907697,0.00118168503641,0.00330199226254
2016-04-08 03:30:00,-1.0,0.00137354327907,1.0,127.643761052,0.0,75.0,100453.857214,100453.857214,0.0,0.00330199226254
2016-04-08 04:00:00,-1.0,0.00374185799418,1.0,-137.977720433,0.0,76.0,100315.879494,100453.857214,0.00137354327907,0.00330199226254
2016-04-08 04:30:00,-1.0,1.77013707943e-05,1.0,-375.367775626,0.0,77.0,99940.511718,100453.857214,0.00511026166935,0.00511026166935
2016-04-08 05:00:00,-1.0,-0.00121075233034,1.0,-1.76908405529,0.0,78.0,99938.7426339,100453.857214,0.00512787258151,0.00512787258151
2016-04-08 05:30:00,-1.0,-0.00223658139774,1.0,121.001065536,0.0,79.0,100059.743699,100453.857214,0.00392332883484,0.00512787258151
2016-04-08 06:00:00,-1.0,0.000326825247961,1.0,223.791761421,0.0,80.0,100283.535461,100453.857214,0.00169552228139,0.00512787258151
2016-04-08 06:30:00,-1.0,-0.000731565265565,1.0,-32.7751913434,0.0,81.0,100250.76027,100453.857214,0.00202179338986,0.00512787258151
2016-04-08 07:00:00,-1.0,-2.84311007812e-05,1.0,73.3399740597,0.0,82.0,100324.100244,100453.857214,0.00129170719811,0.00512787258151
2016-04-08 07:30:00,-1.0,0.000469126500672,1.0,2.85232460481,0.0,83.0,100326.952568,100453.857214,0.00126331282199,0.00512787258151
2016-04-08 08:00:00,-1.0,0.000667836564763,1.0,-47.0660321814,0.0,84.0,100279.886536,100453.857214,0.00173184666914,0.00512787258151
2016-04-08 08:30:00,-1.0,0.00108628511789,1.0,-66.970574939,0.0,85.0,100212.915961,100453.857214,0.00239852664337,0.00512787258151
2016-04-08 09:00:00,-1.0,-0.000539007092198,1.0,-108.859799229,0.0,86.0,100104.056162,100453.857214,0.00348220627747,0.00512787258151
2016-04-08 09:30:00,-1.0,0.00112471970708,1.0,53.9567962291,0.0,87.0,100158.012958,100453.857214,0.00294507611915,0.00512787258151
2016-04-08 10:00:00,-1.0,-0.00143533039179,1.0,-112.649690996,0.0,88.0,100045.363267,100453.857214,0.00406648344107,0.00512787258151
2016-04-08 10:30:00,-1.0,0.0,1.0,143.598150455,0.0,89.0,100188.961418,100453.857214,0.00263698979655,0.00512787258151
