,signals,gainAhead,safef,trade,numBars,equity,maxEquity,drawdown,maxDD
2016-03-24 00:42:00,-1.0,1.29824606957e-05,0.0,-0.0,134.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:43:00,-1.0,5.19291686139e-05,0.0,-0.0,135.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:44:00,-1.0,8.2216914183e-05,0.0,-0.0,136.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:45:00,-1.0,-1.73074010775e-05,0.0,-0.0,137.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:46:00,-1.0,-0.000116826979244,0.0,0.0,138.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:47:00,-1.0,0.000116840629381,0.0,0.0,139.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:48:00,-1.0,-3.46154012573e-05,0.0,-0.0,140.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:49:00,-1.0,4.75978243467e-05,0.0,0.0,141.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:50:00,-1.0,-2.16343449553e-05,0.0,-0.0,142.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:51:00,-1.0,-5.19235512247e-05,0.0,0.0,143.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:52:00,-1.0,0.0,0.0,0.0,144.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:53:00,-1.0,4.32718728499e-05,0.0,-0.0,145.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:54:00,-1.0,-6.49050007139e-05,0.0,-0.0,146.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:55:00,-1.0,0.000125491146383,0.0,0.0,147.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:56:00,-1.0,-7.35545450219e-05,0.0,-0.0,148.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:57:00,-1.0,0.000138465798948,0.0,0.0,149.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:58:00,-1.0,-0.000173058286031,0.0,-0.0,150.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:59:00,-1.0,0.000432720600962,0.0,0.0,151.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 01:00:00,-1.0,2.16266717417e-05,0.0,-0.0,152.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 01:01:00,-1.0,0.000160033909888,0.0,-0.0,153.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 01:02:00,-1.0,0.000229201082867,0.0,-0.0,154.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 01:03:00,-1.0,-6.48533665383e-05,0.0,-0.0,155.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 01:04:00,-1.0,3.89145436622e-05,0.0,0.0,156.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 01:05:00,-1.0,-5.18840391725e-05,0.0,-0.0,157.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 01:06:00,-1.0,-2.59433656328e-05,0.0,0.0,158.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 01:07:00,-1.0,7.35081096742e-05,0.0,0.0,159.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 01:08:00,-1.0,-8.64737725052e-06,0.0,-0.0,160.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 01:09:00,-1.0,-9.51219723109e-05,0.0,0.0,161.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 01:10:00,-1.0,-3.45930986767e-05,0.0,0.0,162.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 01:11:00,-1.0,-3.45942954006e-05,0.0,0.0,163.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 01:12:00,-1.0,-0.000203248516718,0.0,0.0,164.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 01:13:00,-1.0,-3.89278407592e-05,0.0,0.0,165.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 01:14:00,-1.0,-3.02783881515e-05,0.0,0.0,166.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 01:15:00,-1.0,8.65122998854e-06,0.0,0.0,167.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 01:16:00,-1.0,9.08371290277e-05,0.0,-0.0,168.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 01:17:00,-1.0,9.51540630785e-05,2.1124399971,-0.0,169.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 01:18:00,-1.0,2.59486389939e-05,2.1124399971,-0.000201372890401,170.0,1.00161767428,1.00192749528,0.000309224968419,0.00124693264815
2016-03-24 01:19:00,-1.0,1.72986437863e-05,2.1124399971,-5.49036156043e-05,171.0,1.00156277066,1.00192749528,0.000364022961151,0.00124693264815
2016-03-24 01:20:00,-1.0,-0.000242176823678,2.1124399971,-3.65994543377e-05,172.0,1.00152617121,1.00192749528,0.000400552005927,0.00124693264815
2016-03-24 01:21:00,-1.0,1.2976901116e-05,2.1124399971,0.000512364773494,173.0,1.00203853598,1.00203853598,0.0,0.00124693264815
2016-03-24 01:22:00,-1.0,-0.000138418482328,2.1124399971,-2.74688071897e-05,174.0,1.00201106718,1.00203853598,2.74129249558e-05,0.00124693264815
