2017-07-28 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-07-28 00:00:00,Close2017-07-28 00:00:00,group,RiskOn,Custom,SEA2017-07-28 00:00:00,SRUN2017-07-28 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2017-07-27 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-07-28 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-07-28 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-07-28 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,prevACT,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6
TU,@TUU7,108.1796875,0.065625,0.000144456482485,1.0,1.0,1.0,-1.0,1.0,18.0,2017-07-03,131.25,7.0,1.0,1.0,216359.375,1.0,0.000144456482485,108.1796875,rates,-1.0,1.0,1.0,18.0,-1.0,1.0,7.0,-1.0,1.0,7.0,1.0,1.0,7.0,1.0,2.0,7.0,-1.0,0,1,-1,1,-1,-1,-1,1.0,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1,-1,0.0,-1
TY,@TYU7,125.953125,0.41875,0.000993418601763,1.0,1.0,-1.0,1.0,1.0,15.0,2017-07-07,418.75,2.0,1.0,1.0,125953.125,1.0,0.000993418601763,125.953125,rates,-1.0,1.0,1.0,15.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,0,1,-1,-1,-1,1,-1,1.0,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1,-1,-1.0,-1
US,@USU7,153.1875,1.0046875,0.00389105058366,1.0,1.0,1.0,1.0,1.0,-5.0,2017-07-21,1004.6875,1.0,1.0,1.0,153187.5,1.0,0.00389105058366,153.1875,rates,-1.0,1.0,1.0,-5.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,1,-1,-1,-1,-1,-1,1.0,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1,-1,-1.0,-1
VX,@VXQ7,11.375,0.4950386605,-0.00437636761488,-1.0,-1.0,1.0,-1.0,1.0,16.0,2017-07-06,495.0386605,2.0,1.0,1.0,11375.0,1.0,-0.00437636761488,11.375,index,-1.0,-1.0,1.0,16.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,1,1,1,1,-1,-1,-1.0,1,1,-1,1,1,1,-1,1,-1.0,0.0,0.0,1.0,-1.0,0.0,1,1,1.0,1
W,@WU7,481.0,16.475,0.00260552371027,1.0,-1.0,1.0,-1.0,1.0,17.0,2017-07-05,823.75,1.0,1.0,1.0,24050.0,1.0,0.00260552371027,481.0,grain,1.0,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,-1,1,1,-1,-1,1.0,-1,1,-1,1,1,-1,1,1,-1.0,0.0,0.0,-1.0,0.0,1.0,-1,1,1.0,0
YA,APU7,5634.0,64.7,-0.015034965035,-1.0,-1.0,1.0,-1.0,-1.0,-21.0,2017-06-29,1292.22075,1.0,1.0,1.0,112525.065,1.25172111654,-0.015034965035,5634.0,index,1.0,-1.0,-1.0,-21.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,1,1,1,-1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1
YB,HBSZ7,98.25,0.0285,0.0,1.0,1.0,-1.0,1.0,-1.0,7.0,2017-07-19,54.64476,18.0,4.0,4.0,188380.62,1.25172111654,0.0,98.25,rates,-1.0,1.0,-1.0,7.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,1,-1,-1,-1,1,1,1.0,-1,-1,1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1,-1,-1.0,-1
YM,@YMU7,21775.0,123.15,0.00147173803063,1.0,1.0,-1.0,1.0,-1.0,-7.0,2017-07-19,615.75,1.0,1.0,1.0,108875.0,1.0,0.00147173803063,21775.0,index,1.0,1.0,-1.0,-7.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,1,1,1.0,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1
YT2,HTSU7,98.03,0.0615,0.0,1.0,1.0,-1.0,1.0,1.0,6.0,2017-07-20,137.57058,7.0,1.0,1.0,219285.2676,1.25172111654,0.0,98.03,rates,-1.0,1.0,1.0,6.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,1,-1,-1,-1,1,-1,1.0,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1,-1,-1.0,-1
YT3,HXSU7,97.315,0.0595,5.13821806598e-05,1.0,-1.0,-1.0,-1.0,1.0,-23.0,2017-06-27,380.2764,2.0,1.0,1.0,621959.628,1.25172111654,5.13821806598e-05,97.315,rates,-1.0,1.0,1.0,-23.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,1,-1,1,1,1,-1,1.0,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1,-1,0.0,0
