permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,openprice,purebalance,real_pnl
99,Paper,Paper,22.14511404,USD,IDEALPRO,99.0,,,1.0,1.09391,2000000.0,1000000.0,-153.73111404,BOT,EUR,CHF,20160331 04:02:29 EST,,-131.586,-23.37598472,-14571578.338,1.09391,2071.844,-153.73111404
100,Paper,Paper,20.520192,USD,IDEALPRO,100.0,,,1.0,116.592,2000000.0,-1000000.0,-1736.520192,SLD,CHF,JPY,20160331 04:05:36 EST,,-1716.0,-1759.89617672,-14571578.338,116.592,355.844,-1736.520192
101,Paper,Paper,20.526352,USD,IDEALPRO,101.0,,,1.0,116.627,2000000.0,1000000.0,-328.526352,BOT,CHF,JPY,20160331 04:09:15 EST,,-308.0,-2088.42252872,-14571578.338,116.627,47.8440000002,-328.526352
102,Paper,Paper,19.5192648,USD,IDEALPRO,102.0,,,1.0,0.9642,2000000.0,-1000000.0,-515.4972648,SLD,USD,CHF,20160331 04:10:17 EST,,-495.978,-2603.91979352,-14571578.338,0.9642,-448.134,-515.4972648
103,Paper,Paper,22.12952616,USD,IDEALPRO,103.0,,,1.0,1.09314,2000000.0,-1000000.0,-801.52352616,SLD,EUR,CHF,20160331 04:18:30 EST,,-779.394,-3405.44331968,-14571578.338,1.09314,-1227.528,-801.52352616
104,Paper,Paper,19.3890508,USD,IDEALPRO,104.0,,,1.0,1.2971,2000000.0,1000000.0,2319.9729492,BOT,USD,CAD,20160331 04:26:22 EST,,2339.362,-1085.47037048,-14571578.338,1.2971,1111.834,2319.9729492
105,Paper,Paper,22.6958,USD,IDEALPRO,105.0,,,1.0,1.13479,2000000.0,1000000.0,-3282.6958,BOT,EUR,USD,20160331 04:27:54 EST,,-3260.0,-4368.16617048,-14571578.338,1.13479,-2148.166,-3282.6958
106,Paper,Paper,19.793136,USD,IDEALPRO,106.0,,,1.0,112.461,2000000.0,-1000000.0,578.606864,SLD,USD,JPY,20160331 04:30:01 EST,,598.4,-3789.55930648,-14571578.338,112.461,-1549.766,578.606864
107,Paper,Paper,13.683824,USD,IDEALPRO,107.0,,,1.0,77.749,2000000.0,-1000000.0,-2644.883824,SLD,NZD,JPY,20160331 04:39:21 EST,,-2631.2,-6434.44313048,-14571578.338,77.749,-4180.966,-2644.883824
108,Paper,Paper,19.3681236,USD,IDEALPRO,108.0,,,1.0,1.2957,2000000.0,-1000000.0,-1065.7281236,SLD,USD,CAD,20160331 04:52:45 EST,,-1046.36,-7500.17125408,-14571578.338,1.2957,-5227.326,-1065.7281236
109,Paper,Paper,22.2638962,USD,IDEALPRO,109.0,,,1.0,0.78922,2000000.0,1000000.0,626.5661038,BOT,EUR,GBP,20160331 04:55:18 EST,,648.83,-6873.60515028,-14571578.338,0.78922,-4578.496,626.5661038
110,Paper,Paper,22.13944572,USD,IDEALPRO,110.0,,,1.0,1.09363,2000000.0,1000000.0,-518.11744572,BOT,EUR,CHF,20160331 04:55:19 EST,,-495.978,-7391.722596,-14571578.338,1.09363,-5074.474,-518.11744572
111,Paper,Paper,19.37694292,USD,IDEALPRO,111.0,,,1.0,1.29629,2000000.0,1000000.0,-460.34294292,BOT,USD,CAD,20160331 05:11:51 EST,,-440.966,-7852.06553892,-14571578.338,1.29629,-5515.44,-460.34294292
