permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,balance,margin_available
44,Paper,Paper,2.0,USD,IDEALPRO,44.0,,,1.0,113.681,50000.0,-25000.0,0.562539759997,SLD,USD,JPY,20160316 13:11:25 EST,,9885.52804538,1728752.17107
45,Paper,Paper,2.0,USD,IDEALPRO,45.0,,,1.0,0.74324,50000.0,25000.0,21.33333335,BOT,AUD,USD,20160316 13:13:23 EST,,9906.86137873,1765914.17107
46,Paper,Paper,2.0,USD,IDEALPRO,46.0,,,1.0,1.10668,50000.0,25000.0,57.8302105,BOT,EUR,USD,20160316 13:13:25 EST,,9964.69158923,1821248.17107
47,Paper,Paper,2.0,USD,IDEALPRO,47.0,,,1.0,1.33611,50000.0,25000.0,-51.5964561311,BOT,USD,CAD,20160316 13:13:31 EST,,9913.0951331,1871178.60177
48,Paper,Paper,2.0,USD,IDEALPRO,48.0,,,1.0,113.681,50000.0,25000.0,0.959153559997,BOT,USD,JPY,20160316 13:13:35 EST,,9914.05428666,1921198.24177
49,Paper,Paper,2.0,USD,IDEALPRO,49.0,,,1.0,1.33611,50000.0,-25000.0,41.9368185858,SLD,USD,CAD,20160316 13:15:57 EST,,9955.99110525,1971084.73565
50,Paper,Paper,2.0,USD,IDEALPRO,50.0,,,1.0,1.33611,50000.0,25000.0,-50.2786060707,BOT,USD,CAD,20160316 13:19:54 EST,,9905.71249918,2021015.16635
51,Paper,Paper,2.0,USD,IDEALPRO,51.0,,,1.0,1.10668,50000.0,-25000.0,-50.9434035,SLD,EUR,USD,20160316 13:21:35 EST,,9854.76909568,2076398.10975
52,Paper,Paper,2.0,USD,IDEALPRO,52.0,,,1.0,1.33611,50000.0,-25000.0,66.4108688148,SLD,USD,CAD,20160316 13:23:58 EST,,9921.17996449,2126260.12958
53,Paper,Paper,2.0,USD,IDEALPRO,53.0,,,1.0,0.98959,50000.0,-25000.0,33.6560987669,SLD,USD,CHF,20160316 13:24:10 EST,,9954.83606326,2176307.62338
54,Paper,Paper,2.0,USD,IDEALPRO,54.0,,,1.0,1.33611,50000.0,25000.0,-74.1320228137,BOT,USD,CAD,20160316 13:25:53 EST,,9880.70404045,2226238.05408
55,Paper,Paper,2.0,USD,IDEALPRO,55.0,,,1.0,0.98959,50000.0,25000.0,-35.8163662556,BOT,USD,CHF,20160316 13:26:02 EST,,9844.88767419,2276321.20398
56,Paper,Paper,2.0,USD,IDEALPRO,56.0,,,1.0,1.10668,50000.0,25000.0,38.647801,BOT,EUR,USD,20160316 13:27:19 EST,,9883.53547519,2331655.20398
57,Paper,Paper,2.0,USD,IDEALPRO,57.0,,,1.0,113.681,50000.0,-25000.0,-22.93305104,SLD,USD,JPY,20160316 13:28:03 EST,,9860.60242415,2381695.77703
58,Paper,Paper,2.0,USD,IDEALPRO,58.0,,,1.0,1.10668,50000.0,-25000.0,-34.8826005,SLD,EUR,USD,20160316 13:29:27 EST,,9825.71982365,2437062.65963
59,Paper,Paper,2.0,USD,IDEALPRO,59.0,,,1.0,1.10668,50000.0,25000.0,27.2942,BOT,EUR,USD,20160316 13:31:14 EST,,9853.01402365,2492396.65963
60,Paper,Paper,2.0,USD,IDEALPRO,60.0,,,1.0,113.681,50000.0,25000.0,25.8043502,BOT,USD,JPY,20160316 13:31:37 EST,,9878.81837385,2542416.29963
61,Paper,Paper,2.0,USD,IDEALPRO,61.0,,,1.0,0.98959,50000.0,-25000.0,32.2153221021,SLD,USD,CHF,20160316 13:32:28 EST,,9911.03369595,2592465.23421
62,Paper,Paper,2.0,USD,IDEALPRO,62.0,,,1.0,113.681,50000.0,-25000.0,-33.26811688,SLD,USD,JPY,20160316 13:32:30 EST,,9877.76557907,2642516.14233
63,Paper,Paper,2.0,USD,IDEALPRO,63.0,,,1.0,1.10668,50000.0,-25000.0,-31.0980665,SLD,EUR,USD,20160316 13:33:08 EST,,9846.66751257,2697879.2404
64,Paper,Paper,2.0,USD,IDEALPRO,64.0,,,1.0,1.33611,50000.0,-25000.0,63.4001409379,SLD,USD,CAD,20160316 13:33:15 EST,,9910.06765351,2747744.27096
65,Paper,Paper,2.0,USD,IDEALPRO,65.0,,,1.0,113.681,50000.0,25000.0,32.76937244,BOT,USD,JPY,20160316 13:34:20 EST,,9942.83702595,2797763.91096
66,Paper,Paper,2.0,USD,IDEALPRO,66.0,,,1.0,1.10668,50000.0,25000.0,31.6993555,BOT,EUR,USD,20160316 13:35:07 EST,,9974.53638145,2853097.91096
67,Paper,Paper,2.0,USD,IDEALPRO,67.0,,,1.0,1.33611,50000.0,25000.0,-67.1492469793,BOT,USD,CAD,20160316 13:35:13 EST,,9907.38713447,2903028.34166
68,Paper,Paper,2.0,USD,IDEALPRO,68.0,,,1.0,0.98959,50000.0,25000.0,-34.6613073842,BOT,USD,CHF,20160316 13:35:16 EST,,9872.72582709,2953111.49156
69,Paper,Paper,2.0,USD,IDEALPRO,69.0,,,1.0,113.681,50000.0,-25000.0,-39.403124,SLD,USD,JPY,20160316 13:35:21 EST,,9833.32270309,3003168.53468
70,Paper,Paper,2.0,USD,IDEALPRO,70.0,,,1.0,0.98959,50000.0,-25000.0,33.1799024445,SLD,USD,CHF,20160316 13:36:32 EST,,9866.50260553,3053216.50468
71,Paper,Paper,2.0,USD,IDEALPRO,71.0,,,1.0,1.10668,50000.0,-25000.0,-36.899785,SLD,EUR,USD,20160316 13:37:10 EST,,9829.60282053,3108585.40446
72,Paper,Paper,2.0,USD,IDEALPRO,72.0,,,1.0,0.98959,50000.0,25000.0,-43.0804341313,BOT,USD,CHF,20160316 13:37:20 EST,,9786.5223864,3158668.55436
73,Paper,Paper,2.0,USD,IDEALPRO,73.0,,,1.0,1.33611,50000.0,-25000.0,72.532682451,SLD,USD,CAD,20160316 13:39:16 EST,,9859.05506885,3208524.45238
74,Paper,Paper,2.0,USD,IDEALPRO,74.0,,,1.0,0.98959,50000.0,-25000.0,38.3480780269,SLD,USD,CHF,20160316 13:39:19 EST,,9897.40314688,3258567.2542
