Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl
20160511 01:30:10 EST,paperUSD,-50758.64962,-48638.0,108032481.0,0,-150758.64962,-148638.0,USD,-50758.64962,-48638.0,0
20160511 02:36:43 EST,paperUSD,-55043.61956,-52906.0,108880978.0,0,-155043.61956,-152906.0,USD,-55043.61956,-52906.0,0
20160511 03:07:14 EST,paperUSD,-58375.5232,-56221.0,109726160.0,0,-158375.5232,-156221.0,USD,-58375.5232,-56221.0,0
20160511 10:38:50 EST,paperUSD,-58000.419,-55829.0,110570950.0,0,-158000.419,-155829.0,USD,-58000.419,-55829.0,0
20160512 00:27:49 EST,paperUSD,-58831.30108,-56643.0,111415054.0,0,-158831.30108,-156643.0,USD,-58831.30108,-56643.0,0
20160512 05:31:56 EST,paperUSD,-57790.142,-55585.0,112257100.0,0,-157790.142,-155585.0,USD,-57790.142,-55585.0,0
20160512 06:51:14 EST,paperUSD,-59306.95292,-57085.0,113097646.0,0,-159306.95292,-157085.0,USD,-59306.95292,-57085.0,0
20160512 08:25:23 EST,paperUSD,-60823.79384,-58585.0,113939692.0,0,-160823.79384,-158585.0,USD,-60823.79384,-58585.0,0
20160512 10:32:35 EST,paperUSD,-62340.60476,-60085.0,114780238.0,0,-162340.60476,-160085.0,USD,-62340.60476,-60085.0,0
20160512 10:54:23 EST,paperUSD,-63857.44568,-61585.0,115622284.0,0,-163857.44568,-161585.0,USD,-63857.44568,-61585.0,0
20160512 15:37:21 EST,paperUSD,-65374.2566,-63085.0,116462830.0,0,-165374.2566,-163085.0,USD,-65374.2566,-63085.0,0
20160512 15:55:11 EST,paperUSD,-66891.09752,-64585.0,117304876.0,0,-166891.09752,-164585.0,USD,-66891.09752,-64585.0,0
20160512 17:00:01 EST,paperUSD,-68407.90844,-66085.0,118145422.0,0,-168407.90844,-166085.0,USD,-68407.90844,-66085.0,0
20160512 23:36:03 EST,paperUSD,-60703.56494,-58364.0,118978247.0,0,-160703.56494,-158364.0,USD,-60703.56494,-58364.0,0
20160513 00:07:11 EST,paperUSD,-61520.20544,-59164.0,119810272.0,0,-161520.20544,-159164.0,USD,-61520.20544,-59164.0,0
20160513 00:40:59 EST,paperUSD,-62180.85882,-59808.0,120642941.0,0,-162180.85882,-159808.0,USD,-62180.85882,-59808.0,0
20160513 07:29:28 EST,paperUSD,-63697.48944,-61308.0,121474472.0,0,-163697.48944,-161308.0,USD,-63697.48944,-61308.0,0
20160513 08:12:05 EST,paperUSD,-65214.09006,-62808.0,122304503.0,0,-165214.09006,-162808.0,USD,-65214.09006,-62808.0,0
20160513 09:09:24 EST,paperUSD,-66730.72068,-64308.0,123136034.0,0,-166730.72068,-164308.0,USD,-66730.72068,-64308.0,0
20160513 10:15:52 EST,paperUSD,-68247.3213,-65808.0,123966065.0,0,-168247.3213,-165808.0,USD,-68247.3213,-65808.0,0
20160513 16:40:01 EST,paperUSD,-69763.95192,-67308.0,124797596.0,0,-169763.95192,-167308.0,USD,-69763.95192,-67308.0,0
20160513 17:44:49 EST,paperUSD,-71280.55254,-68808.0,125627627.0,0,-171280.55254,-168808.0,USD,-71280.55254,-68808.0,0
20160514 13:56:44 EST,paperUSD,-72797.18316,-70308.0,126459158.0,0,-172797.18316,-170308.0,USD,-72797.18316,-70308.0,0
20160514 14:14:16 EST,paperUSD,-74313.78378,-71808.0,127289189.0,0,-174313.78378,-171808.0,USD,-74313.78378,-71808.0,0
20160514 15:30:36 EST,paperUSD,-75830.4144,-73308.0,128120720.0,0,-175830.4144,-173308.0,USD,-75830.4144,-73308.0,0
20160514 15:38:47 EST,paperUSD,-77347.01502,-74808.0,128950751.0,0,-177347.01502,-174808.0,USD,-77347.01502,-74808.0,0
20160514 23:05:23 EST,paperUSD,-78863.64564,-76308.0,129782282.0,0,-178863.64564,-176308.0,USD,-78863.64564,-76308.0,0
20160515 00:10:52 EST,paperUSD,-80380.24626,-77808.0,130612313.0,0,-180380.24626,-177808.0,USD,-80380.24626,-77808.0,0
20160515 08:18:53 EST,paperUSD,-81896.87688,-79308.0,131443844.0,0,-181896.87688,-179308.0,USD,-81896.87688,-79308.0,0
20160515 08:30:36 EST,paperUSD,-83413.4775,-80808.0,132273875.0,0,-183413.4775,-180808.0,USD,-83413.4775,-80808.0,0
20160515 12:16:02 EST,paperUSD,-84930.10812,-82308.0,133105406.0,0,-184930.10812,-182308.0,USD,-84930.10812,-82308.0,0
20160515 12:24:09 EST,paperUSD,-86446.70874,-83808.0,133935437.0,0,-186446.70874,-183808.0,USD,-86446.70874,-83808.0,0
20160516 00:29:04 EST,paperUSD,-94511.47032,-91856.0,134773516.0,0,-194511.47032,-191856.0,USD,-94511.47032,-91856.0,0
20160516 07:46:13 EST,paperUSD,-101817.08612,-99145.0,135604306.0,0,-201817.08612,-199145.0,USD,-101817.08612,-99145.0,0
20160516 08:28:04 EST,paperUSD,-103333.73192,-100645.0,136436596.0,0,-203333.73192,-200645.0,USD,-103333.73192,-100645.0,0
20160516 08:50:06 EST,paperUSD,-104850.34772,-102145.0,137267386.0,0,-204850.34772,-202145.0,USD,-104850.34772,-102145.0,0
20160516 09:41:52 EST,paperUSD,-106366.99352,-103645.0,138099676.0,0,-206366.99352,-203645.0,USD,-106366.99352,-103645.0,0
