permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,openprice,purebalance,real_pnl
259,Paper,Paper,2.0,USD,IDEALPRO,259.0,,,1.0,0.79267,20000.0,10000.0,-2.70525,BOT,EUR,GBP,20160323 14:06:08 EST,,-0.70525,19249.47698,251501.29609,0.79267,19767.47698,-2.70525
260,Paper,Paper,2.0,USD,IDEALPRO,260.0,,,1.0,115.355,20000.0,10000.0,3.984,BOT,CHF,JPY,20160323 14:11:22 EST,,5.984,19253.46098,251501.29609,115.355,19773.46098,3.984
261,Paper,Paper,2.0,USD,IDEALPRO,261.0,,,1.0,75.528,20000.0,-10000.0,-4.904,SLD,NZD,JPY,20160323 14:16:33 EST,,-2.904,19248.55698,251501.29609,75.528,19770.55698,-4.904
262,Paper,Paper,2.0,USD,IDEALPRO,262.0,,,1.0,0.75413,20000.0,10000.0,-5.8,BOT,AUD,USD,20160323 14:21:53 EST,,-3.8,19242.75698,251501.29609,0.75413,19766.75698,-5.8
263,Paper,Paper,2.0,USD,IDEALPRO,263.0,,,1.0,1.41158,20000.0,10000.0,-10.6,BOT,GBP,USD,20160323 14:27:06 EST,,-8.6,19232.15698,251501.29609,1.41158,19758.15698,-10.6
264,Paper,Paper,2.0,USD,IDEALPRO,264.0,,,1.0,1.32034,20000.0,-10000.0,0.242200000001,SLD,USD,CAD,20160323 14:32:25 EST,,2.2422,19232.39918,251501.29609,1.32034,19760.39918,0.242200000001
265,Paper,Paper,2.0,USD,IDEALPRO,265.0,,,1.0,1.09085,20000.0,10000.0,-26.19158,BOT,EUR,CHF,20160323 14:32:56 EST,,-24.19158,19206.2076,251501.29609,1.09085,19736.2076,-26.19158
266,Paper,Paper,2.0,USD,IDEALPRO,266.0,,,1.0,0.67117,20000.0,-10000.0,0.800000000001,SLD,NZD,USD,20160323 14:32:56 EST,,2.8,19207.0076,251501.29609,0.67117,19739.0076,0.800000000001
267,Paper,Paper,2.0,USD,IDEALPRO,267.0,,,1.0,75.492,20000.0,10000.0,1.168,BOT,NZD,JPY,20160323 14:37:31 EST,,3.168,19208.1756,251501.29609,75.492,19742.1756,1.168
268,Paper,Paper,2.0,USD,IDEALPRO,268.0,,,1.0,115.28,20000.0,-10000.0,-8.6,SLD,CHF,JPY,20160323 14:42:41 EST,,-6.6,19199.5756,251501.29609,115.28,19735.5756,-8.6
