trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,currency,balance,commission,margin_available,mark_to_mkt,pure_mark_to_mkt,purebalance,pure_unr_pnl,unr_pnl
40.0,-9.061,20160410 21:10:31 EST,20160410 21:10:31 EST,20160410 21:10:31 EST,1.08761,,EURCHF,short,,20160410 20:44:06 EST,closed,20160410 20:44:06 EST,1.08736,,,2.0,2.0,,EURCHF,,-5.061,2.0,CHF,99383.02942,4.0,1729270.26394,100788.01116,100984.01116,99551.02942,48.99048,46.99048
44.0,-6.464,20160410 21:36:50 EST,20160410 21:36:50 EST,20160410 21:36:50 EST,81.859,,AUDJPY,long,,20160410 21:05:32 EST,closed,20160410 21:05:32 EST,81.873,,,2.0,2.0,,AUDJPY,,-2.464,-2.0,JPY,99376.56542,4.0,1721659.8711,100604.72804,100804.72804,99548.56542,217.712,215.712
45.0,-5.0,20160410 21:39:05 EST,20160410 21:39:05 EST,20160410 21:39:05 EST,1.14076,,EURUSD,short,,20160410 21:07:59 EST,closed,20160410 21:07:59 EST,1.14071,,,2.0,2.0,,EURUSD,,-0.999999999998,2.0,USD,99371.56542,4.0,1730067.8871,100838.84004,101042.84004,99547.56542,-17.0,-19.0
52.0,-2.0,,,,0.0,,EURUSD,long,,20160410 21:39:05 EST,open,20160410 21:39:05 EST,1.14076,,,0.0,2.0,,EURUSD,,0.0,2.0,USD,99369.56542,2.0,1707252.6871,100816.24004,101024.24004,99547.56542,,
4.0,-22.2196,20160410 21:39:18 EST,20160410 21:39:18 EST,20160410 21:39:18 EST,0.9534,,USDCHF,short,,20160410 17:16:03 EST,closed,20160410 17:16:03 EST,0.9525,,,2.0,2.0,,USDCHF,,-18.2196,2.0,CHF,99349.34582,4.0,1726553.3167,100726.15424,100934.15424,99529.34582,71.8662,69.8662
49.0,-5.2,20160410 21:40:24 EST,20160410 21:40:24 EST,20160410 21:40:24 EST,0.75632,,AUDUSD,long,,20160410 21:09:22 EST,closed,20160410 21:09:22 EST,0.75638,,,2.0,2.0,,AUDUSD,,-1.2,-2.0,USD,99344.14582,4.0,1722379.0871,100698.97888,100910.97888,99528.14582,73.8,71.8
20.0,7.06152,20160410 21:40:25 EST,20160410 21:40:25 EST,20160410 21:40:25 EST,1.29828,,USDCAD,short,,20160410 17:42:21 EST,closed,20160410 17:42:21 EST,1.29902,,,2.0,2.0,,USDCAD,,11.06152,2.0,CAD,99351.20734,4.0,1726659.37654,100645.91256,100861.91256,99539.20734,135.72784,133.72784
55.0,-2.0,,,,0.0,,USDCAD,long,,20160410 21:40:25 EST,open,20160410 21:40:25 EST,1.29828,,,0.0,2.0,,USDCAD,,0.0,2.0,CAD,99349.20734,2.0,1707252.6871,100787.65556,101007.65556,99539.20734,,
24.0,-7.6673,20160410 21:40:59 EST,20160410 21:40:59 EST,20160410 21:40:59 EST,0.80731,,EURGBP,long,,20160410 19:10:35 EST,closed,20160410 19:10:35 EST,0.80744,,,2.0,2.0,,EURGBP,,-3.6673,-2.0,GBP,99343.54004,4.0,1730026.9022,100779.19256,100999.19256,99535.54004,4.7957,2.7957
31.0,-6.0,20160410 21:42:06 EST,20160410 21:42:06 EST,20160410 21:42:06 EST,0.6816,,NZDUSD,long,,20160410 19:42:21 EST,closed,20160410 19:42:21 EST,0.6817,,,2.0,2.0,,NZDUSD,,-2.0,-2.0,USD,99337.54004,4.0,1720884.6871,100789.78396,101013.78396,99533.54004,-7.0,-9.0
57.0,-6.0,20160410 22:07:46 EST,20160410 22:07:46 EST,20160410 22:07:46 EST,0.6817,,NZDUSD,short,,20160410 21:42:06 EST,closed,20160410 21:42:06 EST,0.6816,,,2.0,2.0,,NZDUSD,,-2.0,2.0,USD,99331.54004,4.0,1720886.6871,100783.78396,101011.78396,99531.54004,-3.6,-5.6
53.0,-6.63172,20160410 22:10:23 EST,20160410 22:10:23 EST,20160410 22:10:23 EST,0.95327,,USDCHF,long,,20160410 21:39:18 EST,closed,20160410 21:39:18 EST,0.9534,,,2.0,2.0,,USDCHF,,-2.63172,-2.0,CHF,99324.90832,4.0,1726550.68498,100718.3276,100950.3276,99528.90832,51.82464,49.82464
59.0,-2.0,,,,0.0,,USDCHF,short,,20160410 22:10:23 EST,open,20160410 22:10:23 EST,0.95327,,,0.0,2.0,,USDCHF,,0.0,-2.0,CHF,99322.90832,2.0,1707252.6871,100770.60592,101006.60592,99528.90832,,
56.0,-7.6673,20160410 22:12:07 EST,20160410 22:12:07 EST,20160410 22:12:07 EST,0.80744,,EURGBP,short,,20160410 21:40:59 EST,closed,20160410 21:40:59 EST,0.80731,,,2.0,2.0,,EURGBP,,-3.6673,2.0,GBP,99317.24102,4.0,1730030.5695,100757.34722,100993.34722,99525.24102,9.5914,7.5914
60.0,-2.0,,,,0.0,,EURGBP,long,,20160410 22:12:07 EST,open,20160410 22:12:07 EST,0.80744,,,0.0,2.0,,EURGBP,,0.0,2.0,GBP,99315.24102,2.0,1707252.6871,100758.14292,100998.14292,99525.24102,,
50.0,-9.061,20160410 22:12:40 EST,20160410 22:12:40 EST,20160410 22:12:40 EST,1.08736,,EURCHF,long,,20160410 21:10:31 EST,closed,20160410 21:10:31 EST,1.08761,,,2.0,2.0,,EURCHF,,-5.061,-2.0,CHF,99308.18002,4.0,1729265.20294,100712.18904,100952.18904,99520.18002,40.89288,38.89288
61.0,-2.0,,,,0.0,,EURCHF,short,,20160410 22:12:40 EST,open,20160410 22:12:40 EST,1.08736,,,0.0,2.0,,EURCHF,,0.0,-2.0,CHF,99306.18002,2.0,1707252.6871,100757.17952,101001.17952,99520.18002,,
51.0,-6.464,20160410 22:13:12 EST,20160410 22:13:12 EST,20160410 22:13:12 EST,81.873,,AUDJPY,short,,20160410 21:36:50 EST,closed,20160410 21:36:50 EST,81.859,,,2.0,2.0,,AUDJPY,,-2.464,2.0,JPY,99301.71602,4.0,1721662.3351,100532.60352,100776.60352,99517.71602,222.112,220.112
42.0,-6.288,20160410 22:32:44 EST,20160410 22:32:44 EST,20160410 22:32:44 EST,83.381,,CADJPY,short,,20160410 21:04:39 EST,closed,20160410 21:04:39 EST,83.368,,,2.0,2.0,,CADJPY,,-2.288,2.0,JPY,99295.42802,4.0,1721927.7431,100702.31552,100950.31552,99515.42802,41.712,39.712
54.0,-5.2,20160410 22:37:33 EST,20160410 22:37:33 EST,20160410 22:37:33 EST,0.75638,,AUDUSD,short,,20160410 21:40:24 EST,closed,20160410 21:40:24 EST,0.75632,,,2.0,2.0,,AUDUSD,,-1.2,2.0,USD,99290.22802,4.0,1722380.2871,100659.00352,100911.00352,99514.22802,75.6,73.6
64.0,-2.0,,,,0.0,,AUDUSD,long,,20160410 22:37:33 EST,open,20160410 22:37:33 EST,0.75638,,,0.0,2.0,,AUDUSD,,0.0,2.0,USD,99288.22802,2.0,1707252.6871,100728.80352,100984.80352,99514.22802,,
58.0,-6.0,20160410 22:39:08 EST,20160410 22:39:08 EST,20160410 22:39:08 EST,0.6816,,NZDUSD,long,,20160410 22:07:46 EST,closed,20160410 22:07:46 EST,0.6817,,,2.0,2.0,,NZDUSD,,-2.0,-2.0,USD,99284.22802,4.0,1720884.6871,100733.80352,100989.80352,99512.22802,-7.0,-9.0
65.0,-2.0,,,,0.0,,NZDUSD,short,,20160410 22:39:08 EST,open,20160410 22:39:08 EST,0.6816,,,0.0,2.0,,NZDUSD,,0.0,-2.0,USD,99282.22802,2.0,1707252.6871,100726.20352,100986.20352,99512.22802,,
63.0,-6.288,20160410 23:03:51 EST,20160410 23:03:51 EST,20160410 23:03:51 EST,83.368,,CADJPY,long,,20160410 22:32:44 EST,closed,20160410 22:32:44 EST,83.381,,,2.0,2.0,,CADJPY,,-2.288,-2.0,JPY,99277.94002,4.0,1721925.4551,100686.42752,100946.42752,99509.94002,37.488,35.488
66.0,-2.0,,,,0.0,,CADJPY,short,,20160410 23:03:51 EST,open,20160410 23:03:51 EST,83.368,,,0.0,2.0,,CADJPY,,0.0,-2.0,JPY,99275.94002,2.0,1707252.6871,100724.13952,100988.13952,99509.94002,,
62.0,-6.464,20160410 23:10:09 EST,20160410 23:10:09 EST,20160410 23:10:09 EST,81.859,,AUDJPY,long,,20160410 22:13:12 EST,closed,20160410 22:13:12 EST,81.873,,,2.0,2.0,,AUDJPY,,-2.464,-2.0,JPY,99271.47602,4.0,1721659.8711,100503.96352,100767.96352,99507.47602,217.712,215.712
67.0,-2.0,,,,0.0,,AUDJPY,short,,20160410 23:10:09 EST,open,20160410 23:10:09 EST,81.859,,,0.0,2.0,,AUDJPY,,0.0,-2.0,JPY,99269.47602,2.0,1707252.6871,100722.07552,100990.07552,99507.47602,,
