trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,underlying
101556940,14,1459303030,2016-03-30 03:26:45,1459322805,0.78434,,forex,short,2016-03-29 21:57:10,1459303030,closed,2016-03-29 21:57:06,0.78530,10000,,1,1,,EURGBP,,
101559223,19,1459321026,2016-03-30 03:36:58,1459323418,86.089,,forex,long,2016-03-30 02:57:06,1459321026,closed,2016-03-30 02:56:58,85.87100,10000,,1,1,,AUDJPY,,
101559690,5,1459322813,2016-03-30 04:06:13,1459325173,0.78461,,forex,long,2016-03-30 03:26:53,1459322813,closed,2016-03-30 03:26:50,0.78425,10000,,1,1,,EURGBP,,
101559886,3,1459323427,2016-03-30 04:46:03,1459327563,86.056,,forex,short,2016-03-30 03:37:07,1459323427,closed,2016-03-30 03:37:04,86.09000,10000,,1,1,,AUDJPY,,
101558638,9,1459316848,2016-03-30 05:16:49,1459329409,1.09126,,forex,short,2016-03-30 01:47:28,1459316848,closed,2016-03-30 01:47:25,1.09208,10000,,1,1,,EURCHF,,
101560185,-22,1459325187,2016-03-30 05:26:27,1459329987,0.78635,,forex,short,2016-03-30 04:06:27,1459325187,closed,2016-03-30 04:06:23,0.78482,10000,,1,1,,EURGBP,,
101556822,-37,1459301842,2016-03-30 05:26:51,1459330011,161.566,,forex,long,2016-03-29 21:37:22,1459301842,closed,2016-03-29 21:37:18,161.98300,10000,,1,1,,GBPJPY,,
101560995,1,1459330025,2016-03-30 05:36:49,1459330609,161.566,,forex,short,2016-03-30 05:27:05,1459330025,closed,2016-03-30 05:27:00,161.57300,10000,,1,1,,GBPJPY,,
101558578,19,1459316184,2016-03-30 05:46:51,1459331211,1.13176,,forex,long,2016-03-30 01:36:24,1459316184,closed,2016-03-30 01:36:21,1.12989,10000,,1,1,,EURUSD,,
101555906,48,1459296981,2016-03-30 05:47:26,1459331246,0.69149,,forex,long,2016-03-29 20:16:21,1459296981,closed,2016-03-29 20:06:29,0.68672,10000,,1,1,,NZDUSD,,
101560989,3,1459330005,2016-03-30 05:56:52,1459331812,0.78652,,forex,long,2016-03-30 05:26:45,1459330006,closed,2016-03-30 05:26:32,0.78632,10000,,1,1,,EURGBP,,
101561114,12,1459330620,2016-03-30 06:06:46,1459332406,161.66,,forex,long,2016-03-30 05:37:00,1459330620,closed,2016-03-30 05:36:54,161.52900,10000,,1,1,,GBPJPY,,
101561182,4,1459331226,2016-03-30 06:36:27,1459334187,1.13135,,forex,short,2016-03-30 05:47:06,1459331226,closed,2016-03-30 05:47:02,1.13177,10000,,1,1,,EURUSD,,
101561332,-15,1459332415,2016-03-30 06:46:38,1459334798,161.83,,forex,short,2016-03-30 06:06:55,1459332415,closed,2016-03-30 06:06:52,161.66300,10000,,1,1,,GBPJPY,,
101560542,4,1459327571,2016-03-30 06:56:29,1459335389,86.097,,forex,long,2016-03-30 04:46:11,1459327571,closed,2016-03-30 04:46:08,86.05100,10000,,1,1,,AUDJPY,,
101561185,-16,1459331800,2016-03-30 06:56:40,1459335400,0.69304,,forex,short,2016-03-30 05:56:40,1459331800,closed,2016-03-30 05:47:31,0.69149,10000,,1,1,,NZDUSD,,
101561852,-8,1459334807,2016-03-30 07:26:21,1459337181,161.723,,forex,long,2016-03-30 06:46:47,1459334807,closed,2016-03-30 06:46:43,161.81700,10000,,1,1,,GBPJPY,,
101561950,-4,1459335397,2016-03-30 07:36:21,1459337781,86.149,,forex,short,2016-03-30 06:56:37,1459335397,closed,2016-03-30 06:56:34,86.09900,10000,,1,1,,AUDJPY,,
101561769,19,1459334197,2016-03-30 07:46:22,1459338382,1.13322,,forex,long,2016-03-30 06:36:37,1459334197,closed,2016-03-30 06:36:33,1.13133,10000,,1,1,,EURUSD,,
